NODEID	CLASS	ID	MODALITY	DOCID	MENTION_SPAN	ASSESSMENT	TYPE	FQEC
E0632	NIL	666	TEXT	IC001L3GY	IC001L4O4:(365,0)-(386,0)	Correct	NOM	IC001L4O4:4
E0632	NIL	667	TEXT	IC001L3GY	IC001L4O4:(378,0)-(386,0)	Correct	NOM	IC001L4O4:4
E0632	NIL	668	TEXT	IC001L3GY	IC001L4O4:(953,0)-(1033,0)	Correct	NOM	IC001L4O4:8
E0632	NIL	669	TEXT	IC001L3GY	IC001L4O4:(987,0)-(996,0)	Correct	NOM	IC001L4O4:8
E0632	NIL	670	TEXT	IC001L3GY	IC001L4O4:(988,0)-(996,0)	Correct	NOM	IC001L4O4:8
E0632	NIL	671	TEXT	IC001L3GY	IC001L4O4:(1842,0)-(1852,0)	Correct	NOM	IC001L4O4:15
E0632	NIL	672	TEXT	IC001L3GY	IC001L4O4:(2264,0)-(2279,0)	Correct	NOM	IC001L4O4:18
E0632	NIL	673	TEXT	IC001L3GY	IC001L4O4:(2826,0)-(2840,0)	Correct	NOM	IC001L4O4:23
E0632	NIL	674	TEXT	IC001L3GY	IC001L4O4:(2830,0)-(2840,0)	Correct	NOM	IC001L4O4:23
E0632	NIL	675	TEXT	IC001L3GY	IC001L4O4:(2848,0)-(2857,0)	Wrong	NIL	0
E0632	NIL	676	TEXT	IC001L3GY	IC001L4O4:(3065,0)-(3076,0)	Correct	NOM	IC001L4O4:25
E0635	NIL	4244	TEXT	IC00162QM	HC000T65W:(24,0)-(32,0)	Wrong	NIL	0
E0635	NIL	4245	TEXT	IC00162QM	HC000T65W:(43,0)-(186,0)	Correct	NAM	HC000T65W:3
E0635	NIL	4246	TEXT	IC00162QM	HC000T65W:(56,0)-(68,0)	Wrong	NIL	0
E0635	NIL	4247	TEXT	IC00162QM	HC000T65W:(69,0)-(71,0)	Correct	NAM	HC000T65W:3
E0635	NIL	4248	TEXT	IC00162QM	HC000T65W:(70,0)-(71,0)	Correct	NAM	HC000T65W:3
E0635	NIL	4249	TEXT	IC00162QM	HC000T65W:(240,0)-(248,0)	Wrong	NIL	0
E0635	NIL	4250	TEXT	IC00162QM	HC000T65W:(304,0)-(386,0)	Correct	NAM	HC000T65W:6
E0635	NIL	4251	TEXT	IC00162QM	HC000T65W:(396,0)-(757,0)	Correct	NAM	HC000T65W:8
E0635	NIL	4252	TEXT	IC00162QM	HC000T65W:(402,0)-(411,0)	Wrong	NIL	0
E0635	NIL	4253	TEXT	IC00162QM	HC000T65W:(499,0)-(571,0)	Correct	NAM	HC000T65W:8
E0635	NIL	4254	TEXT	IC00162QM	HC000T65W:(516,0)-(525,0)	Correct	NAM	HC000T65W:8
E0635	NIL	4255	TEXT	IC00162QM	HC000T65W:(519,0)-(524,0)	Correct	NAM	HC000T65W:8
E0635	NIL	4256	TEXT	IC00162QM	HC000T65W:(750,0)-(757,0)	Correct	NAM	HC000T65W:8
E0635	NIL	4257	TEXT	IC00162QM	HC000T65W:(751,0)-(756,0)	Correct	NAM	HC000T65W:8
E0635	NIL	4258	TEXT	IC00162QM	HC000T65W:(853,0)-(865,0)	Correct	NAM	HC000T65W:10
E0635	NIL	4259	TEXT	IC00162QM	HC000T65W:(853,0)-(1022,0)	Correct	NAM	HC000T65W:10
E0635	NIL	4260	TEXT	IC00162QM	HC000T65W:(938,0)-(947,0)	Wrong	NIL	0
E0635	NIL	4261	TEXT	IC00162QM	HC000T65W:(1001,0)-(1012,0)	Correct	NAM	HC000T65W:10
E0635	NIL	4262	TEXT	IC00162QM	HC000T65W:(1002,0)-(1012,0)	Correct	NAM	HC000T65W:10
E0635	NIL	4263	TEXT	IC00162QM	HC000T65W:(1025,0)-(1184,0)	Correct	NAM	HC000T65W:11
E0635	NIL	4264	TEXT	IC00162QM	HC000T65W:(1120,0)-(1128,0)	Wrong	NIL	0
E0635	NIL	4265	TEXT	IC00162QM	HC000T65W:(1140,0)-(1148,0)	Correct	NAM	HC000T65W:11
E0635	NIL	4266	TEXT	IC00162QM	HC000T65W:(1143,0)-(1148,0)	Correct	NAM	HC000T65W:11
E0635	NIL	4267	TEXT	IC00162QM	HC000T65W:(1186,0)-(1288,0)	Correct	NAM	HC000T65W:12
E0635	NIL	4268	TEXT	IC00162QM	HC000T65W:(1224,0)-(1235,0)	Correct	NAM	HC000T65W:12
E0635	NIL	4269	TEXT	IC00162QM	HC000T65W:(1225,0)-(1235,0)	Correct	NAM	HC000T65W:12
E0635	NIL	4270	TEXT	IC00162QM	HC000T65W:(1290,0)-(1377,0)	Correct	NAM	HC000T65W:13
E0635	NIL	4271	TEXT	IC00162QM	HC000T65W:(1379,0)-(1443,0)	Correct	NAM	HC000T65W:14
E0635	NIL	4272	TEXT	IC00162QM	HC000T65W:(1388,0)-(1399,0)	Correct	NAM	HC000T65W:14
E0635	NIL	4273	TEXT	IC00162QM	HC000T65W:(1389,0)-(1399,0)	Correct	NOM	HC000T65W:14
E0635	NIL	4274	TEXT	IC00162QM	HC000T65W:(1573,0)-(1708,0)	Correct	NAM	HC000T65W:17
E0635	NIL	4275	TEXT	IC00162QM	HC000T65W:(1674,0)-(1694,0)	Correct	NAM	HC000T65W:17
E0635	NIL	4276	TEXT	IC00162QM	HC000T65W:(1814,0)-(1823,0)	Wrong	NIL	0
E0635	NIL	4277	TEXT	IC00162QM	HC000T65W:(1862,0)-(1944,0)	Correct	NAM	HC000T65W:20
E0635	NIL	4278	TEXT	IC00162QM	HC000T65W:(2181,0)-(2309,0)	Correct	NAM	HC000T65W:23
E0635	NIL	4279	TEXT	IC00162QM	HC000T65W:(2232,0)-(2242,0)	Correct	NAM	HC000T65W:23
E0635	NIL	4280	TEXT	IC00162QM	HC000T65W:(2233,0)-(2242,0)	Correct	NAM	HC000T65W:23
E0635	NIL	4281	TEXT	IC00162QM	HC000T65W:(2464,0)-(2577,0)	Correct	NAM	HC000T65W:26
E0635	NIL	4282	TEXT	IC00162QM	HC000T65W:(2548,0)-(2554,0)	Correct	NAM	HC000T65W:26
E0635	NIL	4283	TEXT	IC00162QM	HC000T65W:(2549,0)-(2554,0)	Correct	NAM	HC000T65W:26
E0635	NIL	4284	TEXT	IC00162QM	HC000T65W:(2559,0)-(2568,0)	Wrong	NIL	0
E0635	NIL	4285	TEXT	IC00162QM	HC000T65W:(2570,0)-(2576,0)	Wrong	NIL	0
E0635	NIL	4286	TEXT	IC00162QM	HC000T65W:(2583,0)-(2591,0)	Wrong	NIL	0
E0635	NIL	4287	TEXT	IC00162QM	HC000T65W:(3213,0)-(3221,0)	Wrong	NIL	0
E0635	NIL	4288	TEXT	IC00162QM	HC000T65W:(3401,0)-(3409,0)	Wrong	NIL	0
E0635	NIL	4289	TEXT	IC00162QM	HC000T65W:(3455,0)-(3464,0)	Wrong	NIL	0
E0635	NIL	4290	TEXT	IC00162QM	HC000T65W:(3788,0)-(3796,0)	Wrong	NIL	0
E0635	NIL	4291	TEXT	IC00162QM	HC000T65W:(3966,0)-(3970,0)	Wrong	NIL	0
E0635	NIL	4292	TEXT	IC00162QM	HC000T65W:(4150,0)-(4158,0)	Wrong	NIL	0
E0635	NIL	4293	TEXT	IC00162QM	HC000T65W:(4160,0)-(4168,0)	Wrong	NIL	0
E0635	NIL	4294	TEXT	IC00162QM	HC000T65W:(4274,0)-(4278,0)	Wrong	NIL	0
E0635	NIL	4295	TEXT	IC00162QM	HC000T65W:(4354,0)-(4360,0)	Wrong	NIL	0
E0635	NIL	4296	TEXT	IC00162QM	HC000T65W:(4653,0)-(4659,0)	Wrong	NIL	0
E0635	NIL	4297	TEXT	IC00162QM	HC000T65W:(5111,0)-(5116,0)	Wrong	NIL	0
E0635	NIL	4298	TEXT	IC00162QM	HC000T65W:(5118,0)-(5125,0)	Wrong	NIL	0
E0635	NIL	4299	TEXT	IC00162QM	HC000T65W:(5523,0)-(5529,0)	Wrong	NIL	0
E0635	NIL	4300	TEXT	IC00162QM	HC000T65W:(5748,0)-(5757,0)	Wrong	NIL	0
E0635	NIL	4301	TEXT	IC00162QM	HC000T65W:(5870,0)-(5885,0)	Wrong	NIL	0
E0635	NIL	4302	TEXT	IC00162QM	HC000T65W:(5907,0)-(5915,0)	Wrong	NIL	0
E0635	NIL	4303	TEXT	IC00162QM	HC000T65W:(6073,0)-(6082,0)	Wrong	NIL	0
E0635	NIL	4304	TEXT	IC00162QM	HC000T65W:(6143,0)-(6151,0)	Wrong	NIL	0
E0635	NIL	4305	TEXT	IC00162QM	HC000T65W:(6154,0)-(6161,0)	Wrong	NIL	0
E0635	NIL	4306	TEXT	IC00162QM	HC000T65W:(6412,0)-(6420,0)	Wrong	NIL	0
E0635	NIL	4307	TEXT	IC00162QM	HC000T65W:(7097,0)-(7112,0)	Wrong	NIL	0
E0635	NIL	4308	TEXT	IC00162QM	HC000T65W:(7461,0)-(7467,0)	Wrong	NIL	0
E0635	NIL	4309	TEXT	IC00162QM	HC000T65W:(7491,0)-(7496,0)	Wrong	NIL	0
E0635	NIL	4310	TEXT	IC00162QM	HC000T65W:(7509,0)-(7515,0)	Wrong	NIL	0
E0635	NIL	4311	TEXT	IC00162QM	HC000T65W:(7800,0)-(7809,0)	Wrong	NIL	0
E0635	NIL	4312	TEXT	IC00162QM	HC000T65W:(8073,0)-(8081,0)	Wrong	NIL	0
E0635	NIL	4313	TEXT	IC00162QM	HC000T65W:(8126,0)-(8135,0)	Wrong	NIL	0
E0635	NIL	4314	TEXT	IC00162QM	HC000T65W:(8159,0)-(8167,0)	Wrong	NIL	0
E0635	NIL	4315	TEXT	IC00162QM	HC000T65W:(8225,0)-(8231,0)	Wrong	NIL	0
E0635	NIL	4316	TEXT	IC00162QM	HC000T65W:(8294,0)-(8301,0)	Wrong	NIL	0
E0635	NIL	4317	TEXT	IC00162QM	HC000T65W:(8305,0)-(8313,0)	Wrong	NIL	0
E0635	NIL	4318	TEXT	IC00162QM	HC000T65W:(8316,0)-(8427,0)	Wrong	NIL	0
E0635	NIL	4319	TEXT	IC00162QM	HC000T65W:(8410,0)-(8419,0)	Wrong	NIL	0
E0635	NIL	4320	TEXT	IC00162QM	HC000T65W:(8543,0)-(8549,0)	Wrong	NIL	0
E0635	NIL	4321	TEXT	IC00162QM	HC000T65W:(8686,0)-(8871,0)	Correct	NAM	HC000T65W:76
E0635	NIL	4322	TEXT	IC00162QM	HC000T65W:(8815,0)-(8821,0)	Wrong	NIL	0
E0635	NIL	4323	TEXT	IC00162QM	HC000T65W:(8843,0)-(8847,0)	Correct	NAM	HC000T65W:76
E0635	NIL	4324	TEXT	IC00162QM	HC000T65W:(8846,0)-(8847,0)	Correct	NAM	HC000T65W:76
E0635	NIL	4325	TEXT	IC00162QM	HC000T65W:(8967,0)-(8975,0)	Wrong	NIL	0
E0635	NIL	4326	TEXT	IC00162QM	HC000T65W:(9036,0)-(9048,0)	Wrong	NIL	0
E0635	NIL	4327	TEXT	IC00162QM	HC000T65W:(9432,0)-(9440,0)	Wrong	NIL	0
E0635	NIL	4328	TEXT	IC00162QM	HC000T65W:(9556,0)-(9571,0)	Wrong	NIL	0
E0635	NIL	4329	TEXT	IC00162QM	HC000T65W:(9699,0)-(9703,0)	Wrong	NIL	0
E0635	NIL	4330	TEXT	IC00162QM	HC000T65W:(9705,0)-(9718,0)	Wrong	NIL	0
E0635	NIL	4331	TEXT	IC00162QM	HC000T65W:(9720,0)-(9735,0)	Wrong	NIL	0
E0635	NIL	4332	TEXT	IC00162QM	HC000T65W:(9749,0)-(9758,0)	Wrong	NIL	0
E0635	NIL	4333	TEXT	IC00162QM	HC000T65W:(10023,0)-(10028,0)	Wrong	NIL	0
E0635	NIL	4334	TEXT	IC00162QM	HC000T65W:(10052,0)-(10059,0)	Wrong	NIL	0
E0635	NIL	4335	TEXT	IC00162QM	HC000T65W:(10174,0)-(10182,0)	Wrong	NIL	0
E0635	NIL	4336	TEXT	IC00162QM	HC000T65W:(10349,0)-(10357,0)	Wrong	NIL	0
E0635	NIL	4337	TEXT	IC00162QM	HC000T65W:(10768,0)-(10777,0)	Wrong	NIL	0
E0635	NIL	4338	TEXT	IC00162QM	HC000T65W:(10779,0)-(10784,0)	Wrong	NIL	0
E0635	NIL	4339	TEXT	IC00162QM	HC000T65W:(11110,0)-(11304,0)	Correct	NAM	HC000T65W:99
E0635	NIL	4340	TEXT	IC00162QM	HC000T65W:(11234,0)-(11236,0)	Correct	NAM	HC000T65W:99
E0635	NIL	4341	TEXT	IC00162QM	HC000T65W:(11235,0)-(11236,0)	Correct	NAM	HC000T65W:99
E0635	NIL	4342	TEXT	IC00162QM	HC000T65W:(11282,0)-(11287,0)	Wrong	NIL	0
E0635	NIL	4343	TEXT	IC00162QM	HC000T65W:(11405,0)-(11514,0)	Correct	NAM	HC000T65W:102
E0635	NIL	4344	TEXT	IC00162QM	HC000T65W:(11421,0)-(11431,0)	Correct	NAM	HC000T65W:102
E0635	NIL	4345	TEXT	IC00162QM	HC000T65W:(11422,0)-(11431,0)	Correct	NOM	HC000T65W:102
E0635	NIL	4346	TEXT	IC00162QM	HC000T65W:(11465,0)-(11472,0)	Wrong	NIL	0
E0635	NIL	4347	TEXT	IC00162QM	HC000T65W:(11533,0)-(11537,0)	Wrong	NIL	0
E0635	NIL	4348	TEXT	IC00162QM	HC000T65W:(11647,0)-(11656,0)	Wrong	NIL	0
E0635	NIL	4349	TEXT	IC00162QM	HC000T65W:(11686,0)-(11695,0)	Wrong	NIL	0
E0635	NIL	4350	TEXT	IC00162QM	HC000T65W:(11796,0)-(11804,0)	Wrong	NIL	0
E0635	NIL	4351	TEXT	IC00162QM	HC000T65W:(11839,0)-(11880,0)	Correct	NAM	HC000T65W:108
E0635	NIL	4352	TEXT	IC00162QM	HC000T65W:(11873,0)-(11880,0)	Correct	NAM	HC000T65W:108
E0635	NIL	4353	TEXT	IC00162QM	HC000T65W:(11874,0)-(11879,0)	Correct	NAM	HC000T65W:108
E0635	NIL	4354	TEXT	IC00162QM	HC000T65W:(11885,0)-(12113,0)	Correct	NAM	HC000T65W:109
E0635	NIL	4355	TEXT	IC00162QM	HC000T65W:(11974,0)-(11982,0)	Wrong	NIL	0
E0635	NIL	4356	TEXT	IC00162QM	HC000T65W:(12073,0)-(12075,0)	Correct	NAM	HC000T65W:109
E0635	NIL	4357	TEXT	IC00162QM	HC000T65W:(12074,0)-(12075,0)	Correct	NAM	HC000T65W:109
E0635	NIL	4358	TEXT	IC00162QM	HC000T65W:(12221,0)-(12230,0)	Wrong	NIL	0
E0635	NIL	4359	TEXT	IC00162QM	HC000T65W:(12267,0)-(12449,0)	Correct	NAM	HC000T65W:111
E0635	NIL	4360	TEXT	IC00162QM	HC000T65W:(12368,0)-(12378,0)	Correct	NAM	HC000T65W:111
E0635	NIL	4361	TEXT	IC00162QM	HC000T65W:(12369,0)-(12378,0)	Correct	NAM	HC000T65W:111
E0635	NIL	4362	TEXT	IC00162QM	HC000T65W:(12440,0)-(12448,0)	Wrong	NIL	0
E0635	NIL	4363	TEXT	IC00162QM	HC000T65W:(12627,0)-(12636,0)	Wrong	NIL	0
E0635	NIL	4364	TEXT	IC00162QM	HC000T65W:(12749,0)-(12757,0)	Wrong	NIL	0
E0635	NIL	4365	TEXT	IC00162QM	HC000T65W:(12888,0)-(12897,0)	Wrong	NIL	0
E0635	NIL	4366	TEXT	IC00162QM	HC000T65W:(12992,0)-(12998,0)	Wrong	NIL	0
E0635	NIL	4367	TEXT	IC00162QM	HC000T65W:(13076,0)-(13084,0)	Wrong	NIL	0
E0635	NIL	4368	TEXT	IC00162QM	HC000T65W:(13164,0)-(13172,0)	Wrong	NIL	0
E0635	NIL	4369	TEXT	IC00162QM	HC000T65W:(13403,0)-(13451,0)	Wrong	NIL	0
E0635	NIL	4370	TEXT	IC00162QM	HC000T65W:(13417,0)-(13425,0)	Wrong	NIL	0
E0635	NIL	4371	TEXT	IC00162QM	HC000T65W:(13444,0)-(13449,0)	Wrong	NIL	0
E0635	NIL	4372	TEXT	IC00162QM	HC000T65W:(13464,0)-(13473,0)	Wrong	NIL	0
E0635	NIL	4373	TEXT	IC00162QM	HC000T65W:(13568,0)-(13576,0)	Wrong	NIL	0
E0635	NIL	4374	TEXT	IC00162QM	HC000T65W:(13921,0)-(13930,0)	Wrong	NIL	0
E0635	NIL	4375	TEXT	IC00162QM	HC000T65W:(14028,0)-(14037,0)	Wrong	NIL	0
E0635	NIL	4376	TEXT	IC00162QM	HC000T65W:(14047,0)-(14173,0)	Correct	NAM	HC000T65W:126
E0635	NIL	4377	TEXT	IC00162QM	HC000T65W:(14051,0)-(14061,0)	Correct	NAM	HC000T65W:126
E0635	NIL	4378	TEXT	IC00162QM	HC000T65W:(14052,0)-(14061,0)	Correct	NAM	HC000T65W:126
E0635	NIL	4379	TEXT	IC00162QM	HC000T65W:(14113,0)-(14121,0)	Wrong	NIL	0
E0635	NIL	4380	TEXT	IC00162QM	HC000T65W:(14157,0)-(14166,0)	Wrong	NIL	0
E0635	NIL	4381	TEXT	IC00162QM	HC000T65W:(14192,0)-(14198,0)	Wrong	NIL	0
E0635	NIL	4382	TEXT	IC00162QM	HC000T65W:(14200,0)-(14206,0)	Wrong	NIL	0
E0635	NIL	4383	TEXT	IC00162QM	HC000T65W:(14243,0)-(14251,0)	Wrong	NIL	0
E0635	NIL	4384	TEXT	IC00162QM	HC000T65W:(14311,0)-(14321,0)	Wrong	NIL	0
E0635	NIL	4385	TEXT	IC00162QM	HC000T65W:(14361,0)-(14370,0)	Wrong	NIL	0
E0635	NIL	4386	TEXT	IC00162QM	HC000T65W:(14532,0)-(14541,0)	Wrong	NIL	0
E0635	NIL	4387	TEXT	IC00162QM	HC000T65W:(14628,0)-(14641,0)	Wrong	NIL	0
E0635	NIL	4388	TEXT	IC00162QM	HC000T65W:(14647,0)-(14653,0)	Wrong	NIL	0
E0635	NIL	4389	TEXT	IC00162QM	HC000T65W:(15121,0)-(15126,0)	Wrong	NIL	0
E0635	NIL	4390	TEXT	IC00162QM	HC000T65W:(15399,0)-(15407,0)	Wrong	NIL	0
E0635	NIL	4391	TEXT	IC00162QM	HC000T65W:(15636,0)-(15646,0)	Wrong	NIL	0
E0635	NIL	4392	TEXT	IC00162QM	HC000T65W:(15701,0)-(15797,0)	Wrong	NIL	0
E0635	NIL	4393	TEXT	IC00162QM	HC000T65W:(15909,0)-(15917,0)	Wrong	NIL	0
E0635	NIL	4394	TEXT	IC00162QM	HC000T65W:(15997,0)-(16005,0)	Wrong	NIL	0
E0635	NIL	4395	TEXT	IC00162QM	HC000T65W:(16086,0)-(16094,0)	Wrong	NIL	0
E0635	NIL	4396	TEXT	IC00162QM	HC000T65W:(16136,0)-(16144,0)	Wrong	NIL	0
E0635	NIL	4397	TEXT	IC00162QM	HC000T65W:(16166,0)-(16174,0)	Wrong	NIL	0
E0635	NIL	7532	TEXT	IC001L3GY	IC001L4O4:(118,0)-(124,0)	Wrong	NIL	0
E0635	NIL	7533	TEXT	IC001L3GY	IC001L4O4:(219,0)-(225,0)	Wrong	NIL	0
E0635	NIL	7534	TEXT	IC001L3GY	IC001L4O4:(242,0)-(250,0)	Wrong	NIL	0
E0635	NIL	7535	TEXT	IC001L3GY	IC001L4O4:(399,0)-(408,0)	Wrong	NIL	0
E0635	NIL	7536	TEXT	IC001L3GY	IC001L4O4:(542,0)-(551,0)	Wrong	NIL	0
E0635	NIL	7537	TEXT	IC001L3GY	IC001L4O4:(600,0)-(609,0)	Correct	NAM	IC001L4O4:5
E0635	NIL	7538	TEXT	IC001L3GY	IC001L4O4:(711,0)-(717,0)	Wrong	NIL	0
E0635	NIL	7539	TEXT	IC001L3GY	IC001L4O4:(731,0)-(737,0)	Wrong	NIL	0
E0635	NIL	7540	TEXT	IC001L3GY	IC001L4O4:(753,0)-(761,0)	Wrong	NIL	0
E0635	NIL	7541	TEXT	IC001L3GY	IC001L4O4:(835,0)-(838,0)	Wrong	NIL	0
E0635	NIL	7542	TEXT	IC001L3GY	IC001L4O4:(1140,0)-(1146,0)	Wrong	NIL	0
E0635	NIL	7543	TEXT	IC001L3GY	IC001L4O4:(1306,0)-(1312,0)	Wrong	NIL	0
E0635	NIL	7544	TEXT	IC001L3GY	IC001L4O4:(1341,0)-(1345,0)	Wrong	NIL	0
E0635	NIL	7545	TEXT	IC001L3GY	IC001L4O4:(1402,0)-(1408,0)	Wrong	NIL	0
E0635	NIL	7546	TEXT	IC001L3GY	IC001L4O4:(1412,0)-(1420,0)	Wrong	NIL	0
E0635	NIL	7547	TEXT	IC001L3GY	IC001L4O4:(1534,0)-(1543,0)	Wrong	NIL	0
E0635	NIL	7548	TEXT	IC001L3GY	IC001L4O4:(1624,0)-(1627,0)	Wrong	NIL	0
E0635	NIL	7549	TEXT	IC001L3GY	IC001L4O4:(1880,0)-(1889,0)	Wrong	NIL	0
E0635	NIL	7550	TEXT	IC001L3GY	IC001L4O4:(2198,0)-(2206,0)	Wrong	NIL	0
E0635	NIL	7551	TEXT	IC001L3GY	IC001L4O4:(2248,0)-(2257,0)	Wrong	NIL	0
E0635	NIL	7552	TEXT	IC001L3GY	IC001L4O4:(2358,0)-(2364,0)	Wrong	NIL	0
E0635	NIL	7553	TEXT	IC001L3GY	IC001L4O4:(2552,0)-(2558,0)	Wrong	NIL	0
E0635	NIL	7554	TEXT	IC001L3GY	IC001L4O4:(2563,0)-(2571,0)	Wrong	NIL	0
E0635	NIL	7555	TEXT	IC001L3GY	IC001L4O4:(2767,0)-(2772,0)	Wrong	NIL	0
E0635	NIL	7556	TEXT	IC001L3GY	IC001L4O4:(2868,0)-(2875,0)	Correct	NAM	IC001L4O4:23
E0635	NIL	7557	TEXT	IC001L3GY	IC001L4O4:(2907,0)-(2909,0)	Wrong	NIL	0
E0635	NIL	7558	TEXT	IC001L3GY	IC001L4O4:(2940,0)-(2954,0)	Correct	NAM	IC001L4O4:24
E0635	NIL	7559	TEXT	IC001L3GY	IC001L4O4:(2948,0)-(2953,0)	Correct	NAM	IC001L4O4:24
E0635	NIL	7560	TEXT	IC001L3GY	IC001L4O4:(2985,0)-(2993,0)	Wrong	NIL	0
E0635	NIL	7561	TEXT	IC001L3GY	IC001L4O4:(3095,0)-(3104,0)	Correct	NAM	IC001L4O4:25
E0635	NIL	7562	TEXT	IC001L3GY	IC001L4O4:(3183,0)-(3192,0)	Wrong	NIL	0
E0635	NIL	7563	TEXT	IC001L3GY	IC001L4O4:(3571,0)-(3577,0)	Wrong	NIL	0
E0635	NIL	7564	TEXT	IC001L3GY	IC001L4O4:(3983,0)-(3989,0)	Wrong	NIL	0
E0635	NIL	7565	TEXT	IC001L3GY	IC001L4O4:(4005,0)-(4011,0)	Wrong	NIL	0
E0635	NIL	7566	TEXT	IC001L3GY	IC001L4O4:(4028,0)-(4036,0)	Wrong	NIL	0
E0635	NIL	7567	TEXT	IC001L3GY	IC001L4O4:(4179,0)-(4189,0)	Correct	NAM	IC001L4O4:34
E0635	NIL	7568	TEXT	IC001L3GY	IC001L4O4:(4180,0)-(4189,0)	Correct	NAM	IC001L4O4:34
E0635	NIL	7569	TEXT	IC001L3GY	IC001L4O4:(4213,0)-(4219,0)	Wrong	NIL	0
E0635	NIL	7570	TEXT	IC001L3GY	IC001L4O4:(4285,0)-(4291,0)	Wrong	NIL	0
E0635	NIL	7571	TEXT	IC001L3GY	IC001L4O4:(4308,0)-(4316,0)	Wrong	NIL	0
E0635	NIL	7572	TEXT	IC001L3GY	IC001L4O4:(4459,0)-(4465,0)	Wrong	NIL	0
