ClaimID	JustificationNum	EdgeID	EdgeLabel	IsEdgeNegated	EvtRelMetatype	EvtRelType	EvtRelClusterID	IsEvtRelNegated	ObjMetatype	ObjectType	ObjClusterID	IsObjNegated	ObjectHandle	DocID	SubjectJustification	PredicateJustification	ArgumentJustification
CLL0C04CWFV.000390	11	cluster-NILCVML0C04CWFV.000416::EMPTY_REF::cluster-NILCEML0C04CWFV.000453	EMPTY_REF	NotNegated	Event	Q177719	cluster-NILCVML0C04CWFV.000416	NotNegated	Entity	Q169872	cluster-NILCEML0C04CWFV.000453	NotNegated	skin rash	L0C04CWFV	NULL	L0C04CWFV:L0C04D4EO:(1,0)-(5123,0)	L0C04CWFV:L0C04D4EO:(1,0)-(5123,0)
CLL0C04CWFV.000390	12	cluster-NILCVML0C04CWFV.000416::EMPTY_REF::cluster-NILCEML0C04CWFV.000463	EMPTY_REF	NotNegated	Event	Q177719	cluster-NILCVML0C04CWFV.000416	NotNegated	Entity	Q2057971	cluster-NILCEML0C04CWFV.000463	NotNegated	neuroleptic malignant syndrome	L0C04CWFV	NULL	L0C04CWFV:L0C04D4EO:(1,0)-(5123,0)	L0C04CWFV:L0C04D4EO:(1,0)-(5123,0)
CLL0C04CWFV.000390	13	cluster-NILCVML0C04CWFV.000416::EMPTY_REF::cluster-NILCEML0C04CWFV.000433	EMPTY_REF	NotNegated	Event	Q177719	cluster-NILCVML0C04CWFV.000416	NotNegated	Entity	Q169872	cluster-NILCEML0C04CWFV.000433	NotNegated	high levels of transaminases	L0C04CWFV	NULL	L0C04CWFV:L0C04D4EO:(1,0)-(5123,0)	L0C04CWFV:L0C04D4EO:(1,0)-(5123,0)
CLL0C04CWFV.000390	14	cluster-NILCVML0C04CWFV.000416::EMPTY_REF::cluster-NILCEML0C04CWFV.000443	EMPTY_REF	NotNegated	Event	Q177719	cluster-NILCVML0C04CWFV.000416	NotNegated	Entity	Q169872	cluster-NILCEML0C04CWFV.000443	NotNegated	nausea	L0C04CWFV	NULL	L0C04CWFV:L0C04D4EO:(1,0)-(5123,0)	L0C04CWFV:L0C04D4EO:(1,0)-(5123,0)
CLL0C04CWFV.000390	15	cluster-NILCVML0C04CWFV.000416::EMPTY_REF::cluster-NILCEML0C04CWFV.000438	EMPTY_REF	NotNegated	Event	Q177719	cluster-NILCVML0C04CWFV.000416	NotNegated	Entity	Q2057971	cluster-NILCEML0C04CWFV.000438	NotNegated	immunosuppression	L0C04CWFV	NULL	L0C04CWFV:L0C04D4EO:(1,0)-(5123,0)	L0C04CWFV:L0C04D4EO:(1,0)-(5123,0)
CLL0C04CWFV.000390	16	cluster-NILCVML0C04CWFV.000519::A3_mnr__instrument::cluster-NILCEML0C04CWFV.000030	A3_mnr__instrument	NotNegated	Event	Q179661	cluster-NILCVML0C04CWFV.000519	NotNegated	Entity	Q15401930	cluster-NILCEML0C04CWFV.000030	NotNegated	favipiravir	L0C04CWFV	NULL	L0C04CWFV:L0C04D4EO:(1,0)-(5123,0)	L0C04CWFV:L0C04D4EO:(1,0)-(5123,0)
CLL0C04CWFV.000390	17	cluster-NILCVML0C04CWFV.000519::A2_ppt__illness_or_injury::cluster-NILCEML0C04CWFV.000040	A2_ppt__illness_or_injury	NotNegated	Event	Q179661	cluster-NILCVML0C04CWFV.000519	NotNegated	Entity	Q12136	cluster-NILCEML0C04CWFV.000040	NotNegated	COVID-19	L0C04CWFV	NULL	L0C04CWFV:L0C04D4EO:(1,0)-(5123,0)	L0C04CWFV:L0C04D4EO:(1,0)-(5123,0)
CLL0C04CWFV.000390	18	cluster-NILCVML0C04CWFV.000559::A1_ppt_topic_utterance::cluster-NILCEML0C04CWFV.000509	A1_ppt_topic_utterance	NotNegated	Event	Q11024	cluster-NILCVML0C04CWFV.000559	NotNegated	Entity	Q11028	cluster-NILCEML0C04CWFV.000509	NotNegated	treatment with favipiravir	L0C04CWFV	NULL	L0C04CWFV:L0C04D4EO:(1,0)-(5123,0)	L0C04CWFV:L0C04D4EO:(1,0)-(5123,0)
CLL0C04CWFV.000390	19	cluster-NILCVML0C04CWFV.000559::A2_com_co_agent_other_communicators::cluster-NILCEML0C04CWFV.000580	A2_com_co_agent_other_communicators	NotNegated	Event	Q11024	cluster-NILCVML0C04CWFV.000559	NotNegated	Entity	Q1930187	cluster-NILCEML0C04CWFV.000580	NotNegated	authors of the article	L0C04CWFV	NULL	L0C04CWFV:L0C04D4EO:(1,0)-(5123,0)	L0C04CWFV:L0C04D4EO:(1,0)-(5123,0)
CLL0C04CWFV.000390	20	cluster-NILCVML0C04CWFV.000559::A0_pag_agent_first_communicator::cluster-NILCEML0C04CWFV.000575	A0_pag_agent_first_communicator	NotNegated	Event	Q11024	cluster-NILCVML0C04CWFV.000559	NotNegated	Entity	Q901	cluster-NILCEML0C04CWFV.000575	NotNegated	Nadezhda Izmozherova	L0C04CWFV	NULL	L0C04CWFV:L0C04D4EO:(1,0)-(5123,0)	L0C04CWFV:L0C04D4EO:(1,0)-(5123,0)
CLL0C04CWFV.000390	21	cluster-NILCVML0C04CWFV.000559::AM_loc__location::cluster-NILCEML0C04CWFV.000045	AM_loc__location	NotNegated	Event	Q11024	cluster-NILCVML0C04CWFV.000559	NotNegated	Entity	Q6256	cluster-NILCEML0C04CWFV.000045	NotNegated	Russia	L0C04CWFV	NULL	L0C04CWFV:L0C04D4EO:(1,0)-(5123,0)	L0C04CWFV:L0C04D4EO:(1,0)-(5123,0)
CLL0C04CWFV.000390	22	cluster-NILCVML0C04CWFV.000614::EMPTY_REF::cluster-NILCEML0C04CWFV.000634	EMPTY_REF	NotNegated	Event	Q791801	cluster-NILCVML0C04CWFV.000614	NotNegated	Entity	Q11028	cluster-NILCEML0C04CWFV.000634	NotNegated	the safety of favipiravir	L0C04CWFV	NULL	L0C04CWFV:L0C04D4EO:(1,0)-(5123,0)	L0C04CWFV:L0C04D4EO:(1,0)-(5123,0)
CLL0C04CWFV.000390	23	cluster-NILCVML0C04CWFV.000614::A1_ppt_theme_thing_estimated::cluster-NILCEML0C04CWFV.000030	A1_ppt_theme_thing_estimated	NotNegated	Event	Q791801	cluster-NILCVML0C04CWFV.000614	NotNegated	Entity	Q15401930	cluster-NILCEML0C04CWFV.000030	NotNegated	favipiravir	L0C04CWFV	NULL	L0C04CWFV:L0C04D4EO:(1,0)-(5123,0)	L0C04CWFV:L0C04D4EO:(1,0)-(5123,0)
CLL0C04CWFV.000390	24	cluster-NILCVML0C04CWFV.000639::A0_pag_experiencer_observer::cluster-NILCEML0C04CWFV.000659	A0_pag_experiencer_observer	NotNegated	Event	Q193181	cluster-NILCVML0C04CWFV.000639	NotNegated	Entity	Q11974939	cluster-NILCEML0C04CWFV.000659	NotNegated	doctors	L0C04CWFV	NULL	L0C04CWFV:L0C04D4EO:(1,0)-(5123,0)	L0C04CWFV:L0C04D4EO:(1,0)-(5123,0)
CLL0C04CWFV.000390	25	cluster-NILCVML0C04CWFV.000664::A0_pag_agent_estimator::cluster-NILCEML0C04CWFV.000659	A0_pag_agent_estimator	NotNegated	Event	Q791801	cluster-NILCVML0C04CWFV.000664	NotNegated	Entity	Q11974939	cluster-NILCEML0C04CWFV.000659	NotNegated	doctors	L0C04CWFV	NULL	L0C04CWFV:L0C04D4EO:(1,0)-(5123,0)	L0C04CWFV:L0C04D4EO:(1,0)-(5123,0)
CLL0C04CWFV.000390	26	cluster-NILCVML0C04CWFV.000664::EMPTY_REF::cluster-NILCEML0C04CWFV.000428	EMPTY_REF	NotNegated	Event	Q791801	cluster-NILCVML0C04CWFV.000664	NotNegated	Entity	Q169872	cluster-NILCEML0C04CWFV.000428	NotNegated	increase in uric acid	L0C04CWFV	NULL	L0C04CWFV:L0C04D4EO:(1,0)-(5123,0)	L0C04CWFV:L0C04D4EO:(1,0)-(5123,0)
CLL0C04CWFV.000390	27	cluster-NILCVML0C04CWFV.000684::EMPTY_REF::cluster-NILCEML0C04CWFV.000433	EMPTY_REF	NotNegated	Event	Q791801	cluster-NILCVML0C04CWFV.000684	NotNegated	Entity	Q169872	cluster-NILCEML0C04CWFV.000433	NotNegated	high levels of transaminases	L0C04CWFV	NULL	L0C04CWFV:L0C04D4EO:(1,0)-(5123,0)	L0C04CWFV:L0C04D4EO:(1,0)-(5123,0)
CLL0C04CWFV.000390	28	cluster-NILCVML0C04CWFV.000684::A0_pag_agent_estimator::cluster-NILCEML0C04CWFV.000659	A0_pag_agent_estimator	NotNegated	Event	Q791801	cluster-NILCVML0C04CWFV.000684	NotNegated	Entity	Q11974939	cluster-NILCEML0C04CWFV.000659	NotNegated	doctors	L0C04CWFV	NULL	L0C04CWFV:L0C04D4EO:(1,0)-(5123,0)	L0C04CWFV:L0C04D4EO:(1,0)-(5123,0)
CLL0C04CWFV.000390	29	cluster-NILCVML0C04CWFV.000704::A2_ppt__illness_or_injury::cluster-NILCEML0C04CWFV.000040	A2_ppt__illness_or_injury	NotNegated	Event	Q179661	cluster-NILCVML0C04CWFV.000704	Negated	Entity	Q12136	cluster-NILCEML0C04CWFV.000040	NotNegated	COVID-19	L0C04CWFV	NULL	L0C04CWFV:L0C04D4EO:(1,0)-(5123,0)	L0C04CWFV:L0C04D4EO:(1,0)-(5123,0)
CLL0C04CWFV.000390	30	cluster-NILCVML0C04CWFV.000704::A1_ppt__patient::cluster-NILCEML0C04CWFV.000597	A1_ppt__patient	NotNegated	Event	Q179661	cluster-NILCVML0C04CWFV.000704	Negated	Entity	Q215627	cluster-NILCEML0C04CWFV.000597	NotNegated	pregnant women	L0C04CWFV	NULL	L0C04CWFV:L0C04D4EO:(1,0)-(5123,0)	L0C04CWFV:L0C04D4EO:(1,0)-(5123,0)
CLL0C04CWFV.000390	31	cluster-NILCVML0C04CWFV.000704::A3_mnr__instrument::cluster-NILCEML0C04CWFV.000030	A3_mnr__instrument	NotNegated	Event	Q179661	cluster-NILCVML0C04CWFV.000704	Negated	Entity	Q15401930	cluster-NILCEML0C04CWFV.000030	NotNegated	favipiravir	L0C04CWFV	NULL	L0C04CWFV:L0C04D4EO:(1,0)-(5123,0)	L0C04CWFV:L0C04D4EO:(1,0)-(5123,0)
CLL0C04CWFV.000390	32	cluster-NILCVML0C04CWFV.000733::A1_ppt__patient::cluster-NILCEML0C04CWFV.000716	A1_ppt__patient	NotNegated	Event	Q179661	cluster-NILCVML0C04CWFV.000733	Negated	Entity	Q215627	cluster-NILCEML0C04CWFV.000716	NotNegated	children under 18	L0C04CWFV	NULL	L0C04CWFV:L0C04D4EO:(1,0)-(5123,0)	L0C04CWFV:L0C04D4EO:(1,0)-(5123,0)
CLL0C04CWFV.000390	33	cluster-NILCVML0C04CWFV.000733::A3_mnr__instrument::cluster-NILCEML0C04CWFV.000030	A3_mnr__instrument	NotNegated	Event	Q179661	cluster-NILCVML0C04CWFV.000733	Negated	Entity	Q15401930	cluster-NILCEML0C04CWFV.000030	NotNegated	favipiravir	L0C04CWFV	NULL	L0C04CWFV:L0C04D4EO:(1,0)-(5123,0)	L0C04CWFV:L0C04D4EO:(1,0)-(5123,0)
CLL0C04CWFV.000390	34	cluster-NILCVML0C04CWFV.000733::A2_ppt__illness_or_injury::cluster-NILCEML0C04CWFV.000040	A2_ppt__illness_or_injury	NotNegated	Event	Q179661	cluster-NILCVML0C04CWFV.000733	Negated	Entity	Q12136	cluster-NILCEML0C04CWFV.000040	NotNegated	COVID-19	L0C04CWFV	NULL	L0C04CWFV:L0C04D4EO:(1,0)-(5123,0)	L0C04CWFV:L0C04D4EO:(1,0)-(5123,0)
CLL0C04CWFV.000390	35	cluster-NILCRML0C04CWFV.000757::Time::TIME	Time	NotNegated	Relation	P108	cluster-NILCRML0C04CWFV.000757	NotNegated	Time	TMP	TIME	NotNegated	01-01-0001;31-12-9999;01-01-0001;31-12-9999	L0C04CWFV	NULL	NULL	NULL
CLL0C04CWFV.000390	36	cluster-NILCRML0C04CWFV.000792::Time::TIME	Time	NotNegated	Relation	P463	cluster-NILCRML0C04CWFV.000792	NotNegated	Time	TMP	TIME	NotNegated	01-01-0001;31-12-9999;01-01-0001;31-12-9999	L0C04CWFV	NULL	NULL	NULL
CLL0C04CWFV.000390	37	cluster-NILCRML0C04CWFV.000812::Time::TIME	Time	NotNegated	Relation	P463	cluster-NILCRML0C04CWFV.000812	NotNegated	Time	TMP	TIME	NotNegated	01-01-0001;31-12-9999;01-01-0001;31-12-9999	L0C04CWFV	NULL	NULL	NULL
CLL0C04CWFV.000390	38	cluster-NILCVML0C04CWFV.000416::Time::TIME	Time	NotNegated	Event	Q177719	cluster-NILCVML0C04CWFV.000416	NotNegated	Time	TMP	TIME	NotNegated	01-01-0001;31-12-9999;01-01-0001;31-12-9999	L0C04CWFV	NULL	NULL	NULL
CLL0C04CWFV.000390	39	cluster-NILCVML0C04CWFV.000519::Time::TIME	Time	NotNegated	Event	Q179661	cluster-NILCVML0C04CWFV.000519	NotNegated	Time	TMP	TIME	NotNegated	01-01-0001;30-09-2020;01-09-2020;31-12-9999	L0C04CWFV	NULL	NULL	NULL
CLL0C04CWFV.000390	40	cluster-NILCVML0C04CWFV.000559::Time::TIME	Time	NotNegated	Event	Q11024	cluster-NILCVML0C04CWFV.000559	NotNegated	Time	TMP	TIME	NotNegated	01-09-2020;31-12-9999;01-09-2020;31-12-9999	L0C04CWFV	NULL	NULL	NULL
CLL0C04CWFV.000390	41	cluster-NILCVML0C04CWFV.000614::Time::TIME	Time	NotNegated	Event	Q791801	cluster-NILCVML0C04CWFV.000614	NotNegated	Time	TMP	TIME	NotNegated	01-01-0001;31-12-9999;01-01-0001;31-12-9999	L0C04CWFV	NULL	NULL	NULL
CLL0C04CWFV.000390	42	cluster-NILCVML0C04CWFV.000639::Time::TIME	Time	NotNegated	Event	Q193181	cluster-NILCVML0C04CWFV.000639	NotNegated	Time	TMP	TIME	NotNegated	01-01-0001;31-12-9999;01-01-0001;31-12-9999	L0C04CWFV	NULL	NULL	NULL
CLL0C04CWFV.000390	43	cluster-NILCVML0C04CWFV.000664::Time::TIME	Time	NotNegated	Event	Q791801	cluster-NILCVML0C04CWFV.000664	NotNegated	Time	TMP	TIME	NotNegated	01-01-0001;31-12-9999;01-01-0001;31-12-9999	L0C04CWFV	NULL	NULL	NULL
CLL0C04CWFV.000390	44	cluster-NILCVML0C04CWFV.000684::Time::TIME	Time	NotNegated	Event	Q791801	cluster-NILCVML0C04CWFV.000684	NotNegated	Time	TMP	TIME	NotNegated	01-01-0001;31-12-9999;01-01-0001;31-12-9999	L0C04CWFV	NULL	NULL	NULL
CLL0C04CWFV.000390	45	cluster-NILCVML0C04CWFV.000704::Time::TIME	Time	NotNegated	Event	Q179661	cluster-NILCVML0C04CWFV.000704	NotNegated	Time	TMP	TIME	NotNegated	01-01-0001;31-12-9999;01-01-0001;31-12-9999	L0C04CWFV	NULL	NULL	NULL
CLL0C04CWFV.000390	46	cluster-NILCVML0C04CWFV.000733::Time::TIME	Time	NotNegated	Event	Q179661	cluster-NILCVML0C04CWFV.000733	NotNegated	Time	TMP	TIME	NotNegated	01-01-0001;31-12-9999;01-01-0001;31-12-9999	L0C04CWFV	NULL	NULL	NULL
