query_id	event_or_relation_kbid
AIDA_TA2_GR_2019_0049	NILV80000200
AIDA_TA2_GR_2019_0050	NILV80000200
AIDA_TA2_GR_2019_0051	PTR_R103_018
AIDA_TA2_GR_2019_0052	PTR_R103_019
AIDA_TA2_GR_2019_0053	PTR_R103_019
AIDA_TA2_GR_2019_0054	PTR_R103_020
AIDA_TA2_GR_2019_0055	PTR_R103_020
AIDA_TA2_GR_2019_0056	PTR_R103_021
AIDA_TA2_GR_2019_0057	PTR_R103_021
AIDA_TA2_GR_2019_0058	PTR_R103_021
AIDA_TA2_GR_2019_0059	PTR_R103_022
AIDA_TA2_GR_2019_0060	PTR_R103_022
AIDA_TA2_GR_2019_0061	NILV80000196
AIDA_TA2_GR_2019_0062	NILV80000196
AIDA_TA2_GR_2019_0063	NILV80000196
AIDA_TA2_GR_2019_0064	PTR_R103_023
AIDA_TA2_GR_2019_0065	PTR_R103_023
AIDA_TA2_GR_2019_0066	PTR_R103_024
AIDA_TA2_GR_2019_0067	PTR_R103_024
AIDA_TA2_GR_2019_0068	PTR_R103_024
AIDA_TA2_GR_2019_0069	NILV80000194
AIDA_TA2_GR_2019_0070	NILV80000236
AIDA_TA2_GR_2019_0071	NILV80000236
AIDA_TA2_GR_2019_0072	NILV80000236
AIDA_TA2_GR_2019_0073	NILV80000335
AIDA_TA2_GR_2019_0074	NILV80000335
AIDA_TA2_GR_2019_0075	NILV80000335
AIDA_TA2_GR_2019_0076	NILV80000189
AIDA_TA2_GR_2019_0077	NILV80000189
AIDA_TA2_GR_2019_0078	NILV80000189
AIDA_TA2_GR_2019_0079	NILV80000189
AIDA_TA2_GR_2019_0080	NILV80000190
AIDA_TA2_GR_2019_0081	NILV80000190
AIDA_TA2_GR_2019_0082	NILV80000202
AIDA_TA2_GR_2019_0083	NILV80000202
AIDA_TA2_GR_2019_0084	NILV80000202
AIDA_TA2_GR_2019_0085	NILV80000202
AIDA_TA2_GR_2019_0086	PTR_R105_001
AIDA_TA2_GR_2019_0087	PTR_R105_002
AIDA_TA2_GR_2019_0088	PTR_R105_003
AIDA_TA2_GR_2019_0089	PTR_R105_004
AIDA_TA2_GR_2019_0090	PTR_R105_005
AIDA_TA2_GR_2019_0091	PTR_R105_006
AIDA_TA2_GR_2019_0092	NILV80000239
AIDA_TA2_GR_2019_0093	NILV80000239
AIDA_TA2_GR_2019_0094	NILV80000339
AIDA_TA2_GR_2019_0095	NILV80000340
AIDA_TA2_GR_2019_0096	NILV80000344
AIDA_TA2_GR_2019_0097	NILV80000345
AIDA_TA2_GR_2019_0098	NILV80000345
AIDA_TA2_GR_2019_0099	NILV80000346
AIDA_TA2_GR_2019_0100	NILV80000346
AIDA_TA2_GR_2019_0101	NILV80000347
AIDA_TA2_GR_2019_0102	NILV80000347
AIDA_TA2_GR_2019_0103	PTR_R107_005
AIDA_TA2_GR_2019_0104	PTR_R107_007
AIDA_TA2_GR_2019_0105	NILV80000338
AIDA_TA2_GR_2019_0106	NILV80000338
AIDA_TA2_GR_2019_0107	NILV80000338
AIDA_TA2_GR_2019_0108	NILV80000338
AIDA_TA2_GR_2019_0109	NILV80000240
AIDA_TA2_GR_2019_0110	NILV80000240
AIDA_TA2_GR_2019_0111	NILV80000240
AIDA_TA2_GR_2019_0112	NILV80000240
AIDA_TA2_GR_2019_0113	NILV80000241
AIDA_TA2_GR_2019_0114	NILV80000241
AIDA_TA2_GR_2019_0115	NILV80000336
AIDA_TA2_GR_2019_0116	NILV80000336
AIDA_TA2_GR_2019_0117	NILV80000337
AIDA_TA2_GR_2019_0118	NILV80000337
