uid	topic	url	derived_uid	lang_id	lang_manual	content_date
IC00121YW	T103	https://www.radiosvoboda.org/a/25314056.html	HC000ZXV8	rus,ukr	ukr	2014-03-29
IC0011TZA	T101	https://www.unian.ua/politics/940909-poroshenko-initsiyue-mijnarodnu-komisiyu-z-rozsliduvannya-katastrofi-bojinga-777-na-donechchini.html	HC0008OSF	ukr	ukr	2017-07-17
IC0011SLY	T101	https://www.om.nl/onderwerpen/mh17-crash/	HC00002Y6	eng	eng,rus,und	2017-05-15
IC0011SM3	T101	https://www.rt.com/news/173636-buk-malaysian-plane-crash/	HC00002Y7	eng	eng	2014-07-17
IC0011SMC	T101	https://www.theguardian.com/world/2014/jul/18/mh17-pressure-on-russia-as-world-demands-answers-over-planes-destruction	HC00002Y8	eng	eng	2014-07-18
IC0011SMN	T101	https://www.rt.com/news/173784-ukraine-plane-malaysian-russia/	HC00002Y9	eng	eng	2014-07-18
IC0011SLJ	T101	https://www.om.nl/onderwerpen/mh17-crash/@96068/jit-flight-mh17-shot/	HC0000318	eng	eng	2016-09-28
IC0014VOV	T101	https://www.youtube.com/watch?v=CR5HtzbMy-E	IC0014VOX	eng	eng,rus,und	2014-07-21
IC0011SMW	T101	http://www.bbc.com/news/world-asia-28362872	HC00002YA	eng	eng,rus	2014-07-20
IC0011SNF	T101	https://www.rt.com/news/173964-ukraine-malaysia-intercepted-calls/	HC000032P	eng	eng,rus	2017-10-31
IC0011SNQ	T101	http://www.telegraph.co.uk/news/worldnews/europe/ukraine/10977082/Russian-government-edits-Wikipedia-on-flight-MH17.html	HC000032Q	eng	eng,rus	2017-10-31
IC0011SOZ	T101	https://www.cnbc.com/2014/07/18/timeline-of-mh17-tragedy.html	HC00002YD	eng	eng	2014-07-18
IC0011SP6	T101	http://tass.com/russia/741521	HC00002YE	eng	eng	2014-07-20
IC0011SPI	T101	https://www.rt.com/op-edge/174336-downing-flight-mh17-objectivity/	HC00002YF	eng	eng	2014-07-21
IC0011SQ2	T101	http://eng.mil.ru/en/analytics.htm	HC00002YH	eng	eng,rus	2014-07-30
IC0014VP2	T101	https://www.youtube.com/watch?v=ByziC1-u0IE	IC0014WGW	rus	rus	2015-02-10
IC0011SL5	T101	https://www.youtube.com/watch?v=Mz_KNS1nyNk	IC0011SL9	und	eng,rus	n/a
IC0011TLF	T101	https://consortiumnews.com/2014/08/08/was-putin-targeted-for-mid-air-assassination/	HC00038RL	eng	eng	2014-08-08
IC0011SH6	T101	http://rinf.com/alt-news/war-terrorism/demand-grows-truth-mh17/	HC00002YJ	eng	eng	2014-10-31
IC0011SQC	T101	http://www.bbc.com/news/world-europe-29122816	HC00002YK	eng	eng	2014-09-09
IC0011TMB	T101	https://www.bellingcat.com/news/uk-and-europe/2014/11/08/origin-of-the-separatists-buk-a-bellingcat-investigation/	HC00038RM	eng	eng	2015-06-02
IC0011SQX	T101	http://tass.com/world/759835	HC000032S	eng	eng	2017-10-31
IC0011SR8	T101	http://www.whathappenedtoflightmh17.com/proof-the-russian-tv-satellite-photo-of-mh17-is-fake/	HC00002YM	eng	eng	2014-11-14
IC0011SS3	T101	http://www.ronpaulinstitute.org/archives/featured-articles/2015/july/14/mh17-the-blaming-putin-game-goes-on/	HC00002YN	eng	eng	2015-07-14
IC0011SS9	T101	http://www.armscontrolwonk.com/archive/1201635/mh17-anniversary/	HC00002YO	eng	eng	2016-07-15
IC0011TP0	T101	https://www.bellingcat.com/news/uk-and-europe/2015/01/27/is-this-the-launch-site-of-the-missile-that-shot-down-flight-mh17/	HC00038RO	eng	eng,rus	2015-01-27
IC0011TQJ	T101	http://russia-insider.com/en/why-mh17-was-most-likely-shot-down-ukrainian-su-25-jet/ri9362	HC00038RP	eng	eng	2015-11-09
IC0014YXF	T103	http://www.interpretermag.com/ukraine-liveblog-day-2-of-the-battle-for-maidan/	IC001JXF6	rus,ukr	eng,ukr	n/a
IC0011ST8	T101	https://www.rferl.org/a/ukraine-video-shows-rebels-surprised-mh17-wreckage-civilian/27133474.html	HC00002YP	eng	eng,rus,ukr	2015-07-17
IC0011STW	T101	http://www.bbc.com/news/world-europe-36462853	HC00002YQ	eng	eng	2014-07-20
IC0011SUG	T101	https://www.om.nl/onderwerpen/mh17-vliegramp/presentaties/presentation-joint/	HC00002YR	eng	eng	2016-09-28
IC0011TSL	T101	http://euromaidanpress.com/2015/10/14/confuse-and-obfuscate-the-most-comprehensive-guide-ever-to-mh17-conspiracies/?utm_content=buffer6cc30&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer	HC00038RR	eng	eng	2017-11-10
IC0011TSN	T101	https://www.rt.com/news/351737-mh17-downing-anniversary-accusation/	HC00038RS	eng	eng	2016-07-17
IC0011SVA	T101	https://www.om.nl/onderwerpen/mh17-crash/@98017/mh17-investigation/	HC00002YT	eng	eng	2017-02-16
IC0011TSV	T101	https://consortiumnews.com/2016/07/17/mh-17-two-years-of-anti-russian-propaganda/	HC00038RT	eng	eng	2016-07-17
IC0011TU0	T101	https://consortiumnews.com/2016/07/19/fraud-alleged-in-nyts-mh-17-report/	HC00038RU	eng	eng	2016-07-19
IC0011TV1	T101	https://www.rt.com/news/360925-mh17-crash-jit-report/	HC00038RV	eng	eng	2016-09-28
IC0011SVE	T101	http://www.newsru.com/world/25apr2016/mh17fighter.html	HC00002YU	rus	rus	2016-04-25
IC0011SLO	T101	https://www.theguardian.com/world/2014/jul/19/mh17-russian-media-ukraine-government	HC00002Y5	eng	eng	2014-07-19
IC0011TV8	T101	https://www.bellingcat.com/news/uk-and-europe/2017/07/17/mh17-open-source-investigation-three-years-later/	HC00038RW	eng	eng	2017-07-18
IC0011SVR	T101	http://www.dailymail.co.uk/news/article-2696508/Reports-27-Australian-passengers-board-MH17-footage-emerges-Australian-passport-wreckage.html	HC00002YV	eng	eng	2014-10-31
IC0011TXG	T101	https://riafan.ru/344950-boeing-nad-donbassom-byil-sbit-ukrainskim-mig-29-eks-polkovnik-vsu	HC00038RY	rus	rus	2015-07-18
IC0011TOH	T101	https://www.buzzfeed.com/maxseddon/russian-tv-airs-clearly-fake-image-to-claim-ukraine-shot-dow?utm_term=.saYj4DqMd#.jeP7986zk	HC00038RN	eng	eng,rus	2014-11-15
IC0011TY7	T103	https://www.youtube.com/watch?v=LI3J4BLRCL8	IC0011TYA	eng	eng	n/a
IC0011SIB	T101	https://www.infowars.com/strobe-talbott-blames-russia-for-shooting-down-commercial-airliner/	HC00000DW	eng	eng,rus	2014-07-17
IC0011TYQ	T103	https://www.youtube.com/watch?v=ZEgJ0oo3OA8	IC0011TYS	eng	eng	n/a
IC0011VBF	T103	http://www.aif.ru/politics/world/otrabotannyy_scenariy_chi_snaypery_strelyali_na_maydane	HC000Q7Q0	rus	rus	2017-02-18
IC0011VI3	T103	http://antifashist.com/item/rasstrel-nebesnoj-sotni-tajna-pokrytaya-vlastyu-samoe-podrobnoe-rassledovanie-glavnogo-mifa-majdana.html	HC000Q7Q5	rus	rus	2017-02-19
IC0011VYY	T102	https://censor.net.ua/video_news/308722/putin_priznal_chto_pomog_yanukovichu_bejat_v_rossiyu_video	HC000Q80N	rus	rus	2014-10-24
IC0011TIB	T103	http://rtwatchcuj.tumblr.com/post/111237757973/who-started-the-shooting-at-maidan-bbc-finds-a	HC00002ZT	eng	eng	2015-02-16
IC0011WQ3	T101	https://www.rt.com/news/394310-radar-data-challenges-probe-mh17/	HC000Q7VA	eng	eng	2017-06-27
IC0011TJG	T103	http://www.bbc.com/news/av/world-europe-31433363/ukraine-conflict-what-happened-in-kiev-s-maidan-square	HC00002ZV	eng	eng	2015-02-12
IC0011TK8	T103	https://www.rt.com/news/231775-bbc-maidan-shooting-started/	HC00002ZY	eng	eng	2015-02-13
IC0011TKD	T103	http://www.thedailybeast.com/exclusive-photographs-expose-russian-trained-killers-in-kiev	HC00002ZZ	eng	eng	2014-03-30
IC0011TKM	T103	http://www.thedailybeast.com/exclusive-photos-of-kievs-russian-trained-killers	HC0000300	eng	eng	2014-03-30
IC0011TYE	T103	https://www.theguardian.com/world/2014/mar/05/ukraine-bugged-call-catherine-ashton-urmas-paet	HC00038S9	eng	eng	2014-03-05
IC00150IB	T102	http://www.interpretermag.com/ukraine-liveblog-day-3-of-the-ukraine-crisis/	IC001JXF7	eng	eng,ukr	n/a
IC00152V2	T102	http://www.interpretermag.com/ukraine-liveblog-day-4-yanukovych-teeters/	IC001JXF8	ukr	eng,ukr	n/a
IC00156Q3	T102	http://www.interpretermag.com/ukraine-liveblog-day-5-yanukovych-topples/	IC001JXF9	rus,ukr	eng,rus	n/a
IC001592V	T102	http://www.interpretermag.com/ukraine-updates-day-6-the-president-is-deposed-where-is-the-president/	IC001JXFA	eng	eng	n/a
IC0015933	T102	http://www.interpretermag.com/ukraine-liveblog-day-7-decoding-documents-indicting-dictators/#2308	IC001JXFB	rus,ukr	eng	n/a
IC0015ANI	T102	http://www.interpretermag.com/ukraine-liveblog-day-8-yanukovych-to-face-trial-at-the-hague/	IC001JXFC	eng	eng	n/a
IC0011VA2	T103	https://www.youtube.com/watch?v=ckyHOlhOo40	IC0011VA5	und	rus,ukr	n/a
IC0011VAD	T103	https://www.youtube.com/watch?v=s-ogFs_Gom0	IC0011VAH	rus	rus	n/a
IC0015NC8	T101	https://www.liveleak.com/view?i=d01_1422743355	IC001JXIA	eng	eng,rus	n/a
IC0011TZJ	T103	https://jpgazeta.ru/turchinov-myi-ponimali-chto-maydan-zakonchitsya-krovyu/	HC000Q7P5	rus	rus	2017-03-02
IC0011U06	T103	http://www.pravda.com.ua/news/2014/01/22/7010588/	HC000Q7RA	ukr	ukr	2017-01-22
IC0011U0F	T101	https://news.vice.com/article/a-russian-cyber-spy-group-might-have-tried-to-hack-the-mh17-investigation	HC000Q7MB	eng	eng	2015-11-27
IC0011U1J	T101	http://www.unz.com/akarlin/mh17/	HC000Q7VZ	eng	eng	2016-09-29
IC0011U2H	T101	http://www.bbc.com/news/world-europe-37495067	HC000Q7MC	eng	eng	2016-09-28
IC0011U33	T101	http://www.telegraph.co.uk/news/worldnews/europe/ukraine/10975524/Crashed-MH17-flight-was-300-miles-off-typical-course.html	HC000Q7MD	eng	eng	2014-07-18
IC0011U47	T101	https://news.vice.com/article/dutch-report-finds-that-a-buk-missile-brought-down-malaysia-airlines-flight-mh17	HC000Q7ME	eng	eng,rus	2017-11-27
IC0011U4B	T103	https://ria.ru/analytics/20151125/1328304582.html	HC000Q7PG	rus	rus	2015-11-25
IC0011U4P	T101	https://www.economist.com/blogs/economist-explains/2014/07/economist-explains-14	HC000Q7MF	eng	eng	2014-07-22
IC0011U4R	T101	https://themoscowtimes.com/news/putin-mh17-say-oliver-stone-interviews-58821	HC000Q7V2	eng	eng	2017-08-31
IC0011U4Y	T101	https://www.metabunk.org/debunked-mh17-10-previous-flightpaths-different-from-17-7.t4378/	HC000Q7W3	eng	eng	2014-09-02
IC0011U5K	T101	https://www.stopfake.org/en/the-most-comprehensive-guide-ever-to-mh17-conspiracies/	HC000Q7WM	eng	eng	2016-07-18
IC0011U7B	T101	http://www.businessinsider.com/russias-story-about-mh17-2014-7	HC000Q7V3	eng	eng	2014-07-21
IC0011U80	T101	http://time.com/4512834/mh17-russia-buk-ukraine-evidence-putin/	HC000Q7V4	eng	eng	2016-09-29
IC0011U85	T101	http://www.unz.com/runz/american-pravda-who-shot-down-flight-mh17-in-ukraine/	HC000Q7W0	eng	eng	2014-08-14
IC0011U96	T101	https://skeptoid.com/blog/2014/07/22/a-roundup-of-mh17-conspiracy-theories/	HC000Q7VD	eng	eng	2014-07-22
IC0011U9T	T101	http://www.dutchnews.nl/news/archives/2016/10/rutte-calls-on-russia-to-stop-spreading-nonsense-about-mh17/	HC000Q7V5	eng	eng	2016-10-03
IC0011UAH	T101	https://eurasiantimes.com/mh-17-crash-ukraine/	HC000Q7V6	eng	eng	2017-10-06
IC0011UB8	T101	https://engtechmag.wordpress.com/2014/07/21/malaysia-airlines-mh17-facts-rumours-accusations-and-threats-four-annotated-infographics/	HC000Q7VE	eng	eng	2014-07-21
IC0011UBJ	T101	http://www.cnn.com/2016/09/27/europe/mh17-report-russia-radar/index.html	HC000Q7V7	eng	eng	2016-09-27
IC0011UGH	T101	http://energia.su/mh17/buk_vids/fake_buk_vids.html	HC000Q7VF	eng	eng	2016-02-23
IC0011UGJ	T101	http://mashable.com/2015/05/31/russia-fake-mh17-report/#1ob23jfA4gq7	HC000Q7VG	eng	eng,rus	2015-05-31
IC0011UHN	T101	http://theduran.com/russia-publishes-radar-data-implicating-ukraine-in-mh17-shoot-down/	HC000Q7V8	eng	eng	2016-09-27
IC0011UJT	T101	http://www.unz.com/mwhitney/the-unanswered-questions-of-mh17/	HC000Q7W2	eng	eng	2014-08-02
IC0011ULK	T102	http://dmitry-birin.livejournal.com/6595.html	HC000Q7XR	rus	rus,ukr	2014-02-23
IC0011UMT	T102	http://ipress.ua/ru/news/zhurnalysti_ustanovyly_detalniy_marshrut_pobega_yanukovycha_yz_ukrayni_60851.html	HC000Q7XY	rus	rus	2014-04-21
IC0011UN2	T103	https://buzina.org/golos-naroda/1788-snipers.html	HC000Q7QM	rus	rus	2015-10-19
IC0011UNV	T103	https://www.kp.ru/daily/26206.4/3091229/	HC000Q7PH	rus	rus	2014-03-12
IC0011UO6	T103	https://antikor.com.ua/articles/22566-snajpera_majdana._russkij_sled.	HC000Q7PI	rus	rus	2017-11-21
IC0011UO9	T103	https://russian.rt.com/article/23679	HC000Q7PJ	rus	rus	2014-03-05
IC0015NIX	T103	https://www.youtube.com/watch?time_continue=3&v=fGN9SQSFJ70	IC0015NJ1	rus	rus	2014-02-20
IC0011UOE	T103	http://kotofey-msc.livejournal.com/1287673.html	HC000Q7QN	rus	rus	2016-09-30
IC0011UOQ	T103	https://lb.ua/news/2015/02/20/294296_20_fevralya_dal_komandu_strelyat.html	HC000Q7PK	rus	rus	2015-02-20
IC0011UOS	T103	https://varlamov.ru/1005652.html	HC000Q7QO	rus	rus	2014-02-21
IC0011UQQ	T103	http://www.colta.ru/articles/society/2393	HC000Q7P6	rus	eng,rus	2014-03-14
IC0011UQX	T103	https://www.1tv.ru/news/2014-04-11/47947-kto_strelyal_na_maydane_nemetskoe_tv_provelo_sobstvennoe_rassledovanie	HC000Q7P7	rus	rus	2014-04-11
IC0011UR7	T103	https://www.vesti.ru/doc.html?id=1349312#/video/https%3A%2F%2Fplayer.vgtrk.com%2Fiframe%2Fvideo%2Fid%2F773889%2Fstart_zoom%2Ftrue%2FshowZoomBtn%2Ffalse%2Fsid%2Fvesti%2FisPlay%2Ftrue%2F%3Facc_video_id%3D582418	HC000Q7PM	rus	rus	2014-03-05
IC0011US9	T103	http://www.mk.ru/politics/article/2014/03/31/1006499-raskryitie-taynyi-snayperov-maydana-izmenit-ves-politicheskiy-rasklad-na-ukraine.html	HC000Q7PN	rus	rus	2014-03-31
IC0011UT1	T103	http://korrespondent.net/ukraine/politics/3479537-kto-strelial-na-maidane-rassledovanye-by-by-sy	HC000Q7PO	rus	rus	2015-02-14
IC0011UTY	T103	http://mediamera.ru/post/20103	HC000Q7QP	rus	rus	2017-05-04
IC0011UU9	T103	http://rian.com.ua/politics/20140313/340951940.html	HC000Q7PP	rus	rus	2014-03-13
IC0011UUT	T103	http://news-mail.by/2016/02/20/rasstrel-berkuta-na-majdane/	HC000Q7PR	rus	rus	2016-02-20
IC0011UWM	T103	https://russian.rt.com/ussr/article/436671-maidan-rasstrel-sledstvie-sud	HC000Q7PS	rus	rus	2017-10-05
IC0011UWY	T103	http://aillarionov.livejournal.com/623161.html	HC000Q7QQ	rus	rus	2014-02-24
IC0011UX8	T103	https://m.online.ua/rus/news/632931/	HC000Q7PT	rus	rus	2014-02-20
IC0011UYG	T103	https://censor.net.ua/video_news/271993/viju_dvoih_rabotaem_uje_snyali_idem_dalshe_radioperehvat_kak_ubiyitsy_iz_berkuta_rasstrelivali_mayidan	HC000Q7PU	rus	rus	2014-02-21
IC0011V10	T103	https://artpolitinfo.ru/ukraina-maydan-peremoga-glava-chetvyortaya-nebesnaya-sotnya-i-snayperyi/	HC000Q7PV	rus	rus	2014-10-24
IC0011V2G	T103	http://www.bolshoyvopros.ru/questions/816364-nebesnaja-sotnja-eto-chto-za-ponjatie-i-kto-eti-ljudi.html	HC000Q7R8	rus	rus	2017-11-27
IC0011V2W	T103	http://fishki.net/anti/1426051-vvs-na-majdane-pervymi-nachali-streljat-protestujuwie.html	HC000Q7PW	rus	rus	2015-02-13
IC0011VAK	T103	http://news.bigmir.net/ukraine/794657-Snajpery-v-Kieve--foto-i-video-ochevidcev	HC000Q7PY	rus	rus	2017-11-27
IC0011VB5	T102	https://lb.ua/news/2014/02/23/256753_poyavilos_video_mezhigorya_pered.html	HC000Q7XZ	rus	rus	2014-02-23
IC0011XYL	T101	https://24tv.ua/rosiya_zakrila_nebo_na_kordoni_z_ukrayinoyu_za_dobu_do_zbittya_boeing_777____zmi_n842454	HC000Q7XC	ukr	ukr	2017-11-27
IC0011XZR	T101	https://www.ukrinform.ua/rubric-other_news/1865414-rosiyu_ne_mogna_prityagnuti_do_vidpovidalnosti_za_mh17_v_gaazi__zerkal_2076004.html	HC000Q7XD	ukr	ukr	2015-07-17
IC0011Y07	T101	https://24tv.ua/putin_vse_rozrahuvav__illarionov_pro_zbitiy_boeing_777_n842740	HC000Q7XE	ukr	ukr	2017-11-27
IC0011Y17	T101	http://tyzhden.ua/News/141116	HC000Q7XF	ukr	ukr	2017-07-16
IC0011Y1U	T101	https://www.obozrevatel.com/crime/krushenie-boeing-777-nad-donbassom-ssha-predostavili-vazhnyie-dokazatelstva.htm	HC000Q7WH	rus	rus	2017-10-16
IC0011Y1Z	T101	https://ru.tsn.ua/ukrayina/v-ukraine-dlya-rassledovaniya-katastrofy-mh17-vossozdali-vzryv-samoleta-672626.html	HC000Q7WI	rus	rus	2016-07-15
IC0011Y2G	T102	http://tyzhden.ua/News/103038	HC000Q81S	ukr	ukr	2017-02-24
IC0011Y2T	T101	http://ruxpert.ru/%D0%93%D0%B8%D0%B1%D0%B5%D0%BB%D1%8C_%D0%BC%D0%B0%D0%BB%D0%B0%D0%B9%D0%B7%D0%B8%D0%B9%D1%81%D0%BA%D0%BE%D0%B3%D0%BE_%D0%91%D0%BE%D0%B8%D0%BD%D0%B3%D0%B0_%D0%BF%D0%BE%D0%B4_%D0%94%D0%BE%D0%BD%D0%B5%D1%86%D0%BA%D0%BE%D0%BC	HC000Q7X0	rus	rus	2017-10-29
IC0011Y33	T101	http://tass.ru/krushenie-malayziyskogo-boeing-777-v-doneckoy-oblasti	HC000Q7WJ	rus	rus	2017-10-30
IC0011Y4I	T102	https://tsn.ua/politika/zhurnalisti-vidnovili-marshrut-vtechi-yanukovicha-v-rosiyu-346299.html	HC000Q81T	ukr	rus,ukr	2017-04-21
IC0011Y5E	T101	https://www.svoboda.org/a/28804666.html	HC000Q7WK	rus	rus	2017-10-19
IC0011Y61	T101	http://tass.ru/politika/4660307	HC000Q7WL	rus	rus	2017-10-19
IC0011Y69	T102	http://www.theinsider.ua/rus/politics/530b04f342683/	HC000Q80Y	rus	rus	2014-02-24
IC0011Y7E	T102	http://news.sevas.com/world/prichina_pobega_yanukovicha_iz_ukrainy	HC000Q80Z	rus	rus	2015-01-04
IC0011Y7G	T103	http://www.pravda.com.ua/news/2014/01/22/7010749/	HC000Q7RG	ukr	ukr	2017-01-22
IC0011Y7Q	T103	http://www.pravda.com.ua/news/2014/01/22/7010564/	HC000Q7RH	ukr	ukr	2017-01-22
IC0011Y82	T103	http://umoloda.kiev.ua/number/2402/283/85485/	HC000Q7RI	ukr	ukr	2014-01-23
IC0011Y85	T101	https://www.unian.ua/politics/940884-v-donetskiy-oblasti-teroristi-zbili-pasajirskiy-litak-foto-video-onovlyuetsya.html	HC000Q7XG	ukr	ukr	2017-07-17
IC0011Y8N	T101	https://espreso.tv/news/2014/07/17/meshkanci_snizhnoho_poshyryuyut_foto_buka	HC000Q7XH	ukr	ukr	2014-07-17
IC0011VPM	T102	https://hitriy-plan.livejournal.com/772742.html	HC000Q7XU	rus	rus	2014-11-05
IC0011VQI	T102	http://voskanapat.info/?p=6130	HC000Q7Y8	rus	rus	2014-02-22
IC0011VQL	T102	http://gordonua.com/news/maidan/smi-samolet-yanukovicha-sel-v-oae-10945.html	HC000Q7Y9	rus	rus	2014-02-22
IC0011VQO	T102	http://forum-msk.org/material/news/10245651.html	HC000Q7YA	rus	rus	2014-02-23
IC0011VQR	T102	https://forum.md/ru/953876	HC000Q811	rus	rus	2014-02-22
IC0011VR1	T102	http://gorlovka.ua/news/article/5707/	HC000Q7YB	rus	rus	2014-02-22
IC0011VS0	T102	https://ru.tsn.ua/politika/marshrut-pobega-yanukovicha-eksklyuzivnye-podrobnosti-poslednih-treh-dney-eks-prezidenta-361810.html	HC000Q7YC	rus	rus	2014-04-21
IC0011VSA	T102	https://www.unian.net/politics/910010-kak-yanukovich-ubegal-iz-ukrainyi-rassledovanie-jurnalistov.html	HC000Q7YD	rus	rus	2014-04-21
IC0011VSK	T102	https://www.segodnya.ua/politics/society/pobeg-yanukovicha-fotohronologiya-sobytiy--594196.html	HC000Q7YE	rus	rus	2015-02-22
IC0011VT9	T102	https://www.kp.ru/daily/26206.4/3091504/	HC000Q7YF	rus	rus	2014-03-13
IC0011VTK	T102	http://www.bbc.com/ukrainian/features-russian-39049755	HC000Q7YG	rus	rus	2017-02-22
IC0011VUR	T102	http://mirnews.su/v-mire/v-ukraine/8281-yanukovich-zayavil-chto-ego-samolet-pytalis-posadit-s-pomoschyu-istrebiteley.html	HC000Q7YI	rus	rus	2016-11-28
IC0011VUV	T102	http://rus.tvnet.lv/novosti/za_rubjezhom/250940-v_internete_poyavilos_video_pobega_yanukovicha	HC000Q7YJ	rus	rus	2014-02-23
IC0011VUZ	T102	http://vlasti.net/news/260743	HC000Q7YK	rus	rus	2017-05-18
IC0011VWB	T102	https://astv.ru/club/blog/hochu-skazat/Cyl_VzEwvkm4DDvdjlTaJQ	HC000Q7YM	rus	rus	2014-02-27
IC0011VWZ	T102	http://www.mk.ru/politics/sng/article/2014/02/24/989428-begstvo-yanukovicha-avakov-rasskazal-o-marshrute-beglogo-prezidenta.html	HC000Q80J	rus	rus	2014-02-24
IC0011VXR	T102	https://lb.ua/news/2014/02/22/256719_samoletu_yanukovicha_dali_pokinut.html	HC000Q80K	rus	rus	2014-02-22
IC0011VXT	T102	http://avmalgin.livejournal.com/2014/02/22/	HC000Q7XW	rus	rus	2014-02-22
IC0011VYC	T102	https://www.m24.ru/videos/%D0%A0%D0%BE%D1%81%D1%81%D0%B8%D1%8F/26022014/43196	HC000Q80L	rus	rus	2014-02-26
IC0011VYV	T102	https://republic.ru/fast/world/kuda-propal-viktor-yanukovich-1060655.xhtml	HC000Q80M	rus	rus	2014-02-22
IC0011VZM	T102	https://marionetki.net/pobeg-yanukovicha-iz-ukrainy-organizovali-ohrannik-putina-i-general-armii-rf-gpu/?doing_wp_cron=1509236654.9034969806671142578125	HC000Q80O	rus	rus	2017-05-17
IC0011W18	T103	https://www.2000.ua/specproekty_ru/rassledovanie/snaipery-maidana-versija-zawity--berkutovcev.htm	HC000Q7Q6	rus	rus,ukr	2015-10-22
IC0011W1E	T103	https://www.2000.ua/specproekty_ru/rassledovanie/tainstvennye-snajpery-majdana.htm	HC000Q7Q7	rus	rus,ukr	2015-10-19
IC0011W1K	T103	http://matveychev-oleg.livejournal.com/964509.html	HC000Q7QS	rus	rus	2014-02-20
IC0011W1U	T103	https://censor.net.ua/news/446461/sud_tretiyi_mesyats_ne_mojet_provesti_zasedanie_po_delu_eksmilitsionerov_voorujavshih_titushek_protiv	HC000Q7Q8	rus,ukr	rus,ukr	2017-07-04
IC0011W22	T103	http://rian.com.ua/columnist/20161130/1019196503.html	HC000Q7Q9	rus	rus	2016-11-30
IC0011W3C	T103	https://lenta.ru/news/2017/02/14/alim/	HC000Q7QA	rus	rus	2017-02-14
IC0011W4O	T103	http://www.rosbalt.ru/ukraina/2015/02/12/1367621.html	HC000Q7QB	rus	rus	2015-02-12
IC0011W6A	T103	http://gordonua.com/publications/esli-by-god-nazad-vy-znali-chem-zakonchitsya-maydan-vyshli-by-na-protest-52373.html	HC000Q7QT	rus	rus	2017-11-21
IC0011W6E	T103	http://polit-mir.ru/tsru-priznaet-spetssluzhby-ssha-organizovali-strelbu-na-maydane-10260.html	HC000Q7QC	rus	rus	2017-11-17
IC0011W6I	T103	http://rian.com.ua/video/20141115/359572929.html	HC000Q7R6	rus	rus	2014-11-15
