full_type_ov	full_type
org.government.railway	ORG.Government.Railway
org.international	ORG.International
org.international.commission	ORG.International.Commission
org.international.monitoringgroup	ORG.International.MonitoringGroup
org.militaryorganization	ORG.MilitaryOrganization
org.militaryorganization.governmentarmedforces	ORG.MilitaryOrganization.GovernmentArmedForces
org.militaryorganization.intelligence	ORG.MilitaryOrganization.Intelligence
org.militaryorganization.nongovernmentmilitia	ORG.MilitaryOrganization.NonGovernmentMilitia
org.politicalorganization	ORG.PoliticalOrganization
org.politicalorganization.court	ORG.PoliticalOrganization.Court
org.politicalorganization.party	ORG.PoliticalOrganization.Party
per	PER
per.combatant	PER.Combatant
per.combatant.mercenary	PER.Combatant.Mercenary
per.combatant.sniper	PER.Combatant.Sniper
per.fan	PER.Fan
per.fan.sportsfan	PER.Fan.SportsFan
per.militarypersonnel	PER.MilitaryPersonnel
per.militarypersonnel.militaryofficer	PER.MilitaryPersonnel.MilitaryOfficer
per.police	PER.Police
per.police.chiefofpolice	PER.Police.ChiefOfPolice
per.politician	PER.Politician
per.politician.governor	PER.Politician.Governor
per.politician.headofgovernment	PER.Politician.HeadOfGovernment
per.politician.mayor	PER.Politician.Mayor
per.professionalposition	PER.ProfessionalPosition
per.professionalposition.ambassador	PER.ProfessionalPosition.Ambassador
per.professionalposition.firefighter	PER.ProfessionalPosition.Firefighter
per.professionalposition.journalist	PER.ProfessionalPosition.Journalist
per.professionalposition.minister	PER.ProfessionalPosition.Minister
per.professionalposition.paramedic	PER.ProfessionalPosition.Paramedic
per.professionalposition.scientist	PER.ProfessionalPosition.Scientist
per.professionalposition.spokesperson	PER.ProfessionalPosition.Spokesperson
per.professionalposition.spy	PER.ProfessionalPosition.Spy
per.protester	PER.Protester
per.protester.protestleader	PER.Protester.ProtestLeader
res	RES
res.numberpercentagevotes.numberpercentagevotes	RES.NumberPercentageVotes.NumberPercentageVotes
res.turnoutvoters.turnoutvoters	RES.TurnoutVoters.TurnoutVoters
sid	SID
sid.cultural.cultural	SID.Cultural.Cultural
sid.ideological.ideological	SID.Ideological.Ideological
sid.political.opposition	SID.Political.Opposition
sid.religious.religious	SID.Religious.Religious
sid.sports.sports	SID.Sports.Sports
ttl	TTL
val	VAL
val.number.number	VAL.Number.Number
veh	VEH
veh.aircraft	VEH.Aircraft
veh.aircraft.airplane	VEH.Aircraft.Airplane
veh.aircraft.cargoaircraft	VEH.Aircraft.CargoAircraft
veh.aircraft.helicopter	VEH.Aircraft.Helicopter
veh.militaryvehicle	VEH.MilitaryVehicle
veh.militaryvehicle.fighteraircraft	VEH.MilitaryVehicle.FighterAircraft
veh.militaryvehicle.militaryboat	VEH.MilitaryVehicle.MilitaryBoat
veh.militaryvehicle.militarytransportaircraft	VEH.MilitaryVehicle.MilitaryTransportAircraft
veh.militaryvehicle.tank	VEH.MilitaryVehicle.Tank
veh.rocket.rocket	VEH.Rocket.Rocket
veh.watercraft	VEH.Watercraft
veh.watercraft.boat	VEH.Watercraft.Boat
veh.watercraft.yacht	VEH.Watercraft.Yacht
veh.wheeledvehicle	VEH.WheeledVehicle
veh.wheeledvehicle.bus	VEH.WheeledVehicle.Bus
veh.wheeledvehicle.car	VEH.WheeledVehicle.Car
veh.wheeledvehicle.fireapparatus	VEH.WheeledVehicle.FireApparatus
veh.wheeledvehicle.train	VEH.WheeledVehicle.Train
veh.wheeledvehicle.truck	VEH.WheeledVehicle.Truck
wea	WEA
wea.bomb	WEA.Bomb
wea.bomb.grenade	WEA.Bomb.Grenade
wea.bomb.molotovcocktail	WEA.Bomb.MolotovCocktail
wea.bullets	WEA.Bullets
wea.bullets.ammunition	WEA.Bullets.Ammunition
wea.bullets.liverounds	WEA.Bullets.LiveRounds
wea.bullets.rubberbullets	WEA.Bullets.RubberBullets
wea.cannon.cannon	WEA.Cannon.Cannon
wea.club	WEA.Club
wea.club.bat	WEA.Club.Bat
wea.daggerknifesword	WEA.DaggerKnifeSword
wea.daggerknifesword.hatchet	WEA.DaggerKnifeSword.Hatchet
wea.gas	WEA.Gas
wea.gas.poisongas	WEA.Gas.PoisonGas
wea.gas.teargas	WEA.Gas.TearGas
wea.grenadelauncher.grenadelauncher	WEA.GrenadeLauncher.GrenadeLauncher
wea.gun	WEA.Gun
wea.gun.artillery	WEA.Gun.Artillery
wea.gun.firearm	WEA.Gun.Firearm
wea.missilesystem	WEA.MissileSystem
wea.missilesystem.airtoairmissile	WEA.MissileSystem.AirToAirMissile
wea.missilesystem.antiaircraftmissle	WEA.MissileSystem.AntiAircraftMissle
wea.missilesystem.missilelauncher	WEA.MissileSystem.MissileLauncher
wea.missilesystem.missile	WEA.MissileSystem.Missile
wea.missilesystem.surfacetoairmissile	WEA.MissileSystem.SurfaceToAirMissile
wea.thrownprojectile	WEA.ThrownProjectile
wea.thrownprojectile.rock	WEA.ThrownProjectile.Rock
evaluate.deliberateness.accidental	Evaluate.Deliberateness.Accidental
evaluate.deliberateness.deliberate	Evaluate.Deliberateness.Deliberate
evaluate.legitimacy.illegitimate	Evaluate.Legitimacy.Illegitimate
evaluate.legitimacy.legitimate	Evaluate.Legitimacy.Legitimate
evaluate.sentiment.negative	Evaluate.Sentiment.Negative
evaluate.sentiment.positive	Evaluate.Sentiment.Positive
generalaffiliation.artifactpoliticalorganizationreligiousaffiliation	GeneralAffiliation.ArtifactPoliticalOrganizationReligiousAffiliation
generalaffiliation.artifactpoliticalorganizationreligiousaffiliation.controlterritory	GeneralAffiliation.ArtifactPoliticalOrganizationReligiousAffiliation.ControlTerritory
generalaffiliation.artifactpoliticalorganizationreligiousaffiliation.nationalitycitizen	GeneralAffiliation.ArtifactPoliticalOrganizationReligiousAffiliation.NationalityCitizen
generalaffiliation.artifactpoliticalorganizationreligiousaffiliation.ownershippossession	GeneralAffiliation.ArtifactPoliticalOrganizationReligiousAffiliation.OwnershipPossession
generalaffiliation.memberoriginreligionethnicity	GeneralAffiliation.MemberOriginReligionEthnicity
generalaffiliation.memberoriginreligionethnicity.ethnicity	GeneralAffiliation.MemberOriginReligionEthnicity.Ethnicity
generalaffiliation.memberoriginreligionethnicity.nationalitycitizen	GeneralAffiliation.MemberOriginReligionEthnicity.NationalityCitizen
generalaffiliation.organizationpoliticalreligiousaffiliation	GeneralAffiliation.OrganizationPoliticalReligiousAffiliation
generalaffiliation.organizationpoliticalreligiousaffiliation.nationalitycitizen	GeneralAffiliation.OrganizationPoliticalReligiousAffiliation.NationalityCitizen
generalaffiliation.organizationwebsite.organizationwebsite	GeneralAffiliation.OrganizationWebsite.OrganizationWebsite
generalaffiliation.sponsorship	GeneralAffiliation.Sponsorship
generalaffiliation.sponsorship.adviseplanorganize	GeneralAffiliation.Sponsorship.AdvisePlanOrganize
generalaffiliation.sponsorship.affiliated	GeneralAffiliation.Sponsorship.Affiliated
generalaffiliation.sponsorship.helpsupport	GeneralAffiliation.Sponsorship.HelpSupport
information.color.color	Information.Color.Color
information.make.make	Information.Make.Make
measurement.size	Measurement.Size
measurement.size.count	Measurement.Size.Count
measurement.size.heightlengthwidth	Measurement.Size.HeightLengthWidth
measurement.size.percentage	Measurement.Size.Percentage
measurement.size.weight	Measurement.Size.Weight
organizationaffiliation.employmentmembership	OrganizationAffiliation.EmploymentMembership
organizationaffiliation.employmentmembership.employment	OrganizationAffiliation.EmploymentMembership.Employment
organizationaffiliation.employmentmembership.membership	OrganizationAffiliation.EmploymentMembership.Membership
organizationaffiliation.founder.founder	OrganizationAffiliation.Founder.Founder
organizationaffiliation.leadership	OrganizationAffiliation.Leadership
organizationaffiliation.leadership.government	OrganizationAffiliation.Leadership.Government
organizationaffiliation.leadership.headofstate	OrganizationAffiliation.Leadership.HeadOfState
organizationaffiliation.leadership.militarypolice	OrganizationAffiliation.Leadership.MilitaryPolice
partwhole.subsidiary	PartWhole.Subsidiary
partwhole.subsidiary.nationalitycitizen	PartWhole.Subsidiary.NationalityCitizen
partwhole.subsidiary.organizationsubsidiary	PartWhole.Subsidiary.OrganizationSubsidiary
personalsocial.role	PersonalSocial.Role
personalsocial.role.professionalrole	PersonalSocial.Role.ProfessionalRole
personalsocial.role.titleformofaddress	PersonalSocial.Role.TitleFormOfAddress
personalsocial.unspecified	PersonalSocial.Unspecified
personalsocial.unspecified.political	PersonalSocial.Unspecified.Political
personalsocial	PersonalSocial
physical.locatednear	Physical.LocatedNear
physical.locatednear.surround	Physical.LocatedNear.Surround
physical.organizationheadquarters.organizationheadquarters	Physical.OrganizationHeadquarters.OrganizationHeadquarters
physical.resident.resident	Physical.Resident.Resident
responsibilityblame.assignblame.assignblame	ResponsibilityBlame.AssignBlame.AssignBlame
responsibilityblame.claimresponsibility.claimresponsibility	ResponsibilityBlame.ClaimResponsibility.ClaimResponsibility
artifactexistence.damagedestroy	ArtifactExistence.DamageDestroy
artifactexistence.damagedestroy.damage	ArtifactExistence.DamageDestroy.Damage
artifactexistence.damagedestroy.destroy	ArtifactExistence.DamageDestroy.Destroy
conflict.attack	Conflict.Attack
conflict.attack.airstrikemissilestrike	Conflict.Attack.AirstrikeMissileStrike
conflict.attack.biologicalchemicalpoisonattack	Conflict.Attack.BiologicalChemicalPoisonAttack
conflict.attack.bombing	Conflict.Attack.Bombing
conflict.attack.firearmattack	Conflict.Attack.FirearmAttack
conflict.attack.hanging	Conflict.Attack.Hanging
conflict.attack.invade	Conflict.Attack.Invade
conflict.attack.selfdirectedbattle	Conflict.Attack.SelfDirectedBattle
conflict.attack.setfire	Conflict.Attack.SetFire
conflict.attack.stabbing	Conflict.Attack.Stabbing
conflict.attack.stealrobhijack	Conflict.Attack.StealRobHijack
conflict.attack.strangling	Conflict.Attack.Strangling
conflict.demonstrate	Conflict.Demonstrate
conflict.demonstrate.marchprotestpoliticalgathering	Conflict.Demonstrate.MarchProtestPoliticalGathering
conflict.yield	Conflict.Yield
conflict.yield.retreat	Conflict.Yield.Retreat
conflict.yield.surrender	Conflict.Yield.Surrender
contact.collaborate	Contact.Collaborate
contact.collaborate.correspondence	Contact.Collaborate.Correspondence
contact.collaborate.meet	Contact.Collaborate.Meet
contact.commandorder	Contact.CommandOrder
contact.commandorder.broadcast	Contact.CommandOrder.Broadcast
contact.commandorder.correspondence	Contact.CommandOrder.Correspondence
contact.commandorder.meet	Contact.CommandOrder.Meet
contact.commitmentpromiseexpressintent	Contact.CommitmentPromiseExpressIntent
contact.commitmentpromiseexpressintent.broadcast	Contact.CommitmentPromiseExpressIntent.Broadcast
contact.commitmentpromiseexpressintent.correspondence	Contact.CommitmentPromiseExpressIntent.Correspondence
contact.commitmentpromiseexpressintent.meet	Contact.CommitmentPromiseExpressIntent.Meet
contact.discussion	Contact.Discussion
contact.discussion.correspondence	Contact.Discussion.Correspondence
contact.discussion.meet	Contact.Discussion.Meet
contact.funeralvigil	Contact.FuneralVigil
contact.funeralvigil.meet	Contact.FuneralVigil.Meet
contact.mediastatement	Contact.MediaStatement
contact.mediastatement.broadcast	Contact.MediaStatement.Broadcast
contact.negotiate	Contact.Negotiate
contact.negotiate.correspondence	Contact.Negotiate.Correspondence
contact.negotiate.meet	Contact.Negotiate.Meet
contact.prevarication	Contact.Prevarication
contact.prevarication.broadcast	Contact.Prevarication.Broadcast
contact.prevarication.correspondence	Contact.Prevarication.Correspondence
contact.prevarication.meet	Contact.Prevarication.Meet
contact.publicstatementinperson	Contact.PublicStatementInPerson
contact.publicstatementinperson.broadcast	Contact.PublicStatementInPerson.Broadcast
contact.requestadvise	Contact.RequestAdvise
contact.requestadvise.broadcast	Contact.RequestAdvise.Broadcast
contact.requestadvise.correspondence	Contact.RequestAdvise.Correspondence
contact.requestadvise.meet	Contact.RequestAdvise.Meet
contact.threatencoerce	Contact.ThreatenCoerce
contact.threatencoerce.broadcast	Contact.ThreatenCoerce.Broadcast
contact.threatencoerce.correspondence	Contact.ThreatenCoerce.Correspondence
contact.threatencoerce.meet	Contact.ThreatenCoerce.Meet
disaster.accidentcrash.accidentcrash	Disaster.AccidentCrash.AccidentCrash
disaster.fireexplosion.fireexplosion	Disaster.FireExplosion.FireExplosion
government.agreements	Government.Agreements
government.agreements.acceptagreementcontractceasefire	Government.Agreements.AcceptAgreementContractCeasefire
government.agreements.rejectnullifyagreementcontractceasefire	Government.Agreements.RejectNullifyAgreementContractCeasefire
government.agreements.violateagreement	Government.Agreements.ViolateAgreement
government.formation	Government.Formation
government.formation.mergegpe	Government.Formation.MergeGPE
government.formation.startgpe	Government.Formation.StartGPE
government.legislate.legislate	Government.Legislate.Legislate
government.spy.spy	Government.Spy.Spy
government.vote	Government.Vote
government.vote.castvote	Government.Vote.CastVote
government.vote.violationspreventvote	Government.Vote.ViolationsPreventVote
inspection.sensoryobserve	Inspection.SensoryObserve
inspection.sensoryobserve.inspectpeopleorganization	Inspection.SensoryObserve.InspectPeopleOrganization
inspection.sensoryobserve.monitorelection	Inspection.SensoryObserve.MonitorElection
inspection.sensoryobserve.physicalinvestigateinspect	Inspection.SensoryObserve.PhysicalInvestigateInspect
justice.arrestjaildetain.arrestjaildetain	Justice.ArrestJailDetain.ArrestJailDetain
justice.initiatejudicialprocess	Justice.InitiateJudicialProcess
justice.initiatejudicialprocess.chargeindict	Justice.InitiateJudicialProcess.ChargeIndict
justice.initiatejudicialprocess.trialhearing	Justice.InitiateJudicialProcess.TrialHearing
justice.investigate	Justice.Investigate
justice.investigate.investigatecrime	Justice.Investigate.InvestigateCrime
justice.judicialconsequences	Justice.JudicialConsequences
justice.judicialconsequences.convict	Justice.JudicialConsequences.Convict
justice.judicialconsequences.execute	Justice.JudicialConsequences.Execute
justice.judicialconsequences.extradite	Justice.JudicialConsequences.Extradite
life.die	Life.Die
life.die.deathcausedbyviolentevents	Life.Die.DeathCausedByViolentEvents
life.die.nonviolentdeath	Life.Die.NonviolentDeath
life.injure	Life.Injure
life.injure.illnessdegradationhungerthirst	Life.Injure.IllnessDegradationHungerThirst
life.injure.illnessdegradationphysical	Life.Injure.IllnessDegradationPhysical
life.injure.injurycausedbyviolentevents	Life.Injure.InjuryCausedByViolentEvents
manufacture.artifact	Manufacture.Artifact
manufacture.artifact.build	Manufacture.Artifact.Build
manufacture.artifact.createintellectualproperty	Manufacture.Artifact.CreateIntellectualProperty
manufacture.artifact.createmanufacture	Manufacture.Artifact.CreateManufacture
movement.transportartifact	Movement.TransportArtifact
movement.transportartifact.bringcarryunload	Movement.TransportArtifact.BringCarryUnload
movement.transportartifact.disperseseparate	Movement.TransportArtifact.DisperseSeparate
movement.transportartifact.fall	Movement.TransportArtifact.Fall
movement.transportartifact.grantentry	Movement.TransportArtifact.GrantEntry
movement.transportartifact.hide	Movement.TransportArtifact.Hide
movement.transportartifact.nonviolentthrowlaunch	Movement.TransportArtifact.NonviolentThrowLaunch
movement.transportartifact.prevententry	Movement.TransportArtifact.PreventEntry
movement.transportartifact.preventexit	Movement.TransportArtifact.PreventExit
movement.transportartifact.receiveimport	Movement.TransportArtifact.ReceiveImport
movement.transportartifact.sendsupplyexport	Movement.TransportArtifact.SendSupplyExport
movement.transportartifact.smuggleextract	Movement.TransportArtifact.SmuggleExtract
movement.transportperson	Movement.TransportPerson
movement.transportperson.bringcarryunload	Movement.TransportPerson.BringCarryUnload
movement.transportperson.disperseseparate	Movement.TransportPerson.DisperseSeparate
movement.transportperson.evacuationrescue	Movement.TransportPerson.EvacuationRescue
movement.transportperson.fall	Movement.TransportPerson.Fall
movement.transportperson.grantentryasylum	Movement.TransportPerson.GrantEntryAsylum
movement.transportperson.hide	Movement.TransportPerson.Hide
movement.transportperson.prevententry	Movement.TransportPerson.PreventEntry
movement.transportperson.preventexit	Movement.TransportPerson.PreventExit
movement.transportperson.selfmotion	Movement.TransportPerson.SelfMotion
movement.transportperson.smuggleextract	Movement.TransportPerson.SmuggleExtract
personnel.elect	Personnel.Elect
personnel.elect.winelection	Personnel.Elect.WinElection
personnel.endposition	Personnel.EndPosition
personnel.endposition.firinglayoff	Personnel.EndPosition.FiringLayoff
personnel.endposition.quitretire	Personnel.EndPosition.QuitRetire
personnel.startposition	Personnel.StartPosition
personnel.startposition.hiring	Personnel.StartPosition.Hiring
transaction.transaction	Transaction.Transaction
transaction.transaction.embargosanction	Transaction.Transaction.EmbargoSanction
transaction.transaction.giftgrantprovideaid	Transaction.Transaction.GiftGrantProvideAid
transaction.transfermoney	Transaction.TransferMoney
transaction.transfermoney.borrowlend	Transaction.TransferMoney.BorrowLend
transaction.transfermoney.embargosanction	Transaction.TransferMoney.EmbargoSanction
transaction.transfermoney.giftgrantprovideaid	Transaction.TransferMoney.GiftGrantProvideAid
transaction.transfermoney.payforservice	Transaction.TransferMoney.PayForService
transaction.transfermoney.purchase	Transaction.TransferMoney.Purchase
transaction.transferownership	Transaction.TransferOwnership
transaction.transferownership.borrowlend	Transaction.TransferOwnership.BorrowLend
transaction.transferownership.embargosanction	Transaction.TransferOwnership.EmbargoSanction
transaction.transferownership.giftgrantprovideaid	Transaction.TransferOwnership.GiftGrantProvideAid
transaction.transferownership.purchase	Transaction.TransferOwnership.Purchase
transaction.transaction.transfercontrol	Transaction.Transaction.TransferControl
