?docid	?edge_type	?is_assertion_negated	?object_cluster	?objectmo	?objectmo_metatype	?is_objectmo_negated	?oinf_j_span	?object_type	?subject_cluster	?subjectmo	?subjectmo_metatype	?is_subjectmo_negated	?sinf_j_span	?subject_type	?ej_span	?objectc_handle	?edge_cj_cv	?oinf_j_cv	?obcm_cv	?sinf_j_cv	?sbcm_cv
L0C04CWFV	EMPTY_REF	NotNegated	cluster-NILCEML0C04CWFV.000453	cluster-NILCEML0C04CWFV.000453-prototype	Entity	NotNegated	L0C04CWFV:L0C04D4EO:(0,0)-(0,0)	Q169872	cluster-NILCVML0C04CWFV.000416	cluster-NILCVML0C04CWFV.000416-prototype	Event	NotNegated	NULL	Q177719	L0C04CWFV:L0C04D4EO:(0,0)-(0,0)	skin rash	1.0E0	1.0E0	"1.0"	"1.0"	"1.0"
L0C04CWFV	EMPTY_REF	NotNegated	cluster-NILCEML0C04CWFV.000463	cluster-NILCEML0C04CWFV.000463-prototype	Entity	NotNegated	L0C04CWFV:L0C04D4EO:(0,0)-(0,0)	Q2057971	cluster-NILCVML0C04CWFV.000416	cluster-NILCVML0C04CWFV.000416-prototype	Event	NotNegated	NULL	Q177719	L0C04CWFV:L0C04D4EO:(0,0)-(0,0)	neuroleptic malignant syndrome	1.0E0	1.0E0	"1.0"	"1.0"	"1.0"
L0C04CWFV	EMPTY_REF	NotNegated	cluster-NILCEML0C04CWFV.000433	cluster-NILCEML0C04CWFV.000433-prototype	Entity	NotNegated	L0C04CWFV:L0C04D4EO:(0,0)-(0,0)	Q169872	cluster-NILCVML0C04CWFV.000416	cluster-NILCVML0C04CWFV.000416-prototype	Event	NotNegated	NULL	Q177719	L0C04CWFV:L0C04D4EO:(0,0)-(0,0)	high levels of transaminases	1.0E0	1.0E0	"1.0"	"1.0"	"1.0"
L0C04CWFV	EMPTY_REF	NotNegated	cluster-NILCEML0C04CWFV.000443	cluster-NILCEML0C04CWFV.000443-prototype	Entity	NotNegated	L0C04CWFV:L0C04D4EO:(0,0)-(0,0)	Q169872	cluster-NILCVML0C04CWFV.000416	cluster-NILCVML0C04CWFV.000416-prototype	Event	NotNegated	NULL	Q177719	L0C04CWFV:L0C04D4EO:(0,0)-(0,0)	nausea	1.0E0	1.0E0	"1.0"	"1.0"	"1.0"
L0C04CWFV	EMPTY_REF	NotNegated	cluster-NILCEML0C04CWFV.000438	cluster-NILCEML0C04CWFV.000438-prototype	Entity	NotNegated	L0C04CWFV:L0C04D4EO:(0,0)-(0,0)	Q2057971	cluster-NILCVML0C04CWFV.000416	cluster-NILCVML0C04CWFV.000416-prototype	Event	NotNegated	NULL	Q177719	L0C04CWFV:L0C04D4EO:(0,0)-(0,0)	immunosuppression	1.0E0	1.0E0	"1.0"	"1.0"	"1.0"
L0C04CWFV	A3_mnr__instrument	NotNegated	cluster-NILCEML0C04CWFV.000030	cluster-NILCEML0C04CWFV.000030-prototype	Entity	NotNegated	L0C04CWFV:L0C04D4EO:(0,0)-(0,0)	Q15401930	cluster-NILCVML0C04CWFV.000519	cluster-NILCVML0C04CWFV.000519-prototype	Event	NotNegated	NULL	Q179661	L0C04CWFV:L0C04D4EO:(0,0)-(0,0)	favipiravir	1.0E0	1.0E0	"1.0"	"1.0"	"1.0"
L0C04CWFV	A2_ppt__illness_or_injury	NotNegated	cluster-NILCEML0C04CWFV.000040	cluster-NILCEML0C04CWFV.000040-prototype	Entity	NotNegated	L0C04CWFV:L0C04D4EO:(0,0)-(0,0)	Q12136	cluster-NILCVML0C04CWFV.000519	cluster-NILCVML0C04CWFV.000519-prototype	Event	NotNegated	NULL	Q179661	L0C04CWFV:L0C04D4EO:(0,0)-(0,0)	COVID-19	1.0E0	1.0E0	"1.0"	"1.0"	"1.0"
L0C04CWFV	A1_ppt_topic_utterance	NotNegated	cluster-NILCEML0C04CWFV.000509	cluster-NILCEML0C04CWFV.000509-prototype	Entity	NotNegated	L0C04CWFV:L0C04D4EO:(0,0)-(0,0)	Q11028	cluster-NILCVML0C04CWFV.000559	cluster-NILCVML0C04CWFV.000559-prototype	Event	NotNegated	NULL	Q11024	L0C04CWFV:L0C04D4EO:(0,0)-(0,0)	treatment with favipiravir	1.0E0	1.0E0	"1.0"	"1.0"	"1.0"
L0C04CWFV	A2_com_co_agent_other_communicators	NotNegated	cluster-NILCEML0C04CWFV.000580	cluster-NILCEML0C04CWFV.000580-prototype	Entity	NotNegated	L0C04CWFV:L0C04D4EO:(0,0)-(0,0)	Q1930187	cluster-NILCVML0C04CWFV.000559	cluster-NILCVML0C04CWFV.000559-prototype	Event	NotNegated	NULL	Q11024	L0C04CWFV:L0C04D4EO:(0,0)-(0,0)	authors of the article	1.0E0	1.0E0	"1.0"	"1.0"	"1.0"
L0C04CWFV	A0_pag_agent_first_communicator	NotNegated	cluster-NILCEML0C04CWFV.000575	cluster-NILCEML0C04CWFV.000575-prototype	Entity	NotNegated	L0C04CWFV:L0C04D4EO:(0,0)-(0,0)	Q901	cluster-NILCVML0C04CWFV.000559	cluster-NILCVML0C04CWFV.000559-prototype	Event	NotNegated	NULL	Q11024	L0C04CWFV:L0C04D4EO:(0,0)-(0,0)	Nadezhda Izmozherova	1.0E0	1.0E0	"1.0"	"1.0"	"1.0"
L0C04CWFV	AM_loc__location	NotNegated	cluster-NILCEML0C04CWFV.000045	cluster-NILCEML0C04CWFV.000045-prototype	Entity	NotNegated	L0C04CWFV:L0C04D4EO:(0,0)-(0,0)	Q6256	cluster-NILCVML0C04CWFV.000559	cluster-NILCVML0C04CWFV.000559-prototype	Event	NotNegated	NULL	Q11024	L0C04CWFV:L0C04D4EO:(0,0)-(0,0)	Russia	1.0E0	1.0E0	"1.0"	"1.0"	"1.0"
L0C04CWFV	EMPTY_REF	NotNegated	cluster-NILCEML0C04CWFV.000634	cluster-NILCEML0C04CWFV.000634-prototype	Entity	NotNegated	L0C04CWFV:L0C04D4EO:(0,0)-(0,0)	Q11028	cluster-NILCVML0C04CWFV.000614	cluster-NILCVML0C04CWFV.000614-prototype	Event	NotNegated	NULL	Q791801	L0C04CWFV:L0C04D4EO:(0,0)-(0,0)	the safety of favipiravir	1.0E0	1.0E0	"1.0"	"1.0"	"1.0"
L0C04CWFV	A1_ppt_theme_thing_estimated	NotNegated	cluster-NILCEML0C04CWFV.000030	cluster-NILCEML0C04CWFV.000030-prototype	Entity	NotNegated	L0C04CWFV:L0C04D4EO:(0,0)-(0,0)	Q15401930	cluster-NILCVML0C04CWFV.000614	cluster-NILCVML0C04CWFV.000614-prototype	Event	NotNegated	NULL	Q791801	L0C04CWFV:L0C04D4EO:(0,0)-(0,0)	favipiravir	1.0E0	1.0E0	"1.0"	"1.0"	"1.0"
L0C04CWFV	A0_pag_experiencer_observer	NotNegated	cluster-NILCEML0C04CWFV.000659	cluster-NILCEML0C04CWFV.000659-prototype	Entity	NotNegated	L0C04CWFV:L0C04D4EO:(0,0)-(0,0)	Q11974939	cluster-NILCVML0C04CWFV.000639	cluster-NILCVML0C04CWFV.000639-prototype	Event	NotNegated	NULL	Q193181	L0C04CWFV:L0C04D4EO:(0,0)-(0,0)	doctors	1.0E0	1.0E0	"1.0"	"1.0"	"1.0"
L0C04CWFV	A0_pag_agent_estimator	NotNegated	cluster-NILCEML0C04CWFV.000659	cluster-NILCEML0C04CWFV.000659-prototype	Entity	NotNegated	L0C04CWFV:L0C04D4EO:(0,0)-(0,0)	Q11974939	cluster-NILCVML0C04CWFV.000664	cluster-NILCVML0C04CWFV.000664-prototype	Event	NotNegated	NULL	Q791801	L0C04CWFV:L0C04D4EO:(0,0)-(0,0)	doctors	1.0E0	1.0E0	"1.0"	"1.0"	"1.0"
L0C04CWFV	EMPTY_REF	NotNegated	cluster-NILCEML0C04CWFV.000428	cluster-NILCEML0C04CWFV.000428-prototype	Entity	NotNegated	L0C04CWFV:L0C04D4EO:(0,0)-(0,0)	Q169872	cluster-NILCVML0C04CWFV.000664	cluster-NILCVML0C04CWFV.000664-prototype	Event	NotNegated	NULL	Q791801	L0C04CWFV:L0C04D4EO:(0,0)-(0,0)	increase in uric acid	1.0E0	1.0E0	"1.0"	"1.0"	"1.0"
L0C04CWFV	EMPTY_REF	NotNegated	cluster-NILCEML0C04CWFV.000433	cluster-NILCEML0C04CWFV.000433-prototype	Entity	NotNegated	L0C04CWFV:L0C04D4EO:(0,0)-(0,0)	Q169872	cluster-NILCVML0C04CWFV.000684	cluster-NILCVML0C04CWFV.000684-prototype	Event	NotNegated	NULL	Q791801	L0C04CWFV:L0C04D4EO:(0,0)-(0,0)	high levels of transaminases	1.0E0	1.0E0	"1.0"	"1.0"	"1.0"
L0C04CWFV	A0_pag_agent_estimator	NotNegated	cluster-NILCEML0C04CWFV.000659	cluster-NILCEML0C04CWFV.000659-prototype	Entity	NotNegated	L0C04CWFV:L0C04D4EO:(0,0)-(0,0)	Q11974939	cluster-NILCVML0C04CWFV.000684	cluster-NILCVML0C04CWFV.000684-prototype	Event	NotNegated	NULL	Q791801	L0C04CWFV:L0C04D4EO:(0,0)-(0,0)	doctors	1.0E0	1.0E0	"1.0"	"1.0"	"1.0"
L0C04CWFV	A2_ppt__illness_or_injury	NotNegated	cluster-NILCEML0C04CWFV.000040	cluster-NILCEML0C04CWFV.000040-prototype	Entity	NotNegated	L0C04CWFV:L0C04D4EO:(0,0)-(0,0)	Q12136	cluster-NILCVML0C04CWFV.000704	cluster-NILCVML0C04CWFV.000704-prototype	Event	Negated	NULL	Q179661	L0C04CWFV:L0C04D4EO:(0,0)-(0,0)	COVID-19	1.0E0	1.0E0	"1.0"	"1.0"	"1.0"
L0C04CWFV	A1_ppt__patient	NotNegated	cluster-NILCEML0C04CWFV.000597	cluster-NILCEML0C04CWFV.000597-prototype	Entity	NotNegated	L0C04CWFV:L0C04D4EO:(0,0)-(0,0)	Q215627	cluster-NILCVML0C04CWFV.000704	cluster-NILCVML0C04CWFV.000704-prototype	Event	Negated	NULL	Q179661	L0C04CWFV:L0C04D4EO:(0,0)-(0,0)	pregnant women	1.0E0	1.0E0	"1.0"	"1.0"	"1.0"
L0C04CWFV	A3_mnr__instrument	NotNegated	cluster-NILCEML0C04CWFV.000030	cluster-NILCEML0C04CWFV.000030-prototype	Entity	NotNegated	L0C04CWFV:L0C04D4EO:(0,0)-(0,0)	Q15401930	cluster-NILCVML0C04CWFV.000704	cluster-NILCVML0C04CWFV.000704-prototype	Event	Negated	NULL	Q179661	L0C04CWFV:L0C04D4EO:(0,0)-(0,0)	favipiravir	1.0E0	1.0E0	"1.0"	"1.0"	"1.0"
L0C04CWFV	A1_ppt__patient	NotNegated	cluster-NILCEML0C04CWFV.000716	cluster-NILCEML0C04CWFV.000716-prototype	Entity	NotNegated	L0C04CWFV:L0C04D4EO:(0,0)-(0,0)	Q215627	cluster-NILCVML0C04CWFV.000733	cluster-NILCVML0C04CWFV.000733-prototype	Event	Negated	NULL	Q179661	L0C04CWFV:L0C04D4EO:(0,0)-(0,0)	children under 18	1.0E0	1.0E0	"1.0"	"1.0"	"1.0"
L0C04CWFV	A3_mnr__instrument	NotNegated	cluster-NILCEML0C04CWFV.000030	cluster-NILCEML0C04CWFV.000030-prototype	Entity	NotNegated	L0C04CWFV:L0C04D4EO:(0,0)-(0,0)	Q15401930	cluster-NILCVML0C04CWFV.000733	cluster-NILCVML0C04CWFV.000733-prototype	Event	Negated	NULL	Q179661	L0C04CWFV:L0C04D4EO:(0,0)-(0,0)	favipiravir	1.0E0	1.0E0	"1.0"	"1.0"	"1.0"
L0C04CWFV	A2_ppt__illness_or_injury	NotNegated	cluster-NILCEML0C04CWFV.000040	cluster-NILCEML0C04CWFV.000040-prototype	Entity	NotNegated	L0C04CWFV:L0C04D4EO:(0,0)-(0,0)	Q12136	cluster-NILCVML0C04CWFV.000733	cluster-NILCVML0C04CWFV.000733-prototype	Event	Negated	NULL	Q179661	L0C04CWFV:L0C04D4EO:(0,0)-(0,0)	COVID-19	1.0E0	1.0E0	"1.0"	"1.0"	"1.0"
