category	ldctype	ldcsubtype	ldcrole	nisttype	nistsubtype	nistrole
Event	business	decbank	perorggpe	Business	DeclareBankruptcy	Organization
Event	business	decbank	plc	Business	DeclareBankruptcy	Place
Event	business	decbank	date	Business	DeclareBankruptcy	Time
Event	business	endbus	org	Business	End	Organization
Event	business	endbus	plc	Business	End	Place
Event	business	endbus	date	Business	End	Time
Event	conflict	attack	perorggpe	Conflict	Attack	Attacker
Event	conflict	attack	tarperplcethg	Conflict	Attack	Target
Event	conflict	attack	weavehthg	Conflict	Attack	Instrument
Event	conflict	attack	plc	Conflict	Attack	Place
Event	conflict	attack	date	Conflict	Attack	Time
Event	conflict	demonstrate	perorg	Conflict	Demonstrate	Demonstrator
Event	conflict	demonstrate	plc	Conflict	Demonstrate	Place
Event	conflict	demonstrate	date	Conflict	Demonstrate	Time
Event	contact	meet	perorggpe	Contact	Meet	Participant
Event	contact	meet	perorggpe	Contact	Meet	Participant
Event	contact	meet	plc	Contact	Meet	Place
Event	contact	meet	date	Contact	Meet	Time
Event	contact	corresp	perorggpe	Contact	Correspondence	Participant
Event	contact	corresp	perorggpe	Contact	Correspondence	Participant
Event	contact	corresp	plc	Contact	Correspondence	Place
Event	contact	corresp	date	Contact	Correspondence	Time
Event	contact	broadcast	perorggpe	Contact	Broadcast	Broadcaster
Event	contact	broadcast	perorggpe	Contact	Broadcast	Audience
Event	contact	broadcast	plc	Contact	Broadcast	Place
Event	contact	broadcast	date	Contact	Broadcast	Time
Event	contact	contact	perorggpe	Contact	Contact	Participant
Event	contact	contact	perorggpe	Contact	Contact	Participant
Event	contact	contact	plc	Contact	Contact	Place
Event	contact	contact	date	Contact	Contact	Time
Event	manufacture	artifact	perorggpe	Manufacture	Artifact	Manufacturer
Event	manufacture	artifact	weavehthg	Manufacture	Artifact	Artifact
Event	manufacture	artifact	weavehthg	Manufacture	Artifact	Instrument
Event	manufacture	artifact	plc	Manufacture	Artifact	Place
Event	manufacture	artifact	date	Manufacture	Artifact	Time
Event	personnel	startpos	per	Personnel	StartPosition	Person
Event	personnel	startpos	orggpe	Personnel	StartPosition	Organization
Event	personnel	startpos		Personnel	StartPosition	Position
Event	personnel	startpos	plc	Personnel	StartPosition	Place
Event	personnel	startpos	date	Personnel	StartPosition	Time
Event	personnel	endpos	per	Personnel	EndPosition	Person
Event	personnel	endpos	orggpe	Personnel	EndPosition	Organization
Event	personnel	endpos		Personnel	EndPosition	Position
Event	personnel	endpos	plc	Personnel	EndPosition	Place
Event	personnel	endpos	date	Personnel	EndPosition	Time
Event	personnel	nominate	perorggpe	Personnel	Nominate	Nominator
Event	personnel	nominate	per	Personnel	Nominate	Nominee
Event	personnel	nominate	plc	Personnel	Nominate	Place
Event	personnel	nominate	date	Personnel	Nominate	Time
Event	personnel	elect	perorggpe	Personnel	Elect	Elector
Event	personnel	elect	per	Personnel	Elect	Elect
Event	personnel	elect	plc	Personnel	Elect	Place
Event	personnel	elect	date	Personnel	Elect	Time
Event	transaction	transown	gvr	Transaction	TransferOwnership	Giver
Event	transaction	transown	rcvr	Transaction	TransferOwnership	Recipient
Event	transaction	transown	bene	Transaction	TransferOwnership	Beneficiary
Event	transaction	transown	weavehorgthg	Transaction	TransferOwnership	Thing
Event	transaction	transown	plc	Transaction	TransferOwnership	Place
Event	transaction	transown	date	Transaction	TransferOwnership	Time
Event	transaction	transmon	gvr	Transaction	TransferMoney	Giver
Event	transaction	transmon	rcvr	Transaction	TransferMoney	Recipient
Event	transaction	transmon	bene	Transaction	TransferMoney	Beneficiary
Event	transaction	transmon	mny	Transaction	TransferMoney	Money
Event	transaction	transmon	plc	Transaction	TransferMoney	Place
Event	transaction	transmon	date	Transaction	TransferMoney	Time
Event	transaction	transaction	gvr	Transaction	Transaction	Giver
Event	transaction	transaction	rcvr	Transaction	Transaction	Recipient
Event	transaction	transaction	bene	Transaction	Transaction	Beneficiary
Event	transaction	transaction	plc	Transaction	Transaction	Place
Event	transaction	transaction	date	Transaction	Transaction	Time
Event	justice	arrestjail	perorggpe	Justice	ArrestJail	Agent
Event	justice	arrestjail	per	Justice	ArrestJail	Person
Event	justice	arrestjail	crm	Justice	ArrestJail	Crime
Event	justice	arrestjail	plc	Justice	ArrestJail	Place
Event	justice	arrestjail	date	Justice	ArrestJail	Time
Event	justice	releaseparole	perorggpe	Justice	ReleaseParole	Agent
Event	justice	releaseparole	per	Justice	ReleaseParole	Person
Event	justice	releaseparole	crm	Justice	ReleaseParole	Crime
Event	justice	releaseparole	plc	Justice	ReleaseParole	Place
Event	justice	releaseparole	date	Justice	ReleaseParole	Time
Event	justice	trialhearing	pros	Justice	TrialHearing	Prosecutor
Event	justice	trialhearing	crtjdg	Justice	TrialHearing	Adjudicator
Event	justice	trialhearing	dfdn	Justice	TrialHearing	Defendant
Event	justice	trialhearing	crm	Justice	TrialHearing	Crime
Event	justice	trialhearing	plc	Justice	TrialHearing	Place
Event	justice	trialhearing	date	Justice	TrialHearing	Time
Event	justice	chargeindict	pros	Justice	ChargeIndict	Prosecutor
Event	justice	chargeindict	crtjdg	Justice	ChargeIndict	Adjudicator
Event	justice	chargeindict	dfdn	Justice	ChargeIndict	Defendant
Event	justice	chargeindict	crm	Justice	ChargeIndict	Crime
Event	justice	chargeindict	plc	Justice	ChargeIndict	Place
Event	justice	chargeindict	date	Justice	ChargeIndict	Time
Event	justice	sue	plnf	Justice	Sue	Plaintiff
Event	justice	sue	crtjdg	Justice	Sue	Adjudicator
Event	justice	sue	dfdn	Justice	Sue	Defendant
Event	justice	sue	crm	Justice	Sue	Crime
Event	justice	sue	plc	Justice	Sue	Place
Event	justice	sue	date	Justice	Sue	Time
Event	justice	convict	crtjdg	Justice	Convict	Adjudicator
Event	justice	convict	dfdn	Justice	Convict	Defendant
Event	justice	convict	crm	Justice	Convict	Crime
Event	justice	convict	plc	Justice	Convict	Place
Event	justice	convict	date	Justice	Convict	Time
Event	justice	sentence	crtjdg	Justice	Sentence	Adjudicator
Event	justice	sentence	dfdn	Justice	Sentence	Defendant
Event	justice	sentence	crm	Justice	Sentence	Crime
Event	justice	sentence	snt	Justice	Sentence	Sentence
Event	justice	sentence	plc	Justice	Sentence	Place
Event	justice	sentence	date	Justice	Sentence	Time
Event	justice	fine	crtjdg	Justice	Fine	Adjudicator
Event	justice	fine	dfdn	Justice	Fine	Defendant
Event	justice	fine	mny	Justice	Fine	Money
Event	justice	fine	crm	Justice	Fine	Crime
Event	justice	fine	plc	Justice	Fine	Place
Event	justice	fine	date	Justice	Fine	Time
Event	justice	execute	perorggpe	Justice	Execute	Agent
Event	justice	execute	per	Justice	Execute	Person
Event	justice	execute	crm	Justice	Execute	Crime
Event	justice	execute	plc	Justice	Execute	Place
Event	justice	execute	date	Justice	Execute	Time
Event	justice	extradite	perorggpe	Justice	Extradite	Agent
Event	justice	extradite	per	Justice	Extradite	Person
Event	justice	extradite	crm	Justice	Extradite	Crime
Event	justice	extradite	plcfrom	Justice	Extradite	Origin
Event	justice	extradite	plcto	Justice	Extradite	Destination
Event	justice	extradite	date	Justice	Extradite	Time
Event	justice	acquit	crtjdg	Justice	Acquit	Adjudicator
Event	justice	acquit	dfdn	Justice	Acquit	Defendant
Event	justice	acquit	crm	Justice	Acquit	Crime
Event	justice	acquit	plc	Justice	Acquit	Place
Event	justice	acquit	date	Justice	Acquit	Time
Event	justice	appeal	pros	Justice	Appeal	Prosecutor
Event	justice	appeal	crtjdg	Justice	Appeal	Adjudicator
Event	justice	appeal	dfdn	Justice	Appeal	Defendant
Event	justice	appeal	crm	Justice	Appeal	Crime
Event	justice	appeal	plc	Justice	Appeal	Place
Event	justice	appeal	date	Justice	Appeal	Time
Event	justice	pardon	crtjdg	Justice	Pardon	Adjudicator
Event	justice	pardon	dfdn	Justice	Pardon	Defendant
Event	justice	pardon	crm	Justice	Pardon	Crime
Event	justice	pardon	plc	Justice	Pardon	Place
Event	justice	pardon	date	Justice	Pardon	Time
Relation	measurement	count	val	Measurement	Count	Count
Relation	measurement	count	perorggpelocfacvehweacombal	Measurement	Count	Item
Event	transaction	transfercontrol	gvrtransfercontrol	Transaction	TransferControl	Giver
Event	transaction	transfercontrol	rcvrtransfercontrol	Transaction	TransferControl	Recipient
Event	transaction	transfercontrol	benetransfercontrol	Transaction	TransferControl	Beneficiary
Event	transaction	transfercontrol	territory	Transaction	TransferControl	Territory
Event	transaction	transfercontrol	plc	Transaction	TransferControl	Place
Event	transaction	transfercontrol	date	Transaction	TransferControl	Time
Event	justice	investigate	investigator	Justice	Investigate	Investigator
Event	justice	investigate	investigatee	Justice	Investigate	Investigatee
Event	justice	investigate	crm	Justice	Investigate	Crime
Event	justice	investigate	plc	Justice	Investigate	Place
Event	justice	investigate	date	Justice	Investigate	Time
Event	government	vote	voter	Government	Vote	Voter
Event	government	vote	candidate	Government	Vote	Candidate
Event	government	vote	bal	Government	Vote	Ballot
Event	government	vote	res	Government	Vote	Results
Event	government	vote	plc	Government	Vote	Place
Event	government	vote	date	Government	Vote	Time
Event	government	legislate	legislature	Government	Legislate	Legislature
Event	government	legislate	law	Government	Legislate	Law
Event	government	legislate	plc	Government	Legislate	Place
Event	government	legislate	date	Government	Legislate	Time
Event	government	spy	agentspy	Government	Spy	Agent
Event	government	spy	targetspy	Government	Spy	Target
Event	government	spy	benespy	Government	Spy	Beneficiary
Event	government	spy	plc	Government	Spy	Place
Event	government	spy	date	Government	Spy	Time
Event	government	agreements	signer	Government	Agreements	Signer
Event	government	agreements	plc	Government	Agreements	Place
Event	government	agreements	date	Government	Agreements	Time
Event	inspection	people	inspector	Inspection	People	Inspector
Event	inspection	people	per	Inspection	People	Person
Event	inspection	people	plc	Inspection	People	Place
Event	inspection	people	date	Inspection	People	Time
Event	inspection	artifactinspection	inspector	Inspection	Artifact	Inspector
Event	inspection	artifactinspection	thginspectionartifact	Inspection	Artifact	Thing
Event	inspection	artifactinspection	plc	Inspection	Artifact	Place
Event	inspection	artifactinspection	date	Inspection	Artifact	Time
Event	existence	damagedestroy	agentdamagedestroy	Existence	DamageDestroy	Agent
Event	existence	damagedestroy	victimdamagedestroy	Existence	DamageDestroy	Victim
Event	existence	damagedestroy	instrument	Existence	DamageDestroy	Instrument
Event	existence	damagedestroy	plc	Existence	DamageDestroy	Place
Event	existence	damagedestroy	date	Existence	DamageDestroy	Time
