subject	role	object
PTR_E101_028	GeneralAffiliation.OrganizationPoliticalReligiousAffiliation.NationalityCitizen_Organization	80000083
PTR_E101_029	GeneralAffiliation.Sponsorship.AdvisePlanOrganize_Sponsor	80000083
PTR_E101_030	GeneralAffiliation.Sponsorship.AdvisePlanOrganize_Sponsor	80000083
PTR_E101_031	OrganizationAffiliation.EmploymentMembership_EmployeeMember	PTE_E101_003
PTR_E101_031	OrganizationAffiliation.EmploymentMembership_PlaceOfEmploymentMembership	80000065
PTR_E101_032	GeneralAffiliation.Sponsorship.AdvisePlanOrganize_Sponsor	PTE_E101_003
PTR_E101_033	OrganizationAffiliation.EmploymentMembership_EmployeeMember	80000123
PTR_E101_033	OrganizationAffiliation.EmploymentMembership_PlaceOfEmploymentMembership	80000065
PTR_E101_034	GeneralAffiliation.Sponsorship.AdvisePlanOrganize_Sponsor	PTE_E101_003
PTR_E101_035	OrganizationAffiliation.EmploymentMembership_EmployeeMember	80000115
PTR_E101_035	OrganizationAffiliation.EmploymentMembership_PlaceOfEmploymentMembership	80000065
PTR_E101_036	GeneralAffiliation.Sponsorship.AdvisePlanOrganize_Sponsor	PTE_E101_003
PTR_E101_037	OrganizationAffiliation.EmploymentMembership_EmployeeMember	80000111
PTR_E101_037	OrganizationAffiliation.EmploymentMembership_PlaceOfEmploymentMembership	80000065
PTR_E101_038	GeneralAffiliation.Sponsorship.AdvisePlanOrganize_Sponsor	PTE_E101_003
PTR_E101_039	OrganizationAffiliation.EmploymentMembership_EmployeeMember	80000122
PTR_E101_039	OrganizationAffiliation.EmploymentMembership_PlaceOfEmploymentMembership	80000065
PTR_E101_040	GeneralAffiliation.Sponsorship.AdvisePlanOrganize_Sponsor	80000075
PTR_E101_041	GeneralAffiliation.OrganizationPoliticalReligiousAffiliation.NationalityCitizen_Nationality	2017370|80000055
PTR_E101_041	GeneralAffiliation.OrganizationPoliticalReligiousAffiliation.NationalityCitizen_Organization	80000075
PTR_E101_042	GeneralAffiliation.Sponsorship.AdvisePlanOrganize_Sponsor	80000075
PTR_E101_043	GeneralAffiliation.Sponsorship.AdvisePlanOrganize_Sponsor	80000075
PTR_E101_044	GeneralAffiliation.Sponsorship.AdvisePlanOrganize_Sponsor	80000075
PTR_E102_001	GeneralAffiliation.Sponsorship.AdvisePlanOrganize_Sponsor	2017370|80000055
PTR_E102_002	GeneralAffiliation.MemberOriginReligionEthnicity.NationalityCitizen_Citizen	PTE_E102_003
PTR_E102_002	GeneralAffiliation.MemberOriginReligionEthnicity.NationalityCitizen_Nationality	690791|80000032
PTR_E102_003	OrganizationAffiliation.EmploymentMembership.Membership_Member	PTE_E102_003
PTR_E102_003	OrganizationAffiliation.EmploymentMembership.Membership_PlaceOfMembership	80000074
PTR_E102_004	GeneralAffiliation.MemberOriginReligionEthnicity_EntityOrFiller	80000357
PTR_E102_004	GeneralAffiliation.MemberOriginReligionEthnicity_Person	PTE_E102_002
PTR_E102_005	GeneralAffiliation.MemberOriginReligionEthnicity_EntityOrFiller	80000358
PTR_E102_005	GeneralAffiliation.MemberOriginReligionEthnicity_Person	PTE_E102_001
PTR_E102_006	Measurement.Size.Count_EntityOrFiller	PTE_E102_006
PTR_E102_006	Measurement.Size.Count_Measurement	PTE_E102_004
PTR_E102_007	GeneralAffiliation.MemberOriginReligionEthnicity_EntityOrFiller	80000359
PTR_E102_007	GeneralAffiliation.MemberOriginReligionEthnicity_Person	PTE_E102_006
PTR_E102_008	PartWhole.Subsidiary_Parent	690791|80000032
PTR_E102_008	PartWhole.Subsidiary_Subsidiary	703448|80000027
PTR_E102_009	GeneralAffiliation.MemberOriginReligionEthnicity.NationalityCitizen_Citizen	PTE_E102_005
PTR_E102_009	GeneralAffiliation.MemberOriginReligionEthnicity.NationalityCitizen_Nationality	858911|80000037
PTR_E102_010	OrganizationAffiliation.EmploymentMembership.Employment_Employee	PTE_E102_005
PTR_E102_010	OrganizationAffiliation.EmploymentMembership.Employment_PlaceOfEmployment	80000075
PTR_E102_011	GeneralAffiliation.OrganizationPoliticalReligiousAffiliation.NationalityCitizen_Nationality	2017370|80000055
PTR_E102_011	GeneralAffiliation.OrganizationPoliticalReligiousAffiliation.NationalityCitizen_Organization	80000075
PTR_E102_012	OrganizationAffiliation.EmploymentMembership_PlaceOfEmploymentMembership	80000083
PTR_E102_013	GeneralAffiliation.OrganizationPoliticalReligiousAffiliation_EntityOrFiller	80000306
PTR_E102_013	GeneralAffiliation.OrganizationPoliticalReligiousAffiliation_Organization	80000083
PTR_E102_014	GeneralAffiliation.OrganizationPoliticalReligiousAffiliation.NationalityCitizen_Nationality	690791|80000032
PTR_E102_014	GeneralAffiliation.OrganizationPoliticalReligiousAffiliation.NationalityCitizen_Organization	80000083
PTR_E102_015	GeneralAffiliation.MemberOriginReligionEthnicity_EntityOrFiller	80000358
PTR_E102_016	GeneralAffiliation.ArtifactPoliticalOrganizationReligiousAffiliation.OwnershipPossession_Artifact	80000364
PTR_E102_017	GeneralAffiliation.MemberOriginReligionEthnicity_EntityOrFiller	80000360
PTR_E102_017	GeneralAffiliation.MemberOriginReligionEthnicity_Person	80000130
PTR_E102_018	GeneralAffiliation.MemberOriginReligionEthnicity_EntityOrFiller	80000359
PTR_E102_019	Information.Color.Color_EntityOrFiller	80000364
PTR_E102_020	GeneralAffiliation.ArtifactPoliticalOrganizationReligiousAffiliation_Artifact	80000364
PTR_E102_020	GeneralAffiliation.ArtifactPoliticalOrganizationReligiousAffiliation_EntityOrFiller	80000358
PTR_E102_021	GeneralAffiliation.MemberOriginReligionEthnicity_EntityOrFiller	80000357
PTR_E102_021	GeneralAffiliation.MemberOriginReligionEthnicity_Person	80000130
PTR_E102_022	GeneralAffiliation.MemberOriginReligionEthnicity_EntityOrFiller	80000303
PTR_E102_023	Measurement.Size.Count_EntityOrFiller	80000130
PTR_E102_024	Physical.LocatedNear_EntityOrFiller	80000008
PTR_E102_024	Physical.LocatedNear_Place	698740|80000036
PTR_E102_025	GeneralAffiliation.MemberOriginReligionEthnicity.NationalityCitizen_Nationality	690791|80000032
PTR_E102_027	OrganizationAffiliation.EmploymentMembership_PlaceOfEmploymentMembership	80000083
PTR_E102_028	GeneralAffiliation.MemberOriginReligionEthnicity_EntityOrFiller	80000303
PTR_E102_029	Physical.LocatedNear_EntityOrFiller	80000003
PTR_E102_029	Physical.LocatedNear_Place	80000006
PTR_E102_030	Physical.LocatedNear_EntityOrFiller	80000006
PTR_E102_030	Physical.LocatedNear_Place	698740|80000036
PTR_E102_031	GeneralAffiliation.ArtifactPoliticalOrganizationReligiousAffiliation.OwnershipPossession_Artifact	80000003
PTR_E102_032	Physical.LocatedNear_EntityOrFiller	80000008
PTR_E102_032	Physical.LocatedNear_Place	80000006
PTR_E102_034	GeneralAffiliation.OrganizationPoliticalReligiousAffiliation.NationalityCitizen_Nationality	6252001|80000038
PTR_E102_034	GeneralAffiliation.OrganizationPoliticalReligiousAffiliation.NationalityCitizen_Organization	80000069
PTR_E102_035	GeneralAffiliation.OrganizationPoliticalReligiousAffiliation.NationalityCitizen_Nationality	690791|80000032
PTR_E102_035	GeneralAffiliation.OrganizationPoliticalReligiousAffiliation.NationalityCitizen_Organization	80000063
PTR_E102_036	GeneralAffiliation.Sponsorship.AdvisePlanOrganize_Sponsor	80000069
PTR_E102_037	GeneralAffiliation.Sponsorship.AdvisePlanOrganize_Sponsor	80000063
PTR_E102_038	GeneralAffiliation.MemberOriginReligionEthnicity_EntityOrFiller	80000361
PTR_E102_039	OrganizationAffiliation.EmploymentMembership_PlaceOfEmploymentMembership	80000083
PTR_E102_040	GeneralAffiliation.MemberOriginReligionEthnicity_EntityOrFiller	80000303
PTR_E103_001	GeneralAffiliation.MemberOriginReligionEthnicity.NationalityCitizen_Citizen	PTE_E103_001
PTR_E103_001	GeneralAffiliation.MemberOriginReligionEthnicity.NationalityCitizen_Nationality	690791|80000032
PTR_E103_002	OrganizationAffiliation.EmploymentMembership_EmployeeMember	PTE_E103_001
PTR_E103_002	OrganizationAffiliation.EmploymentMembership_PlaceOfEmploymentMembership	80000083
PTR_E103_004	GeneralAffiliation.ArtifactPoliticalOrganizationReligiousAffiliation.ControlTerritory_Territory	80000353
PTR_E103_005	Physical.LocatedNear_EntityOrFiller	80000353
PTR_E103_005	Physical.LocatedNear_Place	693468|80000043
PTR_E103_010	GeneralAffiliation.MemberOriginReligionEthnicity_EntityOrFiller	80000307
PTR_E103_011	GeneralAffiliation.MemberOriginReligionEthnicity_EntityOrFiller	80000303
PTR_E103_012	GeneralAffiliation.MemberOriginReligionEthnicity_EntityOrFiller	80000306
PTR_E103_013	ResponsibilityBlame.ClaimResponsibility.ClaimResponsibility_EntityResponsible	80000083
PTR_E103_015	GeneralAffiliation.OrganizationPoliticalReligiousAffiliation.NationalityCitizen_Nationality	690791|80000032
PTR_E103_015	GeneralAffiliation.OrganizationPoliticalReligiousAffiliation.NationalityCitizen_Organization	80000078
PTR_E103_016	GeneralAffiliation.ArtifactPoliticalOrganizationReligiousAffiliation.ControlTerritory_Territory	7731189|80000009
PTR_E103_017	Physical.LocatedNear_EntityOrFiller	7731189|80000009
PTR_E103_017	Physical.LocatedNear_Place	704508|80000042
PTR_E103_018	GeneralAffiliation.ArtifactPoliticalOrganizationReligiousAffiliation.ControlTerritory_Controller	80000078
PTR_E103_018	GeneralAffiliation.ArtifactPoliticalOrganizationReligiousAffiliation.ControlTerritory_Territory	7731189|80000009
PTR_E103_023	Physical.LocatedNear_EntityOrFiller	80000014
PTR_E103_023	Physical.LocatedNear_Place	693468|80000043
PTR_E103_024	Physical.LocatedNear_EntityOrFiller	80000011
PTR_E103_024	Physical.LocatedNear_Place	704508|80000042
PTR_E103_025	Physical.LocatedNear_Place	80000014
PTR_E103_026	Physical.LocatedNear_Place	80000014
