AnnotIndexID	Type	Output Value for Type	Subtype	Output Value for Subtype	Sub-subtype	Output Value for Sub-subtype	Definition	OWGIndexID	LEVEL-0	TYPE-1	SUBTYPE-2	SUB-SUBTYPE-3	SUB-SUB-SUBTYPE-4	SUB-SUB--SUB-SUBTYPE-5	SUB-SUB--SUB-SUB-SUBTYPE-6	SUB-SUB--SUB-SUB-SUB-SUBTYPE-7	Entity Type	Source Ontology	Uplink	Definition
LDC_ent_019	CRM	crm	FinancialCrime	financialcrime	n/a	unspecified	An unlawful act punishable by the state that is a crime of financial misdoing	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present
LDC_ent_020	CRM	crm	FinancialCrime	financialcrime	Extortion	extortion	A crime of extortion	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present
LDC_ent_021	CRM	crm	FinancialCrime	financialcrime	Forgery	forgery	A crime of forgery	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present
LDC_ent_022	CRM	crm	FinancialCrime	financialcrime	Fraud	fraud	A crime of financial fraud	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present
LDC_ent_023	CRM	crm	PoliticalCrime	politicalcrime	n/a	unspecified	An unlawful act punishable by the state that is a crime of political misdoing	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present
LDC_ent_024	CRM	crm	PoliticalCrime	politicalcrime	AbuseOfOffice	abuseofoffice	A crime of abusing a political office	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present
LDC_ent_025	CRM	crm	PoliticalCrime	politicalcrime	PoliceMisconduct	policemisconduct	A crime of police midconduct	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present
LDC_ent_026	CRM	crm	ViolentCrime	violentcrime	n/a	unspecified	An unlawful act punishable by the state that is a crime of violence	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present
LDC_ent_027	CRM	crm	ViolentCrime	violentcrime	Terrorism	terrorism	A crime of terrorism	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present
LDC_ent_028	FAC	fac	n/a	unspecified	n/a	unspecified	"A functional, primarily man-made structure. Facilities are artifacts falling under the domains of architecture and civil engineering, including more temporary human constructs, such as police lines and checkpoints."	OWG_ent_080	Entity	PhysicalEntity	Artifact	BuildingConstruction	-	-	-	-	BuildingConstruction	AIDA-OWG	Artifact	
LDC_ent_029	FAC	fac	Building	building	n/a	unspecified	A structure that has a roof and walls and stands more or less permanently in one place	OWG_ent_093	Entity	PhysicalEntity	Artifact	BuildingConstruction	Structure	Building	-	-	Building102913152	RPI	Structure104341686	a structure that has a roof and walls and stands more or less permanently in one place
LDC_ent_030	FAC	fac	Building	building	ApartmentBuilding	apartmentbuilding	An apartment building	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present
LDC_ent_031	FAC	fac	Building	building	GovernmentBuilding	governmentbuilding	A building that houses a department or branch of government	OWG_ent_095	Entity	PhysicalEntity	Artifact	BuildingConstruction	Structure	Building	GovernmentBuilding	-	GovernmentBuilding103449564	RPI	Building102913152	a building that houses a branch of government
LDC_ent_032	FAC	fac	Building	building	House	house	"A house, a building that functions as a home"	OWG_ent_097	Entity	PhysicalEntity	Artifact	BuildingConstruction	Structure	Building	House	-	House/m/03jm5	Columbia-RPI	Building102913152	https://en.wikipedia.org/wiki/House
LDC_ent_033	FAC	fac	Building	building	OfficeBuilding	officebuilding	"An office building, a building where people work in offices"	OWG_ent_098	Entity	PhysicalEntity	Artifact	BuildingConstruction	Structure	Building	OfficeBuilding	-	Office building/m/021sj1	Columbia-RPI	Building102913152	https://en.wikipedia.org/wiki/Office
LDC_ent_034	FAC	fac	Building	building	School	school	A school	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present
LDC_ent_035	FAC	fac	Building	building	StoreShop	storeshop	A shop or store	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present
LDC_ent_036	FAC	fac	Building	building	VotingFacility	votingfacility	A voting facility or polling place	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present
LDC_ent_037	FAC	fac	GeographicalArea	geographicalarea	n/a	unspecified	A demarcated (by humans) area of the Earth	OWG_ent_239	Entity	NonPhysicalEntity	MeasurableAbstraction	Location	GeographicalArea	-	-	-	GeographicalArea108574314	RPI	Loc	a demarcated area of the Earth
LDC_ent_038	FAC	fac	GeographicalArea	geographicalarea	Border	border	"A border, a geographic boundary of a political entity or legal jurisdiction, such as a sovereign state, federated states, or other subnational entities"	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present
LDC_ent_039	FAC	fac	GeographicalArea	geographicalarea	Checkpoint	checkpoint	"A border, security, or random checkpoint where travellers and/or goods are inspected"	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present
LDC_ent_040	FAC	fac	Installation	installation	n/a	unspecified	A facility or installation that may consist of multiple buildings	OWG_ent_081	Entity	PhysicalEntity	Artifact	BuildingConstruction	Facility	-	-	-	Facility	AIDA-OWG	BuildingConstruction	
LDC_ent_041	FAC	fac	Installation	installation	Airport	airport	An airport or airfield	OWG_ent_089	Entity	PhysicalEntity	Artifact	BuildingConstruction	Facility	Airport	-	-	Airport/m/09cjl	Columbia-RPI	Facility	https://en.wikipedia.org/wiki/Airport
LDC_ent_042	FAC	fac	Installation	installation	MilitaryInstallation	militaryinstallation	Any facility servicing military forces	OWG_ent_088	Entity	PhysicalEntity	Artifact	BuildingConstruction	Facility	MilitaryInstallation	-	-	MilitaryInstallation103763133	RPI	Facility	any facility servicing military forces
LDC_ent_043	FAC	fac	Installation	installation	TrainStation	trainstation	"A train station, including any railway facility where trains stop regularly"	OWG_ent_086	Entity	PhysicalEntity	Artifact	BuildingConstruction	Facility	Station	TrainStation	-	train_station/cmu	CMU	Station104306080	
LDC_ent_044	FAC	fac	Structure	structure	n/a	unspecified	A thing constructed; a complex entity constructed of many parts	OWG_ent_092	Entity	PhysicalEntity	Artifact	BuildingConstruction	Structure	-	-	-	Structure104341686	RPI	BuildingConstruction	a thing constructed; a complex entity constructed of many parts
LDC_ent_045	FAC	fac	Structure	structure	Barricade	barricade	A barricade or roadblock	OWG_ent_113	Entity	PhysicalEntity	Artifact	BuildingConstruction	Structure	Barricade	-	-	barricade/m/0583b1	Columbia-RPI	Structure104341686	https://en.wikipedia.org/wiki/Barricade
LDC_ent_046	FAC	fac	Structure	structure	Bridge	bridge	A  bridge	OWG_ent_108	Entity	PhysicalEntity	Artifact	BuildingConstruction	Structure	Bridge	-	-	Bridge/m/015kr	Columbia-RPI	Structure104341686	https://en.wikipedia.org/wiki/Bridge
LDC_ent_047	FAC	fac	Structure	structure	Plaza	plaza	"An open urban public space, such as a city square"	OWG_ent_111	Entity	PhysicalEntity	Artifact	BuildingConstruction	Structure	Plaza	-	-	Plaza/m/01klb9	Columbia-RPI	Structure104341686	https://en.wikipedia.org/wiki/Plaza
LDC_ent_048	FAC	fac	Structure	structure	Tower	tower	"A tower, a tall structure, taller than it is wide"	OWG_ent_112	Entity	PhysicalEntity	Artifact	BuildingConstruction	Structure	Tower	-	-	Tower/m/01fdzj	Columbia-RPI	Structure104341686	https://en.wikipedia.org/wiki/Tower
LDC_ent_049	FAC	fac	Way	way	n/a	unspecified	Any artifact consisting of a road or path affording passage from one place to another	OWG_ent_245	Entity	NonPhysicalEntity	MeasurableAbstraction	Location	Way	-	-	-	Way104564698	RPI	Loc	any artifact consisting of a road or path affording passage from one place to another
LDC_ent_050	FAC	fac	Way	way	Highway	highway	A major road	OWG_ent_247	Entity	NonPhysicalEntity	MeasurableAbstraction	Location	Way	Highway	-	-	Highway/m/0cz_0	Columbia-RPI	Way104564698	https://en.wikipedia.org/wiki/Highway
LDC_ent_051	FAC	fac	Way	way	Street	street	A thoroughfare (usually including sidewalks) that is lined with buildings	OWG_ent_246	Entity	NonPhysicalEntity	MeasurableAbstraction	Location	Way	Street	-	-	Street104334599	RPI	Way104564698	a thoroughfare (usually including sidewalks) that is lined with buildings
LDC_ent_052	GPE	gpe	n/a	unspecified	n/a	unspecified	"GPE entities are composite entities, consisting of a physical location, a government, and a population. All three of these elements must be present for an entity to be tagged as a GPE. A GPE entity may be a single geopolitical entity or a group."	OWG_ent_255	Entity	Shish	GPE	-	-	-	-	-	GPE	AIDA-OWG	Shish	
LDC_ent_053	GPE	gpe	Country	country	Country	country	The territory occupied by a nation	OWG_ent_256	Entity	Shish	GPE	Country	-	-	-	-	Country108544813	RPI	GPE	the territory occupied by a nation
LDC_ent_054	GPE	gpe	OrganizationOfCountries	organizationofcountries	OrganizationOfCountries	organizationofcountries	"An organized group of countries with its own governing body, such as the UN"	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present
LDC_ent_055	GPE	gpe	ProvinceState	provincestate	ProvinceState	provincestate	"A region, province, or state with a government, an administrative division within a country or state"	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present
LDC_ent_056	GPE	gpe	UrbanArea	urbanarea	n/a	unspecified	"A human settlement with a government, a geographical area constituting a city or town"	OWG_ent_240	Entity	NonPhysicalEntity	MeasurableAbstraction	Location	GeographicalArea	UrbanArea	-	-	UrbanArea108675967	RPI	GeographicalArea108574314	a geographical area constituting a city or town
LDC_ent_057	GPE	gpe	UrbanArea	urbanarea	City	city	A large and densely populated urban area; may include several independent administrative districts	OWG_ent_258	Entity	Shish	GPE	City	-	-	-	-	City108524735	RPI	GPE	a large and densely populated urban area; may include several independent administrative districts
LDC_ent_058	GPE	gpe	UrbanArea	urbanarea	Village	village	An urban area with a fixed boundary that is smaller than a city	OWG_ent_257	Entity	Shish	GPE	Town	-	-	-	-	Town108665504	RPI	GPE	an urban area with a fixed boundary that is smaller than a city
LDC_ent_059	LAW	law	n/a	unspecified	n/a	unspecified	"A law, an act that is voted on by either a legislative body or an electorate, such as a law, referendum, act, regulation, statute, ordinance, etc."	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present
LDC_ent_060	LAW	law	Referendum	referendum	Referendum	referendum	"A referendum, a direct vote in which an entire electorate is invited to vote on a particular proposal"	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present
LDC_ent_061	LOC	loc	n/a	unspecified	n/a	unspecified	"Geographical entities such as geographical areas and landmasses, bodies of water"	OWG_ent_231	Entity	NonPhysicalEntity	MeasurableAbstraction	Location	-	-	-	-	Loc	AIDA-OWG	MeasurableAbstraction	
LDC_ent_062	LOC	loc	GeographicPoint	geographicpoint	n/a	unspecified	A point on the surface of the Earth	OWG_ent_236	Entity	NonPhysicalEntity	MeasurableAbstraction	Location	Point	GeographicPoint	-	-	GeographicPoint108578706	RPI	Point108620061	a point on the surface of the Earth
LDC_ent_063	LOC	loc	GeographicPoint	geographicpoint	Address	address	The place where a person or organization can be found or communicated with	OWG_ent_237	Entity	NonPhysicalEntity	MeasurableAbstraction	Location	Point	GeographicPoint	Address	-	Address108491027	RPI	GeographicPoint108578706	the place where a person or organization can be found or communicated with
LDC_ent_064	LOC	loc	Land	land	n/a	unspecified	The solid part of the earth's surface	OWG_ent_248	Entity	NonPhysicalEntity	MeasurableAbstraction	Location	Land	-	-	-	Land109334396	RPI	Loc	the solid part of the earth's surface
LDC_ent_065	LOC	loc	Land	land	Continent	continent	One of the large landmasses of the earth	OWG_ent_252	Entity	NonPhysicalEntity	MeasurableAbstraction	Location	Land	Continent	-	-	Continent109254614	RPI	Land109334396	one of the large landmasses of the earth
LDC_ent_066	LOC	loc	Position	position	n/a	unspecified	The particular portion of space occupied by something	OWG_ent_235	Entity	NonPhysicalEntity	MeasurableAbstraction	Location	Point	Position	-	-	Position108621598	RPI	Point108620061	the particular portion of space occupied by something
LDC_ent_067	LOC	loc	Position	position	AirSpace	airspace	The air space above a location	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present
LDC_ent_068	LOC	loc	Position	position	CrimeScene	crimescene	A crime scene	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present
LDC_ent_069	LOC	loc	Position	position	Field	field	A piece of land cleared of trees	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present
LDC_ent_070	LOC	loc	Position	position	Neighborhood	neighborhood	"A neighborhood, a portion of a city that does not have its own government"	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present
LDC_ent_071	LOC	loc	Position	position	Region	region	A geographic region that does not have its own government	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present
LDC_ent_072	MON	mon	n/a	unspecified	n/a	unspecified	"A monetary payment. The extent of a Money mention includes modifying quantifiers, the amount, and the currency unit, all of which can be optional."	OWG_ent_155	Entity	PhysicalEntity	Artifact	Commodity	Money	-	-	-	Money/m/04_x4	Columbia-RPI	Commodity103076708	https://en.wikipedia.org/wiki/Money
LDC_ent_073	MON	mon	Assets	assets	Assets	assets	"An asset, value of ownership that can be converted into cash"	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present
LDC_ent_074	MON	mon	Cash	cash	Cash	cash	Cash money	OWG_ent_156	Entity	PhysicalEntity	Artifact	Commodity	Money	Cash	-	-	Cash/m/0fd6q	Columbia-RPI	Money/m/04_x4	https://en.wikipedia.org/wiki/Cash
LDC_ent_075	ORG	org	n/a	unspecified	n/a	unspecified	"Corporations, agencies, and other groups of people defined by an established organizational structure. An ORG entity may be a single organization or a group. A key feature of an ORG is that it can change members without changing identity."	OWG_ent_184	Entity	NonPhysicalEntity	Collection	Organization	-	-	-	-	Org	AIDA-OWG	Collection	
LDC_ent_076	ORG	org	Association	association	n/a	unspecified	A formal organization of people or groups of people	OWG_ent_208	Entity	NonPhysicalEntity	Collection	Organization	Association	-	-	-	Association108049401	RPI	Org	a formal organization of people or groups of people
LDC_ent_077	ORG	org	Association	association	Club	club	A formal association of people with similar interests	OWG_ent_210	Entity	NonPhysicalEntity	Collection	Organization	Association	Club	-	-	Club108227214	RPI	Association108049401	a formal association of people with similar interests
LDC_ent_078	ORG	org	Association	association	Team	team	A cooperative unit (especially in sports)	OWG_ent_207	Entity	NonPhysicalEntity	Collection	Organization	Team	-	-	-	Team108208560	RPI	Org	a cooperative unit (especially in sports)
LDC_ent_079	ORG	org	CommercialOrganization	commercialorganization	n/a	unspecified	"A commercial organization, including businesses and corporations"	OWG_ent_192	Entity	NonPhysicalEntity	Collection	Organization	CommercialOrganization	-	-	-	CommercialOrg	AIDA-OWG	Org	
LDC_ent_080	ORG	org	CommercialOrganization	commercialorganization	BroadcastingCompany	broadcastingcompany	A company that manages tv or radio stations	OWG_ent_193	Entity	NonPhysicalEntity	Collection	Organization	CommercialOrganization	BroadcastingCompany	-	-	BroadcastingCompany108002015	RPI	CommercialOrg	a company that manages tv or radio stations
LDC_ent_081	ORG	org	CommercialOrganization	commercialorganization	Corporation	corporation	A business firm whose articles of incorporation have been approved in some state	OWG_ent_197	Entity	NonPhysicalEntity	Collection	Organization	CommercialOrganization	Corporation	-	-	Corporation108059412	RPI	CommercialOrg	a business firm whose articles of incorporation have been approved in some state
LDC_ent_082	ORG	org	CommercialOrganization	commercialorganization	Manufacturer	manufacturer	A business engaged in manufacturing some product	OWG_ent_196	Entity	NonPhysicalEntity	Collection	Organization	CommercialOrganization	Manufacturer	-	-	Manufacturer108060446	RPI	CommercialOrg	a business engaged in manufacturing some product
LDC_ent_083	ORG	org	CommercialOrganization	commercialorganization	NewsAgency	newsagency	An agency that collects news reports for newspapers and distributes it electronically	OWG_ent_198	Entity	NonPhysicalEntity	Collection	Organization	CommercialOrganization	NewsAgency	-	-	NewsAgency108355075	RPI	CommercialOrg	an agency to collects news reports for newspapers and distributes it electronically
LDC_ent_084	ORG	org	CriminalOrganization	criminalorganization	CriminalOrganization	criminalorganization	"Organized crime is a category of transnational, national, or local groupings of highly centralized enterprises run by criminals who intend to engage in illegal activity, most commonly for money and profit"	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present
LDC_ent_085	ORG	org	Government	government	n/a	unspecified	A government organization	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present
LDC_ent_086	ORG	org	Government	government	Agency	agency	"An agency, an administrative unit of government"	OWG_ent_204	Entity	NonPhysicalEntity	Collection	Organization	AdministrativeUnit	Agency	-	-	Agency108337324	RPI	AdministrativeUnit108077292	an administrative unit of government
LDC_ent_087	ORG	org	Government	government	Council	council	"A council, such as a city council"	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present
LDC_ent_088	ORG	org	Government	government	FireDepartment	firedepartment	A fire department	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present
LDC_ent_089	ORG	org	Government	government	LawEnforcementAgency	lawenforcementagency	An agency responsible for security and insuring obedience to the laws	OWG_ent_205	Entity	NonPhysicalEntity	Collection	Organization	AdministrativeUnit	Agency	LawEnforcementAgency	-	LawEnforcementAgency108348815	RPI	Agency108337324	an agency responsible for insuring obedience to the laws
LDC_ent_090	ORG	org	Government	government	LegislativeBody	legislativebody	"A congress, parliament, or other legislative body"	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present
LDC_ent_091	ORG	org	Government	government	ProsecutorOffice	prosecutoroffice	The prosecutor's office	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present
LDC_ent_092	ORG	org	Government	government	Railway	railway	The railway or railroad organization	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present
LDC_ent_093	ORG	org	International	international	n/a	unspecified	"An international organization, an organization with an international mission"	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present
LDC_ent_094	ORG	org	International	international	Commission	commission	An international commission	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present
LDC_ent_095	ORG	org	International	international	MonitoringGroup	monitoringgroup	An international monitoring group	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present
LDC_ent_096	ORG	org	MilitaryOrganization	militaryorganization	n/a	unspecified	"A military organization, or an organization within the military"	OWG_ent_185	Entity	NonPhysicalEntity	Collection	Organization	MilitaryOrganization	-	-	-	MilitaryOrg	AIDA-OWG	Org	
LDC_ent_097	ORG	org	MilitaryOrganization	militaryorganization	GovernmentArmedForces	governmentarmedforces	"A permanent organization of the military forces of a nation or state, including special forces"	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present
LDC_ent_098	ORG	org	MilitaryOrganization	militaryorganization	Intelligence	intelligence	An intelligence organization within the military	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present
LDC_ent_099	ORG	org	MilitaryOrganization	militaryorganization	NonGovernmentMilitia	nongovernmentmilitia	"A militia, a non-governmental military organization"	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present
LDC_ent_100	ORG	org	PoliticalOrganization	politicalorganization	n/a	unspecified	A political organization	OWG_ent_189	Entity	NonPhysicalEntity	Collection	Organization	PoliticalOrganization	-	-	-	PoliticalOrg	AIDA-OWG	Org	
LDC_ent_101	ORG	org	PoliticalOrganization	politicalorganization	Court	court	A court of law	OWG_ent_191	Entity	NonPhysicalEntity	Collection	Organization	PoliticalOrganization	Court	-	-	court/m/0k05r	Columbia-RPI	PoliticalOrg	https://en.wikipedia.org/wiki/Court
LDC_ent_102	ORG	org	PoliticalOrganization	politicalorganization	Party	party	"A political party, an organization to gain political power"	OWG_ent_190	Entity	NonPhysicalEntity	Collection	Organization	PoliticalOrganization	Party	-	-	Party108256968	RPI	PoliticalOrg	an organization to gain political power
LDC_ent_103	PER	per	n/a	unspecified	n/a	unspecified	Person entities are limited to humans. A PER entity may be a single person or a group.	OWG_ent_259	Entity	Shish	PER	-	-	-	-	-	PER	AIDA-OWG	Shish	
LDC_ent_104	PER	per	Combatant	combatant	n/a	unspecified	Someone who fights (or is fighting)	OWG_ent_268	Entity	Shish	PER	Combatant	-	-	-	-	Combatant109939313	RPI	PER	someone who fights (or is fighting)
LDC_ent_105	PER	per	Combatant	combatant	Mercenary	mercenary	"A mercenary, an individual who is hired to take part in an armed conflict but is not part of a regular army or other governmental military force"	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present
LDC_ent_106	PER	per	Combatant	combatant	Sniper	sniper	"A sniper, a marksman who shoots at people from a concealed place"	OWG_ent_295	Entity	Shish	PER	Sniper	-	-	-	-	Sniper110616899	RPI	PER	a marksman who shoots at people from a concealed place
LDC_ent_107	PER	per	Fan	fan	n/a	unspecified	"An enthusiast or supporter, especially with regard to entertainment and sports"	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present
LDC_ent_108	PER	per	Fan	fan	SportsFan	sportsfan	A sports fan	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present
LDC_ent_109	PER	per	MilitaryPersonnel	militarypersonnel	n/a	unspecified	Someone who serves in the armed forces; a member of a military force	OWG_ent_289	Entity	Shish	PER	Serviceman	-	-	-	-	Serviceman110582746	RPI	PER	someone who serves in the armed forces; a member of a military force
LDC_ent_110	PER	per	MilitaryPersonnel	militarypersonnel	MilitaryOfficer	militaryofficer	Any person in the armed services who holds a position of authority or command	OWG_ent_290	Entity	Shish	PER	Serviceman	MilitaryOfficer	-	-	-	MilitaryOfficer110317007	RPI	Serviceman110582746	any person in the armed services who holds a position of authority or command
LDC_ent_111	PER	per	Police	police	n/a	unspecified	"A policeman, an officer of the law"	OWG_ent_293	Entity	Shish	PER	Lawman	Police	-	-	-	Police/m/05ws7	Columbia-RPI	Lawman110249459	https://en.wikipedia.org/wiki/Police
LDC_ent_112	PER	per	Police	police	ChiefOfPolice	chiefofpolice	The Chief of Police	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present
LDC_ent_113	PER	per	Politician	politician	n/a	unspecified	A leader engaged in civil administration	OWG_ent_274	Entity	Shish	PER	Politician	-	-	-	-	Politician110451263	RPI	PER	a leader engaged in civil administration
LDC_ent_114	PER	per	Politician	politician	Governor	governor	The head of a state or provinvial government	OWG_ent_278	Entity	Shish	PER	Politician	Governor	-	-	-	Governor110140314	RPI	Politician110451263	the head of a state government
LDC_ent_115	PER	per	Politician	politician	HeadOfGovernment	headofgovernment	"A head of government, a person who rules or commands"	OWG_ent_270	Entity	Shish	PER	Ruler	-	-	-	-	Ruler110541229	RPI	PER	a person who rules or commands
LDC_ent_116	PER	per	Politician	politician	Mayor	mayor	The head of a city government	OWG_ent_275	Entity	Shish	PER	Politician	Mayor	-	-	-	Mayor110303814	RPI	Politician110451263	the head of a city government
LDC_ent_117	PER	per	ProfessionalPosition	professionalposition	n/a	unspecified	A person in a professional position	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present	not present
