document_id	document_element_or_keyframe_id	modality	region	type
IC001V9U9	IC001VBJM	text	(2433,0)-(3378,0)	OrganizationAffiliation.Leadership.HeadOfState
IC001V9U9	IC001VBJM	text	(2433,0)-(3378,0)	PER
IC001V9U9	IC001VBJM	text	(2433,0)-(3378,0)	PER.Combatant
IC001V9U9	IC001VBJM	text	(2433,0)-(3378,0)	PER.MilitaryPersonnel
IC001V9U9	IC001VBJM	text	(2433,0)-(3378,0)	PER.Politician.HeadOfGovernment
IC001V9U9	IC001VBJM	text	(2433,0)-(3378,0)	PER.ProfessionalPosition
IC001V9U9	IC001VBJM	text	(2433,0)-(3378,0)	PER.ProfessionalPosition.Minister
IC001V9U9	IC001VBJM	text	(2433,0)-(3378,0)	PER.Protester
IC001V9U9	IC001VBJM	text	(2433,0)-(3378,0)	Physical.LocatedNear
IC001V9U9	IC001VBJM	text	(2433,0)-(3378,0)	ResponsibilityBlame.ClaimResponsibility.ClaimResponsibility
IC001V9U9	IC001VBJM	text	(2433,0)-(3378,0)	SID.Ideological.Ideological
IC001V9U9	IC001VBJM	text	(2433,0)-(3378,0)	SID.Political.Opposition
IC001V9U9	IC001VBJM	text	(2433,0)-(3378,0)	VAL.Number.Number
IC001V9U9	IC001VBJM	text	(2433,0)-(3378,0)	VEH.Aircraft.Drone
IC001V9U9	IC001VBJM	text	(2433,0)-(3378,0)	WEA
IC001V9U9	IC001VBJM	text	(3425,0)-(4778,0)	ArtifactExistence.DamageDestroy.Damage
IC001V9U9	IC001VBJM	text	(3425,0)-(4778,0)	Conflict.Attack
IC001V9U9	IC001VBJM	text	(3425,0)-(4778,0)	Conflict.Attack.Bombing
IC001V9U9	IC001VBJM	text	(3425,0)-(4778,0)	Conflict.Attack.FirearmAttack
IC001V9U9	IC001VBJM	text	(3425,0)-(4778,0)	Conflict.Demonstrate.MarchProtestPoliticalGathering
IC001V9U9	IC001VBJM	text	(3425,0)-(4778,0)	Contact.Collaborate
IC001V9U9	IC001VBJM	text	(3425,0)-(4778,0)	Contact.MediaStatement
IC001V9U9	IC001VBJM	text	(3425,0)-(4778,0)	Disaster.AccidentCrash.AccidentCrash
IC001V9U9	IC001VBJM	text	(3425,0)-(4778,0)	Disaster.FireExplosion.FireExplosion
IC001V9U9	IC001VBJM	text	(3425,0)-(4778,0)	FAC.Building.ApartmentBuilding
IC001V9U9	IC001VBJM	text	(3425,0)-(4778,0)	FAC.Installation.MilitaryInstallation
IC001V9U9	IC001VBJM	text	(3425,0)-(4778,0)	FAC.Way.Street
IC001V9U9	IC001VBJM	text	(3425,0)-(4778,0)	GPE.Country.Country
IC001V9U9	IC001VBJM	text	(3425,0)-(4778,0)	GPE.UrbanArea.City
IC001V9U9	IC001VBJM	text	(3425,0)-(4778,0)	GeneralAffiliation.OrganizationPoliticalReligiousAffiliation
IC001V9U9	IC001VBJM	text	(3425,0)-(4778,0)	Inspection.TargetAimAt.TargetAimAt
IC001V9U9	IC001VBJM	text	(3425,0)-(4778,0)	Justice.ArrestJailDetain.ArrestJailDetain
IC001V9U9	IC001VBJM	text	(3425,0)-(4778,0)	LOC.GeographicPoint
IC001V9U9	IC001VBJM	text	(3425,0)-(4778,0)	LOC.Position
IC001V9U9	IC001VBJM	text	(3425,0)-(4778,0)	Measurement.Size.Count
IC001V9U9	IC001VBJM	text	(3425,0)-(4778,0)	Movement.TransportArtifact
IC001V9U9	IC001VBJM	text	(3425,0)-(4778,0)	Movement.TransportArtifact.Fall
IC001V9U9	IC001VBJM	text	(3425,0)-(4778,0)	Movement.TransportArtifact.LossOfControl
IC001V9U9	IC001VBJM	text	(3425,0)-(4778,0)	Movement.TransportPerson.EvacuationRescue
IC001V9U9	IC001VBJM	text	(3425,0)-(4778,0)	ORG
IC001V9U9	IC001VBJM	text	(3425,0)-(4778,0)	ORG.Government
IC001V9U9	IC001VBJM	text	(3425,0)-(4778,0)	ORG.PoliticalOrganization
IC001V9U9	IC001VBJM	text	(3425,0)-(4778,0)	OrganizationAffiliation.Leadership.HeadOfState
IC001V9U9	IC001VBJM	text	(3425,0)-(4778,0)	PER
IC001V9U9	IC001VBJM	text	(3425,0)-(4778,0)	PER.Combatant
IC001V9U9	IC001VBJM	text	(3425,0)-(4778,0)	PER.MilitaryPersonnel
IC001V9U9	IC001VBJM	text	(3425,0)-(4778,0)	PER.Politician.HeadOfGovernment
IC001V9U9	IC001VBJM	text	(3425,0)-(4778,0)	PER.ProfessionalPosition
IC001V9U9	IC001VBJM	text	(3425,0)-(4778,0)	PER.ProfessionalPosition.Minister
IC001V9U9	IC001VBJM	text	(3425,0)-(4778,0)	PER.Protester
IC001V9U9	IC001VBJM	text	(3425,0)-(4778,0)	Physical.LocatedNear
IC001V9U9	IC001VBJM	text	(3425,0)-(4778,0)	ResponsibilityBlame.ClaimResponsibility.ClaimResponsibility
IC001V9U9	IC001VBJM	text	(3425,0)-(4778,0)	SID.Ideological.Ideological
IC001V9U9	IC001VBJM	text	(3425,0)-(4778,0)	SID.Political.Opposition
IC001V9U9	IC001VBJM	text	(3425,0)-(4778,0)	VAL.Number.Number
IC001V9U9	IC001VBJM	text	(3425,0)-(4778,0)	VEH.Aircraft.Drone
IC001V9U9	IC001VBJM	text	(3425,0)-(4778,0)	WEA
IC001V9U9	IC001VBJM	text	(88,0)-(772,0)	ArtifactExistence.DamageDestroy.Damage
IC001V9U9	IC001VBJM	text	(88,0)-(772,0)	Conflict.Attack
IC001V9U9	IC001VBJM	text	(88,0)-(772,0)	Conflict.Attack.Bombing
IC001V9U9	IC001VBJM	text	(88,0)-(772,0)	Conflict.Attack.FirearmAttack
IC001V9U9	IC001VBJM	text	(88,0)-(772,0)	Conflict.Demonstrate.MarchProtestPoliticalGathering
IC001V9U9	IC001VBJM	text	(88,0)-(772,0)	Contact.Collaborate
IC001V9U9	IC001VBJM	text	(88,0)-(772,0)	Contact.MediaStatement
IC001V9U9	IC001VBJM	text	(88,0)-(772,0)	Disaster.AccidentCrash.AccidentCrash
IC001V9U9	IC001VBJM	text	(88,0)-(772,0)	Disaster.FireExplosion.FireExplosion
IC001V9U9	IC001VBJM	text	(88,0)-(772,0)	FAC.Building.ApartmentBuilding
IC001V9U9	IC001VBJM	text	(88,0)-(772,0)	FAC.Installation.MilitaryInstallation
IC001V9U9	IC001VBJM	text	(88,0)-(772,0)	FAC.Way.Street
IC001V9U9	IC001VBJM	text	(88,0)-(772,0)	GPE.Country.Country
IC001V9U9	IC001VBJM	text	(88,0)-(772,0)	GPE.UrbanArea.City
IC001V9U9	IC001VBJM	text	(88,0)-(772,0)	GeneralAffiliation.OrganizationPoliticalReligiousAffiliation
IC001V9U9	IC001VBJM	text	(88,0)-(772,0)	Inspection.TargetAimAt.TargetAimAt
IC001V9U9	IC001VBJM	text	(88,0)-(772,0)	Justice.ArrestJailDetain.ArrestJailDetain
IC001V9U9	IC001VBJM	text	(88,0)-(772,0)	LOC.GeographicPoint
IC001V9U9	IC001VBJM	text	(88,0)-(772,0)	LOC.Position
IC001V9U9	IC001VBJM	text	(88,0)-(772,0)	Measurement.Size.Count
IC001V9U9	IC001VBJM	text	(88,0)-(772,0)	Movement.TransportArtifact
IC001V9U9	IC001VBJM	text	(88,0)-(772,0)	Movement.TransportArtifact.Fall
IC001V9U9	IC001VBJM	text	(88,0)-(772,0)	Movement.TransportArtifact.LossOfControl
IC001V9U9	IC001VBJM	text	(88,0)-(772,0)	Movement.TransportPerson.EvacuationRescue
IC001V9U9	IC001VBJM	text	(88,0)-(772,0)	ORG
IC001V9U9	IC001VBJM	text	(88,0)-(772,0)	ORG.Government
IC001V9U9	IC001VBJM	text	(88,0)-(772,0)	ORG.PoliticalOrganization
IC001V9U9	IC001VBJM	text	(88,0)-(772,0)	OrganizationAffiliation.Leadership.HeadOfState
IC001V9U9	IC001VBJM	text	(88,0)-(772,0)	PER
IC001V9U9	IC001VBJM	text	(88,0)-(772,0)	PER.Combatant
IC001V9U9	IC001VBJM	text	(88,0)-(772,0)	PER.MilitaryPersonnel
IC001V9U9	IC001VBJM	text	(88,0)-(772,0)	PER.Politician.HeadOfGovernment
IC001V9U9	IC001VBJM	text	(88,0)-(772,0)	PER.ProfessionalPosition
IC001V9U9	IC001VBJM	text	(88,0)-(772,0)	PER.ProfessionalPosition.Minister
IC001V9U9	IC001VBJM	text	(88,0)-(772,0)	PER.Protester
IC001V9U9	IC001VBJM	text	(88,0)-(772,0)	Physical.LocatedNear
IC001V9U9	IC001VBJM	text	(88,0)-(772,0)	ResponsibilityBlame.ClaimResponsibility.ClaimResponsibility
IC001V9U9	IC001VBJM	text	(88,0)-(772,0)	SID.Ideological.Ideological
IC001V9U9	IC001VBJM	text	(88,0)-(772,0)	SID.Political.Opposition
IC001V9U9	IC001VBJM	text	(88,0)-(772,0)	VAL.Number.Number
IC001V9U9	IC001VBJM	text	(88,0)-(772,0)	VEH.Aircraft.Drone
IC001V9U9	IC001VBJM	text	(88,0)-(772,0)	WEA
IC001V9U9	IC001VBJM	text	(955,0)-(2242,0)	ArtifactExistence.DamageDestroy.Damage
IC001V9U9	IC001VBJM	text	(955,0)-(2242,0)	Conflict.Attack
IC001V9U9	IC001VBJM	text	(955,0)-(2242,0)	Conflict.Attack.Bombing
IC001V9U9	IC001VBJM	text	(955,0)-(2242,0)	Conflict.Attack.FirearmAttack
IC001V9U9	IC001VBJM	text	(955,0)-(2242,0)	Conflict.Demonstrate.MarchProtestPoliticalGathering
IC001V9U9	IC001VBJM	text	(955,0)-(2242,0)	Contact.Collaborate
IC001V9U9	IC001VBJM	text	(955,0)-(2242,0)	Contact.MediaStatement
IC001V9U9	IC001VBJM	text	(955,0)-(2242,0)	Disaster.AccidentCrash.AccidentCrash
IC001V9U9	IC001VBJM	text	(955,0)-(2242,0)	Disaster.FireExplosion.FireExplosion
IC001V9U9	IC001VBJM	text	(955,0)-(2242,0)	FAC.Building.ApartmentBuilding
IC001V9U9	IC001VBJM	text	(955,0)-(2242,0)	FAC.Installation.MilitaryInstallation
IC001V9U9	IC001VBJM	text	(955,0)-(2242,0)	FAC.Way.Street
IC001V9U9	IC001VBJM	text	(955,0)-(2242,0)	GPE.Country.Country
IC001V9U9	IC001VBJM	text	(955,0)-(2242,0)	GPE.UrbanArea.City
IC001V9U9	IC001VBJM	text	(955,0)-(2242,0)	GeneralAffiliation.OrganizationPoliticalReligiousAffiliation
IC001V9U9	IC001VBJM	text	(955,0)-(2242,0)	Inspection.TargetAimAt.TargetAimAt
IC001V9U9	IC001VBJM	text	(955,0)-(2242,0)	Justice.ArrestJailDetain.ArrestJailDetain
IC001V9U9	IC001VBJM	text	(955,0)-(2242,0)	LOC.GeographicPoint
IC001V9U9	IC001VBJM	text	(955,0)-(2242,0)	LOC.Position
IC001V9U9	IC001VBJM	text	(955,0)-(2242,0)	Measurement.Size.Count
IC001V9U9	IC001VBJM	text	(955,0)-(2242,0)	Movement.TransportArtifact
IC001V9U9	IC001VBJM	text	(955,0)-(2242,0)	Movement.TransportArtifact.Fall
IC001V9U9	IC001VBJM	text	(955,0)-(2242,0)	Movement.TransportArtifact.LossOfControl
IC001V9U9	IC001VBJM	text	(955,0)-(2242,0)	Movement.TransportPerson.EvacuationRescue
IC001V9U9	IC001VBJM	text	(955,0)-(2242,0)	ORG
IC001V9U9	IC001VBJM	text	(955,0)-(2242,0)	ORG.Government
IC001V9U9	IC001VBJM	text	(955,0)-(2242,0)	ORG.PoliticalOrganization
IC001V9U9	IC001VBJM	text	(955,0)-(2242,0)	OrganizationAffiliation.Leadership.HeadOfState
IC001V9U9	IC001VBJM	text	(955,0)-(2242,0)	PER
IC001V9U9	IC001VBJM	text	(955,0)-(2242,0)	PER.Combatant
IC001V9U9	IC001VBJM	text	(955,0)-(2242,0)	PER.MilitaryPersonnel
IC001V9U9	IC001VBJM	text	(955,0)-(2242,0)	PER.Politician.HeadOfGovernment
IC001V9U9	IC001VBJM	text	(955,0)-(2242,0)	PER.ProfessionalPosition
IC001V9U9	IC001VBJM	text	(955,0)-(2242,0)	PER.ProfessionalPosition.Minister
IC001V9U9	IC001VBJM	text	(955,0)-(2242,0)	PER.Protester
IC001V9U9	IC001VBJM	text	(955,0)-(2242,0)	Physical.LocatedNear
IC001V9U9	IC001VBJM	text	(955,0)-(2242,0)	ResponsibilityBlame.ClaimResponsibility.ClaimResponsibility
IC001V9U9	IC001VBJM	text	(955,0)-(2242,0)	SID.Ideological.Ideological
IC001V9U9	IC001VBJM	text	(955,0)-(2242,0)	SID.Political.Opposition
IC001V9U9	IC001VBJM	text	(955,0)-(2242,0)	VAL.Number.Number
IC001V9U9	IC001VBJM	text	(955,0)-(2242,0)	VEH.Aircraft.Drone
IC001V9U9	IC001VBJM	text	(955,0)-(2242,0)	WEA
IC001VAPK	IC001VAPQ	image	(0,0)-(1600,900)	Conflict.Attack
IC001VAPK	IC001VAPQ	image	(0,0)-(1600,900)	Conflict.Attack.Bombing
IC001VAPK	IC001VAPQ	image	(0,0)-(1600,900)	Conflict.Demonstrate.MarchProtestPoliticalGathering
IC001VAPK	IC001VAPQ	image	(0,0)-(1600,900)	FAC.Installation.MilitaryInstallation
IC001VAPK	IC001VAPQ	image	(0,0)-(1600,900)	FAC.Structure
IC001VAPK	IC001VAPQ	image	(0,0)-(1600,900)	GPE.Country.Country
IC001VAPK	IC001VAPQ	image	(0,0)-(1600,900)	GeneralAffiliation.Sponsorship
IC001VAPK	IC001VAPQ	image	(0,0)-(1600,900)	GeneralAffiliation.Sponsorship.HelpSupport
IC001VAPK	IC001VAPQ	image	(0,0)-(1600,900)	Justice.ArrestJailDetain.ArrestJailDetain
IC001VAPK	IC001VAPQ	image	(0,0)-(1600,900)	Life.Injure.InjuryCausedByViolentEvents
IC001VAPK	IC001VAPQ	image	(0,0)-(1600,900)	Measurement.Size.Count
IC001VAPK	IC001VAPQ	image	(0,0)-(1600,900)	Medical.Intervention.Intervention
IC001VAPK	IC001VAPQ	image	(0,0)-(1600,900)	Movement.TransportPerson.EvacuationRescue
IC001VAPK	IC001VAPQ	image	(0,0)-(1600,900)	ORG.Government
IC001VAPK	IC001VAPQ	image	(0,0)-(1600,900)	ORG.MilitaryOrganization.GovernmentArmedForces
IC001VAPK	IC001VAPQ	image	(0,0)-(1600,900)	ORG.MilitaryOrganization.NonGovernmentMilitia
IC001VAPK	IC001VAPQ	image	(0,0)-(1600,900)	OrganizationAffiliation.EmploymentMembership.Employment
IC001VAPK	IC001VAPQ	image	(0,0)-(1600,900)	OrganizationAffiliation.Founder.Founder
IC001VAPK	IC001VAPQ	image	(0,0)-(1600,900)	OrganizationAffiliation.Leadership.HeadOfState
IC001VAPK	IC001VAPQ	image	(0,0)-(1600,900)	PER
IC001VAPK	IC001VAPQ	image	(0,0)-(1600,900)	PER.Combatant
IC001VAPK	IC001VAPQ	image	(0,0)-(1600,900)	PER.Combatant.Sniper
IC001VAPK	IC001VAPQ	image	(0,0)-(1600,900)	PER.MilitaryPersonnel
IC001VAPK	IC001VAPQ	image	(0,0)-(1600,900)	PER.Politician.HeadOfGovernment
IC001VAPK	IC001VAPQ	image	(0,0)-(1600,900)	PER.Protester
IC001VAPK	IC001VAPQ	image	(0,0)-(1600,900)	ResponsibilityBlame.AssignBlame.AssignBlame
IC001VAPK	IC001VAPQ	image	(0,0)-(1600,900)	ResponsibilityBlame.ClaimResponsibility.ClaimResponsibility
IC001VAPK	IC001VAPQ	image	(0,0)-(1600,900)	Transaction.TransferMoney
IC001VAPK	IC001VAPQ	image	(0,0)-(1600,900)	VAL.Number.Number
IC001VAPK	IC001VAPQ	image	(0,0)-(1600,900)	VEH.Aircraft.Drone
IC001VAPK	IC001VBFN	text	(1,0)-(1177,0)	Conflict.Attack
IC001VAPK	IC001VBFN	text	(1,0)-(1177,0)	Conflict.Attack.Bombing
IC001VAPK	IC001VBFN	text	(1,0)-(1177,0)	Conflict.Demonstrate.MarchProtestPoliticalGathering
IC001VAPK	IC001VBFN	text	(1,0)-(1177,0)	FAC.Installation.MilitaryInstallation
IC001VAPK	IC001VBFN	text	(1,0)-(1177,0)	FAC.Structure
IC001VAPK	IC001VBFN	text	(1,0)-(1177,0)	GPE.Country.Country
IC001VAPK	IC001VBFN	text	(1,0)-(1177,0)	GeneralAffiliation.Sponsorship
IC001VAPK	IC001VBFN	text	(1,0)-(1177,0)	GeneralAffiliation.Sponsorship.HelpSupport
IC001VAPK	IC001VBFN	text	(1,0)-(1177,0)	Justice.ArrestJailDetain.ArrestJailDetain
IC001VAPK	IC001VBFN	text	(1,0)-(1177,0)	Life.Injure.InjuryCausedByViolentEvents
IC001VAPK	IC001VBFN	text	(1,0)-(1177,0)	Measurement.Size.Count
IC001VAPK	IC001VBFN	text	(1,0)-(1177,0)	Medical.Intervention.Intervention
IC001VAPK	IC001VBFN	text	(1,0)-(1177,0)	Movement.TransportPerson.EvacuationRescue
IC001VAPK	IC001VBFN	text	(1,0)-(1177,0)	ORG.Government
IC001VAPK	IC001VBFN	text	(1,0)-(1177,0)	ORG.MilitaryOrganization.GovernmentArmedForces
IC001VAPK	IC001VBFN	text	(1,0)-(1177,0)	ORG.MilitaryOrganization.NonGovernmentMilitia
IC001VAPK	IC001VBFN	text	(1,0)-(1177,0)	OrganizationAffiliation.EmploymentMembership.Employment
IC001VAPK	IC001VBFN	text	(1,0)-(1177,0)	OrganizationAffiliation.Founder.Founder
IC001VAPK	IC001VBFN	text	(1,0)-(1177,0)	OrganizationAffiliation.Leadership.HeadOfState
IC001VAPK	IC001VBFN	text	(1,0)-(1177,0)	PER
IC001VAPK	IC001VBFN	text	(1,0)-(1177,0)	PER.Combatant
IC001VAPK	IC001VBFN	text	(1,0)-(1177,0)	PER.Combatant.Sniper
IC001VAPK	IC001VBFN	text	(1,0)-(1177,0)	PER.MilitaryPersonnel
IC001VAPK	IC001VBFN	text	(1,0)-(1177,0)	PER.Politician.HeadOfGovernment
IC001VAPK	IC001VBFN	text	(1,0)-(1177,0)	PER.Protester
IC001VAPK	IC001VBFN	text	(1,0)-(1177,0)	ResponsibilityBlame.AssignBlame.AssignBlame
IC001VAPK	IC001VBFN	text	(1,0)-(1177,0)	ResponsibilityBlame.ClaimResponsibility.ClaimResponsibility
IC001VAPK	IC001VBFN	text	(1,0)-(1177,0)	Transaction.TransferMoney
IC001VAPK	IC001VBFN	text	(1,0)-(1177,0)	VAL.Number.Number
IC001VAPK	IC001VBFN	text	(1,0)-(1177,0)	VEH.Aircraft.Drone
IC001VAPK	IC001VBFN	text	(2228,0)-(3103,0)	Conflict.Attack
IC001VAPK	IC001VBFN	text	(2228,0)-(3103,0)	Conflict.Attack.Bombing
IC001VAPK	IC001VBFN	text	(2228,0)-(3103,0)	Conflict.Demonstrate.MarchProtestPoliticalGathering
IC001VAPK	IC001VBFN	text	(2228,0)-(3103,0)	FAC.Installation.MilitaryInstallation
IC001VAPK	IC001VBFN	text	(2228,0)-(3103,0)	FAC.Structure
IC001VAPK	IC001VBFN	text	(2228,0)-(3103,0)	GPE.Country.Country
IC001VAPK	IC001VBFN	text	(2228,0)-(3103,0)	GeneralAffiliation.Sponsorship
IC001VAPK	IC001VBFN	text	(2228,0)-(3103,0)	GeneralAffiliation.Sponsorship.HelpSupport
IC001VAPK	IC001VBFN	text	(2228,0)-(3103,0)	Justice.ArrestJailDetain.ArrestJailDetain
IC001VAPK	IC001VBFN	text	(2228,0)-(3103,0)	Life.Injure.InjuryCausedByViolentEvents
IC001VAPK	IC001VBFN	text	(2228,0)-(3103,0)	Measurement.Size.Count
IC001VAPK	IC001VBFN	text	(2228,0)-(3103,0)	Medical.Intervention.Intervention
IC001VAPK	IC001VBFN	text	(2228,0)-(3103,0)	Movement.TransportPerson.EvacuationRescue
IC001VAPK	IC001VBFN	text	(2228,0)-(3103,0)	ORG.Government
