AnnotIndexID	Type	Output Value for Type	Subtype	Output Value for Subtype	Sub-subtype	Output Value for Sub-subtype	Definition	Template	arg1 label	Output value for arg1	arg1 type constraints	arg2 label	Output value for arg2	arg2 type constraints	arg3 label	Output value for arg3	arg3 type constraints	arg4 label	Output value for arg4	arg4 type constraints	arg5 label	Output value for arg5	arg5 type constraints			
LDC_evt_017	Conflict	conflict	Demonstrate	demonstrate	MarchProtestPoliticalGathering	marchprotestpoliticalgathering	"A demonstration, march, protest, or political gathering"	<arg1> was in a demonstration or protest at <arg2> place	Demonstrator	evt017arg01demonstrator	"per, org, sid"	Place	evt017arg02place	"loc, gpe, fac"												
LDC_evt_018	Conflict	conflict	Yield	yield	n/a	unspecified	Yield in a battle or attack	<arg1> yielded to <arg2> at <arg3> place	Yielder	evt018arg01yielder	"per, org, gpe, sid"	Recipient	evt018arg02recipient	"loc, gpe, fac, per, com, veh, wea, sid"	Place	evt018arg03place	"loc, gpe, fac"									
LDC_evt_019	Conflict	conflict	Yield	yield	Retreat	retreat	A retreat by troops or fighters from a battle or attack	<arg1> retreated from <arg2> place to <arg3> place	Retreater	evt019arg01retreater	"per, org, gpe, sid"	Origin	evt019arg02origin	"loc, gpe, fac, per, com, veh, wea, sid"	Destination	evt019arg03destination	"loc, gpe, fac"									
LDC_evt_020	Conflict	conflict	Yield	yield	Surrender	surrender	A surrender in a battle or attack	<arg1> surrendered to <arg2> at <arg3> place	Surrenderer	evt020arg01surrenderer	"per, org, gpe, sid"	Recipient	evt020arg02recipient	"per, org, gpe, sid"	Place	evt020arg03place	"loc, gpe, fac"									
LDC_evt_021	Contact	contact	Collaborate	collaborate	n/a	unspecified	"A collaboration via communication between two or more arguments, where the context does not distinguish whether the communication is in person or remot"	<arg1> communicated with <arg2> at <arg3> place	Participant	evt021arg01participant	"per, org, gpe, sid"	Participant	evt021arg02participant	"per, org, gpe, sid"	Place	evt021arg03place	"loc, gpe, fac"									
LDC_evt_022	Contact	contact	Collaborate	collaborate	Correspondence	correspondence	"A collaboration between arguments via two-way communication, not in person"	<arg1> communicated remotely with <arg2> at <arg3> place	Participant	evt022arg01participant	"per, org, gpe, sid"	Participant	evt022arg02participant	"per, org, gpe, sid"	Place	evt022arg03place	"loc, gpe, fac"									
LDC_evt_023	Contact	contact	Collaborate	collaborate	Meet	meet	A collaboration between the arguments in person	<arg1> met face-to-face with <arg2> at <arg3> place	Participant	evt023arg01participant	"per, org, gpe, sid"	Participant	evt023arg02participant	"per, org, gpe, sid"	Place	evt023arg03place	"loc, gpe, fac"									
LDC_evt_024	Contact	contact	CommandOrder	commandorder	n/a	unspecified	"A command or order expressed in communication, where the context does not distinguish whether the communication is one-way or two-way, or whether it is in person or remote"	<arg1> communicated with <arg2> about <arg4> topic at <arg3> place	Communicator	evt024arg01communicator	"per, org, gpe, sid"	Recipient	evt024arg02recipient	"per, org, gpe, sid"	Place	evt024arg03place	"loc, gpe, fac"	Topic	evt024arg04topic	"event, per, org, gpe, sid, loc, fac, veh, wea, com, bal, mon, law, res, val, mhi, inf"						
LDC_evt_025	Contact	contact	CommandOrder	commandorder	Broadcast	broadcast	A command or order given in a one-way communication	<arg1> communicated to <arg2> about <arg4> topic at <arg3> place (one-way communication)	Communicator	evt025arg01communicator	"per, org, gpe, sid"	Recipient	evt025arg02recipient	"per, org, gpe, sid"	Place	evt025arg03place	"loc, gpe, fac"	Topic	evt025arg04topic	"event, per, org, gpe, sid, loc, fac, veh, wea, com, bal, mon, law, res, val, mhi, inf"						
LDC_evt_026	Contact	contact	CommandOrder	commandorder	Correspondence	correspondence	"A command or order given in a two-way communication, not in person"	<arg1> communicated remotely with <arg2> about <arg4> topic at <arg3> place	Communicator	evt026arg01communicator	"per, org, gpe, sid"	Recipient	evt026arg02recipient	"per, org, gpe, sid"	Place	evt026arg03place	"loc, gpe, fac"	Topic	evt026arg04topic	"event, per, org, gpe, sid, loc, fac, veh, wea, com, bal, mon, law, res, val, mhi, inf"						
LDC_evt_027	Contact	contact	CommandOrder	commandorder	Meet	meet	A command or order given in person	<arg1> met face-to-face with <arg2> about <arg4> topic at <arg3> place	Communicator	evt027arg01communicator	"per, org, gpe, sid"	Recipient	evt027arg02recipient	"per, org, gpe, sid"	Place	evt027arg03place	"loc, gpe, fac"	Topic	evt027arg04topic	"event, per, org, gpe, sid, loc, fac, veh, wea, com, bal, mon, law, res, val, mhi, inf"						
LDC_evt_028	Contact	contact	CommitmentPromiseExpressIntent	commitmentpromiseexpressintent	n/a	unspecified	"A commitment, promise, or intent expressed in communication, where the context does not distinguish whether the communication is one-way or two-way, or whether it is in person or remote"	<arg1> communicated with <arg2> about <arg4> topic at <arg3> place	Communicator	evt028arg01communicator	"per, org, gpe, sid"	Recipient	evt028arg02recipient	"per, org, gpe, sid"	Place	evt028arg03place	"loc, gpe, fac"	Topic	evt028arg04topic	"event, per, org, gpe, sid, loc, fac, veh, wea, com, bal, mon, law, res, val, mhi, inf"						
LDC_evt_029	Contact	contact	CommitmentPromiseExpressIntent	commitmentpromiseexpressintent	Broadcast	broadcast	"A commitment, promise, or intent expressed in a one-way communication"	<arg1> communicated to <arg2> about <arg4> topic at <arg3> place (one-way communication)	Communicator	evt029arg01communicator	"per, org, gpe, sid"	Recipient	evt029arg02recipient	"per, org, gpe, sid"	Place	evt029arg03place	"loc, gpe, fac"	Topic	evt029arg04topic	"event, per, org, gpe, sid, loc, fac, veh, wea, com, bal, mon, law, res, val, mhi, inf"						
LDC_evt_030	Contact	contact	CommitmentPromiseExpressIntent	commitmentpromiseexpressintent	Correspondence	correspondence	"A commitment, promise, or intent expressed in a two-way communication, not in person"	<arg1> communicated remotely with <arg2> about <arg4> topic at <arg3> place	Communicator	evt030arg01communicator	"per, org, gpe, sid"	Recipient	evt030arg02recipient	"per, org, gpe, sid"	Place	evt030arg03place	"loc, gpe, fac"	Topic	evt030arg04topic	"event, per, org, gpe, sid, loc, fac, veh, wea, com, bal, mon, law, res, val, mhi, inf"						
LDC_evt_031	Contact	contact	CommitmentPromiseExpressIntent	commitmentpromiseexpressintent	Meet	meet	"A commitment, promise, or intent expressed in person"	<arg1> met face-to-face with <arg2> about <arg4> topic at <arg3> place	Communicator	evt031arg01communicator	"per, org, gpe, sid"	Recipient	evt031arg02recipient	"per, org, gpe, sid"	Place	evt031arg03place	"loc, gpe, fac"	Topic	evt031arg04topic	"event, per, org, gpe, sid, loc, fac, veh, wea, com, bal, mon, law, res, val, mhi, inf"						
LDC_evt_032	Contact	contact	Discussion	discussion	n/a	unspecified	"A two- or multi-way discussion, where the context does not distinguish whether the communication is in person or remote"	<arg1> communicated with <arg2> at <arg3> place	Participant	evt032arg01participant	"per, org, gpe, sid"	Participant	evt032arg02participant	"per, org, gpe, sid"	Place	evt032arg03place	"loc, gpe, fac"									
LDC_evt_033	Contact	contact	Discussion	discussion	Correspondence	correspondence	"A two- or multi-way discussion via communication, not in person"	<arg1> communicated remotely with <arg2> at <arg3> place	Participant	evt033arg01participant	"per, org, gpe, sid"	Participant	evt033arg02participant	"per, org, gpe, sid"	Place	evt033arg03place	"loc, gpe, fac"									
LDC_evt_034	Contact	contact	Discussion	discussion	Meet	meet	A two- or multi-way discussion in person	<arg1> met face-to-face with <arg2> at <arg3> place	Participant	evt034arg01participant	"per, org, gpe, sid"	Participant	evt034arg02participant	"per, org, gpe, sid"	Place	evt034arg03place	"loc, gpe, fac"									
LDC_evt_035	Contact	contact	FuneralVigil	funeralvigil	n/a	unspecified	"A funeral, vigil, or memorial event, where the context does not distinguish whether the communication is in person or remote"	<arg1> communicated with <arg2> during a funeral or vigil for <arg3> at <arg4> place	Participant	evt035arg01participant	"per, org, gpe, sid"	Participant	evt035arg02participant	"per, org, gpe, sid"	Deceased	evt035arg03deceased	per	Place	evt035arg04place	"loc, gpe, fac"						
LDC_evt_036	Contact	contact	FuneralVigil	funeralvigil	Meet	meet	"Two or more people meeting at a funeral, vigil, or memorial event"	<arg1> met face-to-face with <arg2> during a funeral or vigil for <arg3> at <arg4> place	Participant	evt036arg01participant	"per, org, gpe, sid"	Participant	evt036arg02participant	"per, org, gpe, sid"	Deceased	evt036arg03deceased	per	Place	evt036arg04place	"loc, gpe, fac"						
LDC_evt_037	Contact	contact	MediaStatement	mediastatement	n/a	unspecified	"A public statement made in communication through the media, where the context does not distinguish whether the communication is one-way or two-way"	<arg1> communicated with <arg2> at <arg3> place	Communicator	evt037arg01communicator	"per, org, gpe, sid"	Recipient	evt037arg02recipient	"per, org, gpe, sid"	Place	evt037arg03place	"loc, gpe, fac"									
LDC_evt_038	Contact	contact	MediaStatement	mediastatement	Broadcast	broadcast	A public statement made in one-way communication through the media	<arg1> communicated to <arg2> at <arg3> place (one-way communication)	Communicator	evt038arg01communicator	"per, org, gpe, sid"	Recipient	evt038arg02recipient	"per, org, gpe, sid"	Place	evt038arg03place	"loc, gpe, fac"									
LDC_evt_039	Contact	contact	Negotiate	negotiate	n/a	unspecified	"A statement of negotiation, where the context does not distinguish whether the communication is one-way or two-way, or whether it is in person or remote"	<arg1> communicated with <arg2> about <arg4> topic at <arg3> place	Participant	evt039arg01participant	"per, org, gpe, sid"	Participant	evt039arg02participant	"per, org, gpe, sid"	Place	evt039arg03place	"loc, gpe, fac"	Topic	evt039arg04topic	"event, per, org, gpe, sid, loc, fac, veh, wea, com, bal, mon, law, res, val, mhi, inf"						
LDC_evt_040	Contact	contact	Negotiate	negotiate	Correspondence	correspondence	"A two-way statement of negotiation, not in person"	<arg1> communicated remotely with <arg2> about <arg4> topic at <arg3> place	Participant	evt040arg01participant	"per, org, gpe, sid"	Participant	evt040arg02participant	"per, org, gpe, sid"	Place	evt040arg03place	"loc, gpe, fac"	Topic	evt040arg04topic	"event, per, org, gpe, sid, loc, fac, veh, wea, com, bal, mon, law, res, val, mhi, inf"						
LDC_evt_041	Contact	contact	Negotiate	negotiate	Meet	meet	A statement of negotiation in person	<arg1> met face-to-face with <arg2> about <arg4> topic at <arg3> place	Participant	evt041arg01participant	"per, org, gpe, sid"	Participant	evt041arg02participant	"per, org, gpe, sid"	Place	evt041arg03place	"loc, gpe, fac"	Topic	evt041arg04topic	"event, per, org, gpe, sid, loc, fac, veh, wea, com, bal, mon, law, res, val, mhi, inf"						
LDC_evt_042	Contact	contact	Prevarication	prevarication	n/a	unspecified	"A communication that is knowingly untrue or vague about the truth, where the context does not distinguish whether the communication is one-way or two-way, or whether it is in person or remote"	<arg1> communicated with <arg2> about <arg4> topic at <arg3> place	Communicator	evt042arg01communicator	"per, org, gpe, sid"	Recipient	evt042arg02recipient	"per, org, gpe, sid"	Place	evt042arg03place	"loc, gpe, fac"	Topic	evt042arg04topic	"event, per, org, gpe, sid, loc, fac, veh, wea, com, bal, mon, law, res, val, mhi, inf"						
LDC_evt_043	Contact	contact	Prevarication	prevarication	Broadcast	broadcast	A one-way communication that is knowingly untrue or vague about the truth	<arg1> communicated to <arg2> about <arg4> topic at <arg3> place (one-way communication)	Communicator	evt043arg01communicator	"per, org, gpe, sid"	Recipient	evt043arg02recipient	"per, org, gpe, sid"	Place	evt043arg03place	"loc, gpe, fac"	Topic	evt043arg04topic	"event, per, org, gpe, sid, loc, fac, veh, wea, com, bal, mon, law, res, val, mhi, inf"						
LDC_evt_044	Contact	contact	Prevarication	prevarication	Correspondence	correspondence	"A two-way communication that is knowingly untrue or vague about the truth, not in person"	<arg1> communicated remotely with <arg2> about <arg4> topic at <arg3> place	Communicator	evt044arg01communicator	"per, org, gpe, sid"	Recipient	evt044arg02recipient	"per, org, gpe, sid"	Place	evt044arg03place	"loc, gpe, fac"	Topic	evt044arg04topic	"event, per, org, gpe, sid, loc, fac, veh, wea, com, bal, mon, law, res, val, mhi, inf"						
LDC_evt_045	Contact	contact	Prevarication	prevarication	Meet	meet	"A communication that is knowingly untrue or vague about the truth, made in person"	<arg1> met face-to-face with <arg2> about <arg4> topic at <arg3> place	Communicator	evt045arg01communicator	"per, org, gpe, sid"	Recipient	evt045arg02recipient	"per, org, gpe, sid"	Place	evt045arg03place	"loc, gpe, fac"	Topic	evt045arg04topic	"event, per, org, gpe, sid, loc, fac, veh, wea, com, bal, mon, law, res, val, mhi, inf"						
LDC_evt_046	Contact	contact	PublicStatementInPerson	publicstatementinperson	n/a	unspecified	"A public statement made in person, where the context does not distinguish whether the communication is one-way or two-way"	<arg1> communicated with <arg2> at <arg3> place	Communicator	evt046arg01communicator	"per, org, gpe, sid"	Recipient	evt046arg02recipient	"per, org, gpe, sid"	Place	evt046arg03place	"loc, gpe, fac"									
LDC_evt_047	Contact	contact	PublicStatementInPerson	publicstatementinperson	Broadcast	broadcast	A public statement made in person via one-way communication	<arg1> communicated to <arg2> at <arg3> place (one-way communication)	Communicator	evt047arg01communicator	"per, org, gpe, sid"	Recipient	evt047arg02recipient	"per, org, gpe, sid"	Place	evt047arg03place	"loc, gpe, fac"									
LDC_evt_048	Contact	contact	RequestAdvise	requestadvise	n/a	unspecified	"A statement offering advice or making an appeal, where the context does not distinguish whether the communication is one-way or two-way, or whether it is in person or remote"	<arg1> communicated with <arg2> about <arg4> topic at <arg3> place	Communicator	evt048arg01communicator	"per, org, gpe, sid"	Recipient	evt048arg02recipient	"per, org, gpe, sid"	Place	evt048arg03place	"loc, gpe, fac"	Topic	evt048arg04topic	"event, per, org, gpe, sid, loc, fac, veh, wea, com, bal, mon, law, res, val, mhi, inf"						
LDC_evt_049	Contact	contact	RequestAdvise	requestadvise	Broadcast	broadcast	A statement offering advice or making an appeal via one-way communication	<arg1> communicated to <arg2> about <arg4> topic at <arg3> place (one-way communication)	Communicator	evt049arg01communicator	"per, org, gpe, sid"	Recipient	evt049arg02recipient	"per, org, gpe, sid"	Place	evt049arg03place	"loc, gpe, fac"	Topic	evt049arg04topic	"event, per, org, gpe, sid, loc, fac, veh, wea, com, bal, mon, law, res, val, mhi, inf"						
LDC_evt_050	Contact	contact	RequestAdvise	requestadvise	Correspondence	correspondence	"A statement offering advice or making an appeal via two-way communication, not in person"	<arg1> communicated remotely with <arg2> about <arg4> topic at <arg3> place	Communicator	evt050arg01communicator	"per, org, gpe, sid"	Recipient	evt050arg02recipient	"per, org, gpe, sid"	Place	evt050arg03place	"loc, gpe, fac"	Topic	evt050arg04topic	"event, per, org, gpe, sid, loc, fac, veh, wea, com, bal, mon, law, res, val, mhi, inf"						
LDC_evt_051	Contact	contact	RequestAdvise	requestadvise	Meet	meet	A statement offering advice or making an appeal made in person	<arg1> met face-to-face with <arg2> about <arg4> topic at <arg3> place	Communicator	evt051arg01communicator	"per, org, gpe, sid"	Recipient	evt051arg02recipient	"per, org, gpe, sid"	Place	evt051arg03place	"loc, gpe, fac"	Topic	evt051arg04topic	"event, per, org, gpe, sid, loc, fac, veh, wea, com, bal, mon, law, res, val, mhi, inf"						
LDC_evt_052	Contact	contact	ThreatenCoerce	threatencoerce	n/a	unspecified	"A statement offering threat or coercion, where the context does not distinguish whether the communication is one-way or two-way, or whether it is in person or remote"	<arg1> communicated with <arg2> about <arg4> topic at <arg3> place	Communicator	evt052arg01communicator	"per, org, gpe, sid"	Recipient	evt052arg02recipient	"per, org, gpe, sid"	Place	evt052arg03place	"loc, gpe, fac"	Topic	evt052arg04topic	"event, per, org, gpe, sid, loc, fac, veh, wea, com, bal, mon, law, res, val, mhi, inf"						
LDC_evt_053	Contact	contact	ThreatenCoerce	threatencoerce	Broadcast	broadcast	A statement offering threat or coercion via one-way communication	<arg1> communicated to <arg2> about <arg4> topic at <arg3> place (one-way communication)	Communicator	evt053arg01communicator	"per, org, gpe, sid"	Recipient	evt053arg02recipient	"per, org, gpe, sid"	Place	evt053arg03place	"loc, gpe, fac"	Topic	evt053arg04topic	"event, per, org, gpe, sid, loc, fac, veh, wea, com, bal, mon, law, res, val, mhi, inf"						
LDC_evt_054	Contact	contact	ThreatenCoerce	threatencoerce	Correspondence	correspondence	"A statement offering threat or coercion via two-way communication, not in person"	<arg1> communicated remotely with <arg2> about <arg4> topic at <arg3> place	Communicator	evt054arg01communicator	"per, org, gpe, sid"	Recipient	evt054arg02recipient	"per, org, gpe, sid"	Place	evt054arg03place	"loc, gpe, fac"	Topic	evt054arg04topic	"event, per, org, gpe, sid, loc, fac, veh, wea, com, bal, mon, law, res, val, mhi, inf"						
LDC_evt_055	Contact	contact	ThreatenCoerce	threatencoerce	Meet	meet	A statement offering threat or coercion made in person	<arg1> met face-to-face with <arg2> about <arg4> topic at <arg3> place	Communicator	evt055arg01communicator	"per, org, gpe, sid"	Recipient	evt055arg02recipient	"per, org, gpe, sid"	Place	evt055arg03place	"loc, gpe, fac"	Topic	evt055arg04topic	"event, per, org, gpe, sid, loc, fac, veh, wea, com, bal, mon, law, res, val, mhi, inf"						
LDC_evt_057	Disaster	disaster	AccidentCrash	accidentcrash	AccidentCrash	accidentcrash	Vehicular collision or the crashing of any type of vehicle	<arg1> person in <arg2> vehicle crashed into <arg3> at <arg4> place	DriverPassenger	evt057arg01driverpassenger	per	Vehicle	evt057arg02vehicle	veh	CrashObject	evt057arg03crashobject	"com, fac, loc, per, veh, wea"	Place	evt057arg04place	"loc, gpe, fac"						
LDC_evt_148	Disaster	disaster	DiseaseOutbreak	diseaseoutbreak	DiseaseOutbreak	diseaseoutbreak	"Explicit mentions of an outbreak of a disease in an area, region, or country"	<arg1> disease broke out among <arg2> victims or population at <arg3> place	Disease 	evt148arg01disease 	mhi	Victim 	evt148arg02victim 	"per, org, sid"	Place 	evt148arg03place 	"loc, gpe, fac, veh"									
LDC_evt_059	Disaster	disaster	FireExplosion	fireexplosion	FireExplosion	fireexplosion	"A damaging fire or explosion, either natural or caused but without the intent of attacking"	<arg1> caught fire or exploded from <arg2> instrument at <arg3> place	FireExplosionObject	evt059arg01fireexplosionobject	"bal, veh, wea, fac, loc, com"	Instrument	evt059arg02instrument	"com, veh, wea, fac"	Place	evt059arg03place	"loc, gpe, fac"									
LDC_evt_154	GenericCrime	genericcrime	GenericCrime	genericcrime	GenericCrime	genericcrime	For use as the crime argument in a Justice event when the crime event is not taggable as any other annotation ontology event type	<arg1> committed a crime against <arg2> at <arg3> place	Perpetrator 	evt154arg01perpetrator 	"per, org, gpe, sid"	Victim 	evt154arg02victim 	"per, org, gpe, sid"	Place 	evt154arg03place 	"loc, gpe, fac"									
LDC_evt_060	Government	government	Agreements	agreements	n/a	unspecified	An agreement between governments or GPEs	<arg1> and <arg2> signed an agreement in <arg3> place	Participant	evt060arg01participant	"gpe, sid"	Participant	evt060arg02participant	"gpe, sid"	Place	evt060arg03place	"loc, gpe, fac"									
LDC_evt_061	Government	government	Agreements	agreements	AcceptAgreementContractCeasefire	acceptagreementcontractceasefire	The signing of an agreement between governments or GPEs	<arg1> and <arg2> signed an agreement in <arg3> place	Participant	evt061arg01participant	"gpe, sid"	Participant	evt061arg02participant	"gpe, sid"	Place	evt061arg03place	"loc, gpe, fac"									
LDC_evt_062	Government	government	Agreements	agreements	RejectNullifyAgreementContractCeasefire	rejectnullifyagreementcontractceasefire	The rejecting or nullifying of an agreement between governments or GPEs	<arg1> rejected or nullified an agreement with <arg2> in <arg3> place	RejecterNullifier	evt062arg01rejecternullifier	"gpe, sid"	OtherParticipant	evt062arg02otherparticipant	"gpe, sid"	Place	evt062arg03place	"loc, gpe, fac"									
LDC_evt_063	Government	government	Agreements	agreements	ViolateAgreement	violateagreement	"The violation of an agreement between governments, GPEs, or sides that are acting as governments"	<arg1> violated an agreement with <arg2> in <arg3> place	Violator	evt063arg01violator	"gpe, sid"	OtherParticipant	evt063arg02otherparticipant	"gpe, sid"	Place	evt063arg03place	"loc, gpe, fac"									
LDC_evt_145	Government	government	Convene	convene	Convene	convene	Convening an official government body	<arg1> convened <arg2> at <arg3> place	Convener 	evt145arg01convener 	"per, org, gpe, sid"	ConvenedThing 	evt145arg02convenedthing 	org	Place 	evt145arg03place 	"loc, gpe, fac"									
LDC_evt_064	Government	government	Formation	formation	n/a	unspecified	The formation of a GPE	<arg1> was formed by <arg2> in <arg3> place	GPE	evt064arg01gpe	gpe	Founder	evt064arg02founder	"per, org, gpe, sid"	Place	evt064arg03place	"loc, gpe, fac"									
