ontology_id	full_type	full_type_ov	metatype
LDC_ent_145	VEH.MilitaryVehicle	veh.militaryvehicle	Entity
LDC_ent_146	VEH.MilitaryVehicle.FighterAircraft	veh.militaryvehicle.fighteraircraft	Entity
LDC_ent_147	VEH.MilitaryVehicle.MilitaryBoat	veh.militaryvehicle.militaryboat	Entity
LDC_ent_148	VEH.MilitaryVehicle.MilitaryTransportAircraft	veh.militaryvehicle.militarytransportaircraft	Entity
LDC_ent_149	VEH.MilitaryVehicle.Tank	veh.militaryvehicle.tank	Entity
LDC_ent_150	VEH.Rocket.Rocket	veh.rocket.rocket	Entity
LDC_ent_151	VEH.Watercraft	veh.watercraft	Entity
LDC_ent_152	VEH.Watercraft.Boat	veh.watercraft.boat	Entity
LDC_ent_153	VEH.Watercraft.Yacht	veh.watercraft.yacht	Entity
LDC_ent_154	VEH.WheeledVehicle	veh.wheeledvehicle	Entity
LDC_ent_155	VEH.WheeledVehicle.Bus	veh.wheeledvehicle.bus	Entity
LDC_ent_156	VEH.WheeledVehicle.Car	veh.wheeledvehicle.car	Entity
LDC_ent_157	VEH.WheeledVehicle.FireApparatus	veh.wheeledvehicle.fireapparatus	Entity
LDC_ent_158	VEH.WheeledVehicle.Train	veh.wheeledvehicle.train	Entity
LDC_ent_159	VEH.WheeledVehicle.Truck	veh.wheeledvehicle.truck	Entity
LDC_ent_160	WEA	wea	Entity
LDC_ent_161	WEA.Bomb	wea.bomb	Entity
LDC_ent_162	WEA.Bomb.Grenade	wea.bomb.grenade	Entity
LDC_ent_163	WEA.Bomb.MolotovCocktail	wea.bomb.molotovcocktail	Entity
LDC_ent_164	WEA.Bullets	wea.bullets	Entity
LDC_ent_165	WEA.Bullets.Ammunition	wea.bullets.ammunition	Entity
LDC_ent_166	WEA.Bullets.LiveRounds	wea.bullets.liverounds	Entity
LDC_ent_167	WEA.Bullets.RubberBullets	wea.bullets.rubberbullets	Entity
LDC_ent_168	WEA.Cannon.Cannon	wea.cannon.cannon	Entity
LDC_ent_169	WEA.Club	wea.club	Entity
LDC_ent_170	WEA.Club.Bat	wea.club.bat	Entity
LDC_ent_171	WEA.DaggerKnifeSword	wea.daggerknifesword	Entity
LDC_ent_172	WEA.DaggerKnifeSword.Hatchet	wea.daggerknifesword.hatchet	Entity
LDC_ent_173	WEA.Gas	wea.gas	Entity
LDC_ent_174	WEA.Gas.PoisonGas	wea.gas.poisongas	Entity
LDC_ent_175	WEA.Gas.TearGas	wea.gas.teargas	Entity
LDC_ent_176	WEA.GrenadeLauncher.GrenadeLauncher	wea.grenadelauncher.grenadelauncher	Entity
LDC_ent_177	WEA.Gun	wea.gun	Entity
LDC_ent_178	WEA.Gun.Artillery	wea.gun.artillery	Entity
LDC_ent_179	WEA.Gun.Firearm	wea.gun.firearm	Entity
LDC_ent_180	WEA.MissileSystem	wea.missilesystem	Entity
LDC_ent_181	WEA.MissileSystem.AirToAirMissile	wea.missilesystem.airtoairmissile	Entity
LDC_ent_182	WEA.MissileSystem.AntiAircraftMissle	wea.missilesystem.antiaircraftmissle	Entity
LDC_ent_183	WEA.MissileSystem.MissileLauncher	wea.missilesystem.missilelauncher	Entity
LDC_ent_184	WEA.MissileSystem.Missile	wea.missilesystem.missile	Entity
LDC_ent_185	WEA.MissileSystem.SurfaceToAirMissile	wea.missilesystem.surfacetoairmissile	Entity
LDC_ent_186	WEA.ThrownProjectile	wea.thrownprojectile	Entity
LDC_ent_187	WEA.ThrownProjectile.Rock	wea.thrownprojectile.rock	Entity
LDC_ent_188	MHI	mhi	Entity
LDC_ent_189	MHI.Disease.Disease	mhi.disease.disease	Entity
LDC_ent_190	MHI.SymptomPresentation.SymptomPresentation	mhi.symptompresentation.symptompresentation	Entity
LDC_ent_191	VEH.Aircraft.Drone	veh.aircraft.drone	Entity
LDC_ent_192	INF.TopicFIller.TopicFIller	inf.topicfiller.topicfiller	Entity
LDC_evt_001	ArtifactExistence.DamageDestroy	artifactexistence.damagedestroy	Event
LDC_evt_002	ArtifactExistence.DamageDestroy.Damage	artifactexistence.damagedestroy.damage	Event
LDC_evt_003	ArtifactExistence.DamageDestroy.Destroy	artifactexistence.damagedestroy.destroy	Event
LDC_evt_004	Conflict.Attack	conflict.attack	Event
LDC_evt_005	Conflict.Attack.AirstrikeMissileStrike	conflict.attack.airstrikemissilestrike	Event
LDC_evt_006	Conflict.Attack.BiologicalChemicalPoisonAttack	conflict.attack.biologicalchemicalpoisonattack	Event
LDC_evt_007	Conflict.Attack.Bombing	conflict.attack.bombing	Event
LDC_evt_008	Conflict.Attack.FirearmAttack	conflict.attack.firearmattack	Event
LDC_evt_009	Conflict.Attack.Hanging	conflict.attack.hanging	Event
LDC_evt_010	Conflict.Attack.Invade	conflict.attack.invade	Event
LDC_evt_011	Conflict.Attack.SelfDirectedBattle	conflict.attack.selfdirectedbattle	Event
LDC_evt_012	Conflict.Attack.SetFire	conflict.attack.setfire	Event
LDC_evt_013	Conflict.Attack.Stabbing	conflict.attack.stabbing	Event
LDC_evt_014	Conflict.Attack.StealRobHijack	conflict.attack.stealrobhijack	Event
LDC_evt_015	Conflict.Attack.Strangling	conflict.attack.strangling	Event
LDC_evt_016	Conflict.Demonstrate	conflict.demonstrate	Event
LDC_evt_017	Conflict.Demonstrate.MarchProtestPoliticalGathering	conflict.demonstrate.marchprotestpoliticalgathering	Event
LDC_evt_018	Conflict.Yield	conflict.yield	Event
LDC_evt_019	Conflict.Yield.Retreat	conflict.yield.retreat	Event
LDC_evt_020	Conflict.Yield.Surrender	conflict.yield.surrender	Event
LDC_evt_021	Contact.Collaborate	contact.collaborate	Event
LDC_evt_022	Contact.Collaborate.Correspondence	contact.collaborate.correspondence	Event
LDC_evt_023	Contact.Collaborate.Meet	contact.collaborate.meet	Event
LDC_evt_024	Contact.CommandOrder	contact.commandorder	Event
LDC_evt_025	Contact.CommandOrder.Broadcast	contact.commandorder.broadcast	Event
LDC_evt_026	Contact.CommandOrder.Correspondence	contact.commandorder.correspondence	Event
LDC_evt_027	Contact.CommandOrder.Meet	contact.commandorder.meet	Event
LDC_evt_028	Contact.CommitmentPromiseExpressIntent	contact.commitmentpromiseexpressintent	Event
LDC_evt_029	Contact.CommitmentPromiseExpressIntent.Broadcast	contact.commitmentpromiseexpressintent.broadcast	Event
LDC_evt_030	Contact.CommitmentPromiseExpressIntent.Correspondence	contact.commitmentpromiseexpressintent.correspondence	Event
LDC_evt_031	Contact.CommitmentPromiseExpressIntent.Meet	contact.commitmentpromiseexpressintent.meet	Event
LDC_evt_032	Contact.Discussion	contact.discussion	Event
LDC_evt_033	Contact.Discussion.Correspondence	contact.discussion.correspondence	Event
LDC_evt_034	Contact.Discussion.Meet	contact.discussion.meet	Event
LDC_evt_035	Contact.FuneralVigil	contact.funeralvigil	Event
LDC_evt_036	Contact.FuneralVigil.Meet	contact.funeralvigil.meet	Event
LDC_evt_037	Contact.MediaStatement	contact.mediastatement	Event
LDC_evt_038	Contact.MediaStatement.Broadcast	contact.mediastatement.broadcast	Event
LDC_evt_039	Contact.Negotiate	contact.negotiate	Event
LDC_evt_040	Contact.Negotiate.Correspondence	contact.negotiate.correspondence	Event
LDC_evt_041	Contact.Negotiate.Meet	contact.negotiate.meet	Event
LDC_evt_042	Contact.Prevarication	contact.prevarication	Event
LDC_evt_043	Contact.Prevarication.Broadcast	contact.prevarication.broadcast	Event
LDC_evt_044	Contact.Prevarication.Correspondence	contact.prevarication.correspondence	Event
LDC_evt_045	Contact.Prevarication.Meet	contact.prevarication.meet	Event
LDC_evt_046	Contact.PublicStatementInPerson	contact.publicstatementinperson	Event
LDC_evt_047	Contact.PublicStatementInPerson.Broadcast	contact.publicstatementinperson.broadcast	Event
LDC_evt_048	Contact.RequestAdvise	contact.requestadvise	Event
LDC_evt_049	Contact.RequestAdvise.Broadcast	contact.requestadvise.broadcast	Event
LDC_evt_050	Contact.RequestAdvise.Correspondence	contact.requestadvise.correspondence	Event
LDC_evt_051	Contact.RequestAdvise.Meet	contact.requestadvise.meet	Event
LDC_evt_052	Contact.ThreatenCoerce	contact.threatencoerce	Event
LDC_evt_053	Contact.ThreatenCoerce.Broadcast	contact.threatencoerce.broadcast	Event
LDC_evt_054	Contact.ThreatenCoerce.Correspondence	contact.threatencoerce.correspondence	Event
LDC_evt_055	Contact.ThreatenCoerce.Meet	contact.threatencoerce.meet	Event
LDC_evt_057	Disaster.AccidentCrash.AccidentCrash	disaster.accidentcrash.accidentcrash	Event
LDC_evt_059	Disaster.FireExplosion.FireExplosion	disaster.fireexplosion.fireexplosion	Event
LDC_evt_060	Government.Agreements	government.agreements	Event
LDC_evt_061	Government.Agreements.AcceptAgreementContractCeasefire	government.agreements.acceptagreementcontractceasefire	Event
LDC_evt_062	Government.Agreements.RejectNullifyAgreementContractCeasefire	government.agreements.rejectnullifyagreementcontractceasefire	Event
LDC_evt_063	Government.Agreements.ViolateAgreement	government.agreements.violateagreement	Event
LDC_evt_064	Government.Formation	government.formation	Event
LDC_evt_065	Government.Formation.MergeGPE	government.formation.mergegpe	Event
LDC_evt_066	Government.Formation.StartGPE	government.formation.startgpe	Event
LDC_evt_068	Government.Legislate.Legislate	government.legislate.legislate	Event
LDC_evt_070	Government.Spy.Spy	government.spy.spy	Event
LDC_evt_071	Government.Vote	government.vote	Event
LDC_evt_072	Government.Vote.CastVote	government.vote.castvote	Event
LDC_evt_073	Government.Vote.ViolationsPreventVote	government.vote.violationspreventvote	Event
LDC_evt_074	Inspection.SensoryObserve	inspection.sensoryobserve	Event
LDC_evt_075	Inspection.SensoryObserve.InspectPeopleOrganization	inspection.sensoryobserve.inspectpeopleorganization	Event
LDC_evt_076	Inspection.SensoryObserve.MonitorElection	inspection.sensoryobserve.monitorelection	Event
LDC_evt_077	Inspection.SensoryObserve.PhysicalInvestigateInspect	inspection.sensoryobserve.physicalinvestigateinspect	Event
LDC_evt_079	Justice.ArrestJailDetain.ArrestJailDetain	justice.arrestjaildetain.arrestjaildetain	Event
LDC_evt_080	Justice.InitiateJudicialProcess	justice.initiatejudicialprocess	Event
LDC_evt_081	Justice.InitiateJudicialProcess.ChargeIndict	justice.initiatejudicialprocess.chargeindict	Event
LDC_evt_082	Justice.InitiateJudicialProcess.TrialHearing	justice.initiatejudicialprocess.trialhearing	Event
LDC_evt_083	Justice.Investigate	justice.investigate	Event
LDC_evt_084	Justice.Investigate.InvestigateCrime	justice.investigate.investigatecrime	Event
LDC_evt_085	Justice.JudicialConsequences	justice.judicialconsequences	Event
LDC_evt_086	Justice.JudicialConsequences.Convict	justice.judicialconsequences.convict	Event
LDC_evt_087	Justice.JudicialConsequences.Execute	justice.judicialconsequences.execute	Event
LDC_evt_088	Justice.JudicialConsequences.Extradite	justice.judicialconsequences.extradite	Event
LDC_evt_089	Life.Die	life.die	Event
LDC_evt_090	Life.Die.DeathCausedByViolentEvents	life.die.deathcausedbyviolentevents	Event
LDC_evt_091	Life.Die.NonviolentDeath	life.die.nonviolentdeath	Event
LDC_evt_092	Life.Injure	life.injure	Event
LDC_evt_093	Life.Injure.IllnessDegradationHungerThirst	life.injure.illnessdegradationhungerthirst	Event
LDC_evt_094	Life.Injure.IllnessDegradationPhysical	life.injure.illnessdegradationphysical	Event
LDC_evt_095	Life.Injure.InjuryCausedByViolentEvents	life.injure.injurycausedbyviolentevents	Event
LDC_evt_096	Manufacture.Artifact	manufacture.artifact	Event
LDC_evt_097	Manufacture.Artifact.Build	manufacture.artifact.build	Event
LDC_evt_098	Manufacture.Artifact.CreateIntellectualProperty	manufacture.artifact.createintellectualproperty	Event
LDC_evt_099	Manufacture.Artifact.CreateManufacture	manufacture.artifact.createmanufacture	Event
LDC_evt_100	Movement.TransportArtifact	movement.transportartifact	Event
LDC_evt_101	Movement.TransportArtifact.BringCarryUnload	movement.transportartifact.bringcarryunload	Event
LDC_evt_102	Movement.TransportArtifact.DisperseSeparate	movement.transportartifact.disperseseparate	Event
LDC_evt_103	Movement.TransportArtifact.Fall	movement.transportartifact.fall	Event
LDC_evt_104	Movement.TransportArtifact.GrantEntry	movement.transportartifact.grantentry	Event
LDC_evt_105	Movement.TransportArtifact.Hide	movement.transportartifact.hide	Event
LDC_evt_106	Movement.TransportArtifact.NonviolentThrowLaunch	movement.transportartifact.nonviolentthrowlaunch	Event
LDC_evt_107	Movement.TransportArtifact.PreventEntry	movement.transportartifact.prevententry	Event
LDC_evt_108	Movement.TransportArtifact.PreventExit	movement.transportartifact.preventexit	Event
LDC_evt_109	Movement.TransportArtifact.ReceiveImport	movement.transportartifact.receiveimport	Event
LDC_evt_110	Movement.TransportArtifact.SendSupplyExport	movement.transportartifact.sendsupplyexport	Event
LDC_evt_111	Movement.TransportArtifact.SmuggleExtract	movement.transportartifact.smuggleextract	Event
LDC_evt_112	Movement.TransportPerson	movement.transportperson	Event
LDC_evt_113	Movement.TransportPerson.BringCarryUnload	movement.transportperson.bringcarryunload	Event
LDC_evt_114	Movement.TransportPerson.DisperseSeparate	movement.transportperson.disperseseparate	Event
LDC_evt_115	Movement.TransportPerson.EvacuationRescue	movement.transportperson.evacuationrescue	Event
LDC_evt_116	Movement.TransportPerson.Fall	movement.transportperson.fall	Event
LDC_evt_117	Movement.TransportPerson.GrantEntryAsylum	movement.transportperson.grantentryasylum	Event
LDC_evt_118	Movement.TransportPerson.Hide	movement.transportperson.hide	Event
LDC_evt_119	Movement.TransportPerson.PreventEntry	movement.transportperson.prevententry	Event
LDC_evt_120	Movement.TransportPerson.PreventExit	movement.transportperson.preventexit	Event
LDC_evt_121	Movement.TransportPerson.SelfMotion	movement.transportperson.selfmotion	Event
LDC_evt_122	Movement.TransportPerson.SmuggleExtract	movement.transportperson.smuggleextract	Event
LDC_evt_123	Personnel.Elect	personnel.elect	Event
LDC_evt_124	Personnel.Elect.WinElection	personnel.elect.winelection	Event
LDC_evt_125	Personnel.EndPosition	personnel.endposition	Event
LDC_evt_126	Personnel.EndPosition.FiringLayoff	personnel.endposition.firinglayoff	Event
LDC_evt_127	Personnel.EndPosition.QuitRetire	personnel.endposition.quitretire	Event
LDC_evt_128	Personnel.StartPosition	personnel.startposition	Event
LDC_evt_129	Personnel.StartPosition.Hiring	personnel.startposition.hiring	Event
LDC_evt_130	Transaction.Transaction	transaction.transaction	Event
LDC_evt_131	Transaction.Transaction.EmbargoSanction	transaction.transaction.embargosanction	Event
LDC_evt_132	Transaction.Transaction.GiftGrantProvideAid	transaction.transaction.giftgrantprovideaid	Event
LDC_evt_133	Transaction.TransferMoney	transaction.transfermoney	Event
LDC_evt_134	Transaction.TransferMoney.BorrowLend	transaction.transfermoney.borrowlend	Event
LDC_evt_135	Transaction.TransferMoney.EmbargoSanction	transaction.transfermoney.embargosanction	Event
LDC_evt_136	Transaction.TransferMoney.GiftGrantProvideAid	transaction.transfermoney.giftgrantprovideaid	Event
LDC_evt_137	Transaction.TransferMoney.PayForService	transaction.transfermoney.payforservice	Event
LDC_evt_138	Transaction.TransferMoney.Purchase	transaction.transfermoney.purchase	Event
LDC_evt_139	Transaction.TransferOwnership	transaction.transferownership	Event
LDC_evt_140	Transaction.TransferOwnership.BorrowLend	transaction.transferownership.borrowlend	Event
LDC_evt_141	Transaction.TransferOwnership.EmbargoSanction	transaction.transferownership.embargosanction	Event
LDC_evt_142	Transaction.TransferOwnership.GiftGrantProvideAid	transaction.transferownership.giftgrantprovideaid	Event
LDC_evt_143	Transaction.TransferOwnership.Purchase	transaction.transferownership.purchase	Event
LDC_evt_144	Transaction.Transaction.TransferControl	transaction.transaction.transfercontrol	Event
LDC_evt_145	Government.Convene.Convene	government.convene.convene	Event
LDC_evt_146	Movement.TransportArtifact.LossOfControl	movement.transportartifact.lossofcontrol	Event
LDC_evt_147	Medical.Intervention.Intervention	medical.intervention.intervention	Event
LDC_evt_148	Disaster.DiseaseOutbreak.DiseaseOutbreak	disaster.diseaseoutbreak.diseaseoutbreak	Event
LDC_evt_149	ArtifactExistence.Shortage.Shortage	artifactexistence.shortage.shortage	Event
LDC_evt_150	Life.Injure.IllnessDegredationSickness	life.injure.illnessdegredationsickness	Event
LDC_evt_151	Conflict.Coup.Coup	conflict.coup.coup	Event
LDC_evt_152	ArtifactExistence.ArtifactFailure.MechanicalFailure	artifactexistence.artifactfailure.mechanicalfailure	Event
LDC_evt_153	Inspection.TargetAimAt.TargetAimAt	inspection.targetaimat.targetaimat	Event
LDC_evt_154	GenericCrime.GenericCrime.GenericCrime	genericcrime.genericcrime.genericcrime	Event
LDC_rel_002	Evaluate.Deliberateness.Accidental	evaluate.deliberateness.accidental	Relation
LDC_rel_003	Evaluate.Deliberateness.Deliberate	evaluate.deliberateness.deliberate	Relation
LDC_rel_005	Evaluate.Legitimacy.Illegitimate	evaluate.legitimacy.illegitimate	Relation
LDC_rel_006	Evaluate.Legitimacy.Legitimate	evaluate.legitimacy.legitimate	Relation
LDC_rel_008	Evaluate.Sentiment.Negative	evaluate.sentiment.negative	Relation
LDC_rel_009	Evaluate.Sentiment.Positive	evaluate.sentiment.positive	Relation
LDC_rel_010	GeneralAffiliation.ArtifactPoliticalOrganizationReligiousAffiliation	generalaffiliation.artifactpoliticalorganizationreligiousaffiliation	Relation
LDC_rel_011	GeneralAffiliation.ArtifactPoliticalOrganizationReligiousAffiliation.ControlTerritory	generalaffiliation.artifactpoliticalorganizationreligiousaffiliation.controlterritory	Relation
LDC_rel_012	GeneralAffiliation.ArtifactPoliticalOrganizationReligiousAffiliation.NationalityCitizen	generalaffiliation.artifactpoliticalorganizationreligiousaffiliation.nationalitycitizen	Relation
LDC_rel_013	GeneralAffiliation.ArtifactPoliticalOrganizationReligiousAffiliation.OwnershipPossession	generalaffiliation.artifactpoliticalorganizationreligiousaffiliation.ownershippossession	Relation
LDC_rel_014	GeneralAffiliation.MemberOriginReligionEthnicity	generalaffiliation.memberoriginreligionethnicity	Relation
LDC_rel_015	GeneralAffiliation.MemberOriginReligionEthnicity.Ethnicity	generalaffiliation.memberoriginreligionethnicity.ethnicity	Relation
LDC_rel_016	GeneralAffiliation.MemberOriginReligionEthnicity.NationalityCitizen	generalaffiliation.memberoriginreligionethnicity.nationalitycitizen	Relation
LDC_rel_017	GeneralAffiliation.OrganizationPoliticalReligiousAffiliation	generalaffiliation.organizationpoliticalreligiousaffiliation	Relation
LDC_rel_018	GeneralAffiliation.OrganizationPoliticalReligiousAffiliation.NationalityCitizen	generalaffiliation.organizationpoliticalreligiousaffiliation.nationalitycitizen	Relation
