AnnotIndexID	Type	Output Value for Type	Subtype	Output Value for Subtype	Sub-subtype	Output Value for Sub-subtype	Definition
LDC_ent_110	PER	per	MilitaryPersonnel	militarypersonnel	MilitaryOfficer	militaryofficer	Any person in the armed services who holds a position of authority or command
LDC_ent_111	PER	per	Police	police	n/a	unspecified	"A policeman, an officer of the law"
LDC_ent_112	PER	per	Police	police	ChiefOfPolice	chiefofpolice	The Chief of Police
LDC_ent_113	PER	per	Politician	politician	n/a	unspecified	A leader engaged in civil administration
LDC_ent_114	PER	per	Politician	politician	Governor	governor	The head of a state or provinvial government
LDC_ent_115	PER	per	Politician	politician	HeadOfGovernment	headofgovernment	"A head of government, a person who rules or commands"
LDC_ent_116	PER	per	Politician	politician	Mayor	mayor	The head of a city government
LDC_ent_117	PER	per	ProfessionalPosition	professionalposition	n/a	unspecified	A person in a professional position
LDC_ent_118	PER	per	ProfessionalPosition	professionalposition	Ambassador	ambassador	"An ambassador, diplomat of the highest rank; accredited as representative from one country to another"
LDC_ent_119	PER	per	ProfessionalPosition	professionalposition	Firefighter	firefighter	A fire fighter
LDC_ent_120	PER	per	ProfessionalPosition	professionalposition	Journalist	journalist	"A journalist, a writer for newspapers and magazines"
LDC_ent_121	PER	per	ProfessionalPosition	professionalposition	Minister	minister	"A government minister, a person appointed to a high office in the government"
LDC_ent_122	PER	per	ProfessionalPosition	professionalposition	MedicalPersonnel	medicalpersonnel	"Any medical professional, including doctors, nurses, medics, paramedics, etc."
LDC_ent_123	PER	per	ProfessionalPosition	professionalposition	Scientist	scientist	A person with advanced knowledge of one or more sciences
LDC_ent_124	PER	per	ProfessionalPosition	professionalposition	Spokesperson	spokesperson	A spokesperson
LDC_ent_125	PER	per	ProfessionalPosition	professionalposition	Spy	spy	"A spy, (military) a secret agent hired by a state to obtain information about its enemies or by a business to obtain industrial secrets from competitors"
LDC_ent_126	PER	per	Protester	protester	n/a	unspecified	A protester
LDC_ent_127	PER	per	Protester	protester	ProtestLeader	protestleader	The leader of a protest
LDC_ent_128	RES	res	n/a	unspecified	n/a	unspecified	The results of a voting event.  This will cover general results as well as counted results.
LDC_ent_129	RES	res	NumberPercentageVotes	numberpercentagevotes	NumberPercentageVotes	numberpercentagevotes	Results of a voting event expressed as a number or a percentage of the vote
LDC_ent_130	RES	res	TurnoutVoters	turnoutvoters	TurnoutVoters	turnoutvoters	Results of a voting event expressed as voter turnout
LDC_ent_131	SID	sid	n/a	unspecified	n/a	unspecified	"The different sides of a conflict, such as  philosophical, cultural, ideological, religious, political, guiding philosophical movement or group orientation.  This will encompass sides of the battle/conflict, sports fans when salient, and other such affiliations, in addition to religions, political parties, and other philosophies."
LDC_ent_132	SID	sid	Cultural	cultural	Cultural	cultural	Cultural side
LDC_ent_133	SID	sid	Ideological	ideological	Ideological	ideological	Ideological side
LDC_ent_134	SID	sid	Political	political	Opposition	opposition	Side of the opposition
LDC_ent_135	SID	sid	Religious	religious	Religious	religious	Religious side
LDC_ent_136	SID	sid	Sports	sports	Sports	sports	Side of a sports team
LDC_ent_137	TTL	ttl	n/a	unspecified	n/a	unspecified	A person's title or job role
LDC_ent_138	VAL	val	n/a	unspecified	n/a	unspecified	"A non-numerical value, an informational property such as color or make or URL"
LDC_ent_139	VAL	val	Number	number	Number	number	"The the smallest string of words that includes both the number and the indicator (type of number -- %, percent, miles, kilometers, etc.) and also any additional quantifiers that might be present such as 'nearly', 'almost' and 'over'. "
LDC_ent_140	VEH	veh	n/a	unspecified	n/a	unspecified	"A physical device primarily designed to move an object from one location to another, by (for example) carrying, flying, pulling, or pushing the transported object. Vehicle entities may or may not have their own power source."
LDC_ent_141	VEH	veh	Aircraft	aircraft	n/a	unspecified	"Aircraft, a vehicle that can fly"
LDC_ent_142	VEH	veh	Aircraft	aircraft	Airplane	airplane	An airplane
LDC_ent_143	VEH	veh	Aircraft	aircraft	CargoAircraft	cargoaircraft	A cargo plane
LDC_ent_191	VEH	veh	Aircraft	aircraft	Drone	drone	"Drone, an unmanned aircraft guided by remote control or onboard computers"
LDC_ent_144	VEH	veh	Aircraft	aircraft	Helicopter	helicopter	A helicopter
LDC_ent_145	VEH	veh	MilitaryVehicle	militaryvehicle	n/a	unspecified	"Military vehicle, non-aircraft"
LDC_ent_146	VEH	veh	MilitaryVehicle	militaryvehicle	FighterAircraft	fighteraircraft	Military fighter aircraft
LDC_ent_147	VEH	veh	MilitaryVehicle	militaryvehicle	MilitaryBoat	militaryboat	Military water craft
LDC_ent_148	VEH	veh	MilitaryVehicle	militaryvehicle	MilitaryTransportAircraft	militarytransportaircraft	Military transport airplane
LDC_ent_149	VEH	veh	MilitaryVehicle	militaryvehicle	Tank	tank	"Tank, armoured fighting vehicle"
LDC_ent_150	VEH	veh	Rocket	rocket	Rocket	rocket	"A rocket, any vehicle self-propelled by a rocket engine"
LDC_ent_151	VEH	veh	Watercraft	watercraft	n/a	unspecified	"A water craft, a vehicle for use in the water"
LDC_ent_152	VEH	veh	Watercraft	watercraft	Boat	boat	A boat
LDC_ent_153	VEH	veh	Watercraft	watercraft	Yacht	yacht	A yacht
LDC_ent_154	VEH	veh	WheeledVehicle	wheeledvehicle	n/a	unspecified	"A wheeled vehicle, a vehicle that moves on wheels and usually has a container for transporting things or people"
LDC_ent_155	VEH	veh	WheeledVehicle	wheeledvehicle	Bus	bus	"A bus, motorbus, or autobus"
LDC_ent_156	VEH	veh	WheeledVehicle	wheeledvehicle	Car	car	"A car, a wheeled motor vehicle used for transportation"
LDC_ent_157	VEH	veh	WheeledVehicle	wheeledvehicle	FireApparatus	fireapparatus	"Fire truck, fire engine, vehicle used for fire fighting"
LDC_ent_158	VEH	veh	WheeledVehicle	wheeledvehicle	Train	train	"A train, for rail transport"
LDC_ent_159	VEH	veh	WheeledVehicle	wheeledvehicle	Truck	truck	"A truck or lorry, a motor vehicle designed to transport cargo"
LDC_ent_160	WEA	wea	n/a	unspecified	n/a	unspecified	A physical device that is primarily used as an instrument for physically harming or destroying entities
LDC_ent_161	WEA	wea	Bomb	bomb	n/a	unspecified	"A bomb, an explosive weapon that uses the exothermic reaction of an explosive material to provide an extremely sudden and violent release of energy"
LDC_ent_162	WEA	wea	Bomb	bomb	Grenade	grenade	A grenade
LDC_ent_163	WEA	wea	Bomb	bomb	MolotovCocktail	molotovcocktail	A molotov cocktail
LDC_ent_164	WEA	wea	Bullets	bullets	n/a	unspecified	Bullets
LDC_ent_165	WEA	wea	Bullets	bullets	Ammunition	ammunition	Bullets which are ammunition
LDC_ent_166	WEA	wea	Bullets	bullets	LiveRounds	liverounds	Bullets which are live rounds
LDC_ent_167	WEA	wea	Bullets	bullets	RubberBullets	rubberbullets	Rubber bullets
LDC_ent_168	WEA	wea	Cannon	cannon	Cannon	cannon	Cannon
LDC_ent_169	WEA	wea	Club	club	n/a	unspecified	A club-type object used as a weapon
LDC_ent_170	WEA	wea	Club	club	Bat	bat	A bat
LDC_ent_171	WEA	wea	DaggerKnifeSword	daggerknifesword	n/a	unspecified	"A dagger, knife, or sword used as a weapon"
LDC_ent_172	WEA	wea	DaggerKnifeSword	daggerknifesword	Hatchet	hatchet	A hatchet
LDC_ent_173	WEA	wea	Gas	gas	n/a	unspecified	Gas used as a weapon
LDC_ent_174	WEA	wea	Gas	gas	PoisonGas	poisongas	Poison gas
LDC_ent_175	WEA	wea	Gas	gas	TearGas	teargas	Tear gas
LDC_ent_176	WEA	wea	GrenadeLauncher	grenadelauncher	GrenadeLauncher	grenadelauncher	A grenade launcher
LDC_ent_177	WEA	wea	Gun	gun	n/a	unspecified	A weapon that discharges a missile at high velocity (especially from a metal tube or barrel)
LDC_ent_178	WEA	wea	Gun	gun	Artillery	artillery	"Artillery, heavy military weapons built to fire munitions far beyond the range and power of infantry's small arms"
LDC_ent_179	WEA	wea	Gun	gun	Firearm	firearm	"A firearm, a portable gun"
LDC_ent_180	WEA	wea	MissileSystem	missilesystem	n/a	unspecified	"A missile launching system, including all components"
LDC_ent_181	WEA	wea	MissileSystem	missilesystem	AirToAirMissile	airtoairmissile	An air to air missile
LDC_ent_182	WEA	wea	MissileSystem	missilesystem	AntiAircraftMissle	antiaircraftmissle	An anti-aircraft missile
LDC_ent_183	WEA	wea	MissileSystem	missilesystem	MissileLauncher	missilelauncher	A missile launcher
LDC_ent_184	WEA	wea	MissileSystem	missilesystem	Missile	missile	A rocket carrying a warhead of conventional or nuclear explosives; may be ballistic or directed by remote control
LDC_ent_185	WEA	wea	MissileSystem	missilesystem	SurfaceToAirMissile	surfacetoairmissile	A surface to air missile
LDC_ent_186	WEA	wea	ThrownProjectile	thrownprojectile	n/a	unspecified	A thrown projectile used as a weapon
LDC_ent_187	WEA	wea	ThrownProjectile	thrownprojectile	Rock	rock	A rock used as a weapon
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
