type	docid	doceid	spans
Conflict.Attack.Bombing	IC001VAPK	IC001VBFN	(2453,0)-(2458,0)
Conflict.Attack.Bombing	IC001VAPK	IC001VBFN	(2872,0)-(2874,0)
Conflict.Attack.Bombing	IC001VAPK	IC001VBFN	(3044,0)-(3064,0)
Conflict.Attack.Bombing	IC001VAPK	IC001VBFN	(318,0)-(322,0)
Conflict.Attack.Bombing	IC001VAPK	IC001VBFN	(694,0)-(699,0)
Conflict.Attack.Bombing	IC001VCIQ	IC001VCIS	(89.868,0)-(96.093,0)
Conflict.Attack.Bombing	IC001VGO2	IC001VGWW	(144,0)-(156,0)
Conflict.Attack.Bombing	IC001VGO2	IC001VGWW	(1950,0)-(1955,0)
Conflict.Attack.Bombing	IC001VGO2	IC001VGWW	(2055,0)-(2062,0)
Conflict.Attack.Bombing	IC001VGO2	IC001VGWW	(2360,0)-(2365,0)
Conflict.Attack.Bombing	IC001VGO2	IC001VGWW	(2505,0)-(2510,0)
Conflict.Attack.Bombing	IC001VGO2	IC001VGWW	(305,0)-(311,0)
Conflict.Attack.Bombing	IC001VGO2	IC001VGWW	(413,0)-(418,0)
Conflict.Attack.Bombing	IC001VGO2	IC001VGWW	(539,0)-(547,0)
Conflict.Attack.Bombing	IC001VGO2	IC001VGWW	(553,0)-(565,0)
Conflict.Attack.FirearmAttack	IC001V9U9	IC001VBJM	(4632,0)-(4635,0)
Conflict.Attack.FirearmAttack	KC003A6NA	KC003ADT2	(2439,0)-(2444,0)
Conflict.Attack.FirearmAttack	KC003A6NA	KC003ADT2	(2591,0)-(2594,0)
Conflict.Attack.FirearmAttack	KC003A6NA	KC003ADT2	(3295,0)-(3298,0)
Conflict.Attack.FirearmAttack	KC003A6NA	KC003ADT2	(3354,0)-(3357,0)
Conflict.Attack.FirearmAttack	KC003A6NA	KC003ADT2	(3418,0)-(3423,0)
Conflict.Attack.FirearmAttack	KC003A6NA	KC003ADT2	(3483,0)-(3489,0)
Conflict.Demonstrate.MarchProtestPoliticalGathering	IC001V9U9	IC001VBJM	(1851,0)-(1858,0)
Conflict.Demonstrate.MarchProtestPoliticalGathering	IC001VAPK	IC001VBFN	(1040,0)-(1047,0)
Conflict.Demonstrate.MarchProtestPoliticalGathering	IC001VGO2	IC001VGWW	(850,0)-(857,0)
Contact.Collaborate	IC001V9U9	IC001VBJM	(3465,0)-(3476,0)
Contact.Collaborate	IC001V9U9	IC001VBJM	(391,0)-(399,0)
Contact.MediaStatement	IC001V9U9	IC001VBJM	(2146,0)-(2149,0)
Contact.MediaStatement	IC001V9U9	IC001VBJM	(2992,0)-(2998,0)
Contact.MediaStatement	IC001V9U9	IC001VBJM	(3865,0)-(3868,0)
Contact.MediaStatement	IC001V9U9	IC001VBJM	(4425,0)-(4428,0)
Contact.MediaStatement	KC003A59I	KC003A59K	(1398.099,0)-(1418.792,0)
Contact.MediaStatement	KC003A59I	KC003A59K	(1453.302,0)-(1458.478,0)
Contact.MediaStatement	KC003A6NA	KC003ADT2	(3973,0)-(3983,0)
Contact.MediaStatement	KC003A6NA	KC003ADT2	(4033,0)-(4036,0)
Contact.PublicStatementInPerson	IC001V8WF	IC001VBI8	(1717,0)-(1725,0)
Contact.PublicStatementInPerson	IC001V8WF	IC001VBI8	(218,0)-(225,0)
Contact.PublicStatementInPerson	IC001V8WF	IC001VBI8	(447,0)-(453,0)
Contact.PublicStatementInPerson	IC001V8WF	IC001VBI8	(568,0)-(573,0)
Contact.PublicStatementInPerson.Broadcast	KC003A59I	KC003A59K	(1398.099,0)-(1418.792,0)
Contact.PublicStatementInPerson.Broadcast	KC003A59I	KC003A59K	(1453.302,0)-(1458.478,0)
Contact.ThreatenCoerce	JC002YD6G	JC002YD6I	(461,0)-(469,0)
Contact.ThreatenCoerce	JC002YD6G	JC002YD6I	(541,0)-(547,0)
Contact.ThreatenCoerce	JC002YD6G	JC002YD6I	(677,0)-(683,0)
Contact.ThreatenCoerce	JC002YF02	JC002YF53	(4317,0)-(4326,0)
Disaster.AccidentCrash.AccidentCrash	IC001V8WF	IC001VBI8	(1998,0)-(2004,0)
Disaster.AccidentCrash.AccidentCrash	IC001V8WF	IC001VBI8	(2045,0)-(2052,0)
Disaster.AccidentCrash.AccidentCrash	IC001V9U9	IC001VBJM	(1448,0)-(1454,0)
Disaster.AccidentCrash.AccidentCrash	IC001V9U9	IC001VBJM	(2657,0)-(2664,0)
Disaster.DiseaseOutbreak.DiseaseOutbreak	JC002YC48	JC002YEMH	(11,0)-(17,0)
Disaster.DiseaseOutbreak.DiseaseOutbreak	JC002YC48	JC002YEMH	(243,0)-(263,0)
Disaster.DiseaseOutbreak.DiseaseOutbreak	JC002YC48	JC002YEMH	(51,0)-(66,0)
Disaster.DiseaseOutbreak.DiseaseOutbreak	JC002YC48	JC002YEMH	(624,0)-(632,0)
Disaster.DiseaseOutbreak.DiseaseOutbreak	JC002YF02	JC002YF53	(2615,0)-(2618,0)
Disaster.DiseaseOutbreak.DiseaseOutbreak	JC002YF02	JC002YF53	(2714,0)-(2723,0)
Disaster.DiseaseOutbreak.DiseaseOutbreak	JC002YF02	JC002YF53	(2819,0)-(2831,0)
Disaster.DiseaseOutbreak.DiseaseOutbreak	JC002YF02	JC002YF53	(4535,0)-(4549,0)
Disaster.FireExplosion.FireExplosion	IC001V8WF	IC001VBI8	(180,0)-(187,0)
Disaster.FireExplosion.FireExplosion	IC001V8WF	IC001VBI8	(2115,0)-(2120,0)
Disaster.FireExplosion.FireExplosion	IC001V8WF	IC001VBI8	(536,0)-(543,0)
Disaster.FireExplosion.FireExplosion	IC001V9U9	IC001VBJM	(2578,0)-(2586,0)
Disaster.FireExplosion.FireExplosion	IC001V9U9	IC001VBJM	(2724,0)-(2731,0)
Disaster.FireExplosion.FireExplosion	IC001V9U9	IC001VBJM	(2745,0)-(2748,0)
Disaster.FireExplosion.FireExplosion	IC001V9U9	IC001VBJM	(2884,0)-(2892,0)
Disaster.FireExplosion.FireExplosion	IC001V9U9	IC001VBJM	(2918,0)-(2919,0)
Disaster.FireExplosion.FireExplosion	IC001V9U9	IC001VBJM	(3093,0)-(3100,0)
Disaster.FireExplosion.FireExplosion	IC001V9U9	IC001VBJM	(3123,0)-(3124,0)
Disaster.FireExplosion.FireExplosion	IC001V9U9	IC001VBJM	(3206,0)-(3210,0)
Disaster.FireExplosion.FireExplosion	IC001VGO2	IC001VGWW	(1378,0)-(1385,0)
Disaster.FireExplosion.FireExplosion	IC001VGO2	IC001VGWW	(1518,0)-(1525,0)
Disaster.FireExplosion.FireExplosion	KC003A6NA	KC003ADT2	(2634,0)-(2642,0)
Disaster.FireExplosion.FireExplosion	KC003A6NA	KC003ADT2	(2888,0)-(2894,0)
FAC.Building	KC003A6NA	KC003ADT2	(2449,0)-(2456,0)
FAC.Building	KC003A6NA	KC003ADT2	(2533,0)-(2567,0)
FAC.Building	KC003A6NA	KC003ADT2	(2605,0)-(2609,0)
FAC.Building.ApartmentBuilding	IC001V8WF	IC001VBI8	(2006,0)-(2032,0)
FAC.Building.ApartmentBuilding	IC001V9U9	IC001VBJM	(1461,0)-(1551,0)
FAC.Building.ApartmentBuilding	IC001V9U9	IC001VBJM	(2459,0)-(2484,0)
FAC.Building.ApartmentBuilding	IC001V9U9	IC001VBJM	(2671,0)-(2680,0)
FAC.Building.ApartmentBuilding	IC001V9U9	IC001VBJM	(2753,0)-(2764,0)
FAC.Building.ApartmentBuilding	IC001V9U9	IC001VBJM	(2832,0)-(2854,0)
FAC.Building.ApartmentBuilding	IC001V9U9	IC001VBJM	(2857,0)-(2861,0)
FAC.Building.ApartmentBuilding	IC001V9U9	IC001VBJM	(2935,0)-(2946,0)
FAC.Building.ApartmentBuilding	IC001V9U9	IC001VBJM	(318,0)-(339,0)
FAC.Building.ApartmentBuilding	IC001VFH8	IC001VFHC_51	(5,20)-(329,232)
FAC.Building.ApartmentBuilding	IC001VGO2	IC001VGWW	(1486,0)-(1506,0)
FAC.Building.ApartmentBuilding	IC001VGO2	IC001VGWW	(1530,0)-(1544,0)
FAC.Building.School	KC003A6NA	KC003ADT2	(3371,0)-(3389,0)
FAC.Building.VotingFacility	KC003A6NA	KC003ADT2	(3920,0)-(3935,0)
FAC.Building.VotingFacility	KC003A6NA	KC003ADT2	(5244,0)-(5257,0)
FAC.Installation	JC002YD6G	JC002YD6I	(359,0)-(390,0)
FAC.Installation	JC002YD6G	JC002YD6I	(509,0)-(535,0)
FAC.Installation.MilitaryInstallation	IC001V9U9	IC001VBJM	(2045,0)-(2063,0)
FAC.Installation.MilitaryInstallation	IC001VAPK	IC001VBFN	(947,0)-(961,0)
FAC.Installation.MilitaryInstallation	IC001VGO2	IC001VGWW	(733,0)-(759,0)
FAC.Structure	IC001VAPK	IC001VBFN	(2918,0)-(2937,0)
FAC.Structure	IC001VGO2	IC001VGWW	(1229,0)-(1250,0)
FAC.Structure	IC001VGO2	IC001VGWW	(1395,0)-(1425,0)
FAC.Way.Street	IC001V9U9	IC001VBJM	(1480,0)-(1489,0)
FAC.Way.Street	IC001V9U9	IC001VBJM	(2522,0)-(2541,0)
FAC.Way.Street	IC001VGO2	IC001VGWW	(1115,0)-(1188,0)
GPE	JC002YD6G	JC002YD6I	(103,0)-(111,0)
GPE	JC002YD6G	JC002YD6I	(439,0)-(444,0)
GPE	JC002YD6G	JC002YD6I	(620,0)-(629,0)
GPE	JC002YD6G	JC002YD6I	(787,0)-(793,0)
GPE.Country.Country	IC001V8WF	IC001VBI8	(1086,0)-(1095,0)
GPE.Country.Country	IC001V8WF	IC001VBI8	(113,0)-(121,0)
GPE.Country.Country	IC001V8WF	IC001VBI8	(1584,0)-(1592,0)
GPE.Country.Country	IC001V8WF	IC001VBI8	(1668,0)-(1677,0)
GPE.Country.Country	IC001V8WF	IC001VBI8	(272,0)-(281,0)
GPE.Country.Country	IC001V8WF	IC001VBI8	(458,0)-(467,0)
GPE.Country.Country	IC001V8WF	IC001VBI8	(662,0)-(681,0)
GPE.Country.Country	IC001V8WF	IC001VBI8	(674,0)-(681,0)
GPE.Country.Country	IC001V9U9	IC001VBJM	(1872,0)-(1881,0)
GPE.Country.Country	IC001V9U9	IC001VBJM	(1886,0)-(1887,0)
GPE.Country.Country	IC001V9U9	IC001VBJM	(194,0)-(203,0)
GPE.Country.Country	IC001V9U9	IC001VBJM	(2191,0)-(2199,0)
GPE.Country.Country	IC001V9U9	IC001VBJM	(3003,0)-(3012,0)
GPE.Country.Country	IC001V9U9	IC001VBJM	(3521,0)-(3529,0)
GPE.Country.Country	IC001V9U9	IC001VBJM	(3579,0)-(3586,0)
GPE.Country.Country	IC001V9U9	IC001VBJM	(3747,0)-(3749,0)
GPE.Country.Country	IC001V9U9	IC001VBJM	(3916,0)-(3924,0)
GPE.Country.Country	IC001V9U9	IC001VBJM	(4020,0)-(4022,0)
GPE.Country.Country	IC001V9U9	IC001VBJM	(4127,0)-(4135,0)
GPE.Country.Country	IC001V9U9	IC001VBJM	(659,0)-(667,0)
GPE.Country.Country	IC001VAPK	IC001VBFN	(1068,0)-(1069,0)
GPE.Country.Country	IC001VAPK	IC001VBFN	(2399,0)-(2409,0)
GPE.Country.Country	IC001VAPK	IC001VBFN	(2412,0)-(2420,0)
GPE.Country.Country	IC001VAPK	IC001VBFN	(2426,0)-(2432,0)
GPE.Country.Country	IC001VAPK	IC001VBFN	(2481,0)-(2489,0)
GPE.Country.Country	IC001VAPK	IC001VBFN	(2582,0)-(2590,0)
GPE.Country.Country	IC001VAPK	IC001VBFN	(801,0)-(809,0)
GPE.Country.Country	IC001VAPK	IC001VBFN	(839,0)-(848,0)
GPE.Country.Country	IC001VAPK	IC001VBFN	(92,0)-(101,0)
GPE.Country.Country	IC001VGO2	IC001VGWW	(1959,0)-(1967,0)
GPE.Country.Country	IC001VGO2	IC001VGWW	(201,0)-(210,0)
GPE.Country.Country	IC001VGO2	IC001VGWW	(2236,0)-(2245,0)
GPE.Country.Country	IC001VGO2	IC001VGWW	(2293,0)-(2301,0)
GPE.Country.Country	IC001VGO2	IC001VGWW	(2317,0)-(2325,0)
GPE.Country.Country	IC001VGO2	IC001VGWW	(232,0)-(241,0)
GPE.Country.Country	IC001VGO2	IC001VGWW	(2409,0)-(2421,0)
GPE.Country.Country	IC001VGO2	IC001VGWW	(2554,0)-(2566,0)
GPE.Country.Country	IC001VGO2	IC001VGWW	(456,0)-(463,0)
GPE.Country.Country	JC002YC48	JC002YEMH	(1,0)-(9,0)
GPE.Country.Country	JC002YC48	JC002YEMH	(227,0)-(237,0)
GPE.Country.Country	JC002YC48	JC002YEMH	(352,0)-(357,0)
GPE.Country.Country	JC002YC48	JC002YEMH	(41,0)-(49,0)
GPE.Country.Country	JC002YC48	JC002YEMH	(441,0)-(449,0)
GPE.Country.Country	JC002YC48	JC002YEMH	(762,0)-(785,0)
GPE.Country.Country	JC002YCXK	JC002YEOG	(1889,0)-(1897,0)
GPE.Country.Country	JC002YCXK	JC002YEOG	(2109,0)-(2117,0)
GPE.Country.Country	JC002YCXK	JC002YEOG	(2287,0)-(2295,0)
GPE.Country.Country	JC002YCXK	JC002YEOG	(277,0)-(285,0)
GPE.Country.Country	JC002YCXK	JC002YEOG	(459,0)-(469,0)
GPE.Country.Country	JC002YCXK	JC002YEOG	(907,0)-(915,0)
GPE.Country.Country	JC002YF02	JC002YF53	(4700,0)-(4708,0)
GPE.Country.Country	KC003A6NA	KC003ADT2	(2686,0)-(2695,0)
GPE.Country.Country	KC003A6NA	KC003ADT2	(5114,0)-(5124,0)
GPE.ProvinceState.ProvinceState	IC001VGO2	IC001VGWW	(2571,0)-(2590,0)
GPE.ProvinceState.ProvinceState	IC001VGO2	IC001VGWW	(2584,0)-(2590,0)
GPE.ProvinceState.ProvinceState	JC002YC48	JC002YEMH	(383,0)-(388,0)
GPE.ProvinceState.ProvinceState	JC002YC48	JC002YEMH	(390,0)-(396,0)
GPE.ProvinceState.ProvinceState	JC002YC48	JC002YEMH	(399,0)-(404,0)
GPE.ProvinceState.ProvinceState	JC002YC48	JC002YEMH	(408,0)-(413,0)
GPE.ProvinceState.ProvinceState	JC002YF02	JC002YF53	(4036,0)-(4047,0)
GPE.ProvinceState.ProvinceState	JC002YF02	JC002YF53	(4501,0)-(4512,0)
GPE.ProvinceState.ProvinceState	KC003A6NA	KC003ADT2	(3303,0)-(3330,0)
GPE.ProvinceState.ProvinceState	KC003A6NA	KC003ADT2	(3324,0)-(3330,0)
GPE.ProvinceState.ProvinceState	KC003A6NA	KC003ADT2	(3383,0)-(3389,0)
GPE.ProvinceState.ProvinceState	KC003A6NA	KC003ADT2	(3457,0)-(3466,0)
GPE.UrbanArea.City	IC001V8WF	IC001VBI8	(230,0)-(236,0)
GPE.UrbanArea.City	IC001V9U9	IC001VBJM	(3493,0)-(3498,0)
GPE.UrbanArea.City	IC001V9U9	IC001VBJM	(3504,0)-(3508,0)
GPE.UrbanArea.City	IC001V9U9	IC001VBJM	(420,0)-(424,0)
GPE.UrbanArea.City	IC001V9U9	IC001VBJM	(430,0)-(435,0)
GPE.UrbanArea.City	IC001VCIQ	IC001VCIS_11	(445,26)-(490,40)
GPE.UrbanArea.City	IC001VGO2	IC001VGWW	(197,0)-(229,0)
GPE.UrbanArea.City	IC001VGO2	IC001VGWW	(223,0)-(229,0)
GPE.UrbanArea.City	IC001VGO2	IC001VGWW	(752,0)-(759,0)
GPE.UrbanArea.City	JC002YC48	JC002YEMH	(363,0)-(370,0)
GPE.UrbanArea.City	JC002YCXK	JC002YEOG	(1442,0)-(1448,0)
GPE.UrbanArea.City	JC002YCXK	JC002YEOG	(2497,0)-(2503,0)
GPE.UrbanArea.City	JC002YCXK	JC002YEOG	(268,0)-(274,0)
GPE.UrbanArea.City	JC002YD6G	JC002YD6I	(212,0)-(218,0)
GPE.UrbanArea.City	JC002YD6G	JC002YD6I	(529,0)-(535,0)
GPE.UrbanArea.City	KC003A59I	KC003A59K_328	(331,301)-(389,320)
GPE.UrbanArea.City	KC003A59I	KC003A59K_328	(39,304)-(88,320)
GPE.UrbanArea.City	KC003A59I	KC003A59K_328	(476,268)-(538,285)
GPE.UrbanArea.City	KC003A59I	KC003A59K_329	(45,306)-(84,320)
GPE.UrbanArea.City	KC003A59I	KC003A59K_329	(475,269)-(537,284)
GPE.UrbanArea.City	KC003A59I	KC003A59K_330	(43,303)-(86,319)
GPE.UrbanArea.City	KC003A59I	KC003A59K_330	(474,266)-(536,283)
GPE.UrbanArea.City	KC003A59I	KC003A59K_331	(43,305)-(84,320)
GPE.UrbanArea.City	KC003A59I	KC003A59K_331	(473,264)-(540,284)
GPE.UrbanArea.City	KC003A59I	KC003A59K_332	(39,303)-(88,318)
GPE.UrbanArea.City	KC003A59I	KC003A59K_332	(473,269)-(538,284)
GPE.UrbanArea.City	KC003A59I	KC003A59K_333	(36,302)-(87,318)
GPE.UrbanArea.City	KC003A59I	KC003A59K_333	(474,267)-(538,283)
GPE.UrbanArea.City	KC003A59I	KC003A59K_334	(42,305)-(84,320)
GPE.UrbanArea.City	KC003A59I	KC003A59K_334	(473,268)-(540,283)
GPE.UrbanArea.City	KC003A59I	KC003A59K_335	(40,304)-(84,322)
GPE.UrbanArea.City	KC003A59I	KC003A59K_335	(473,266)-(540,285)
GPE.UrbanArea.City	KC003A59I	KC003A59K_336	(39,304)-(88,319)
GPE.UrbanArea.City	KC003A59I	KC003A59K_336	(473,269)-(539,285)
GPE.UrbanArea.City	KC003A59I	KC003A59K_337	(42,305)-(84,320)
GPE.UrbanArea.City	KC003A59I	KC003A59K_337	(472,269)-(539,284)
GPE.UrbanArea.City	KC003A59I	KC003A59K_338	(38,303)-(89,320)
GPE.UrbanArea.City	KC003A59I	KC003A59K_338	(470,265)-(540,283)
GPE.UrbanArea.City	KC003A59I	KC003A59K_339	(37,305)-(90,321)
GPE.UrbanArea.City	KC003A59I	KC003A59K_339	(472,266)-(540,284)
GPE.UrbanArea.City	KC003A59I	KC003A59K_339	(544,304)-(577,317)
GPE.UrbanArea.City	KC003A59I	KC003A59K_340	(41,303)-(83,319)
GPE.UrbanArea.City	KC003A59I	KC003A59K_340	(472,265)-(539,283)
GPE.UrbanArea.City	KC003A59I	KC003A59K_341	(36,305)-(86,319)
GPE.UrbanArea.City	KC003A59I	KC003A59K_341	(470,267)-(541,283)
GPE.UrbanArea.City	KC003A59I	KC003A59K_342	(35,305)-(92,318)
GPE.UrbanArea.City	KC003A59I	KC003A59K_342	(472,266)-(538,283)
GPE.UrbanArea.City	KC003A59I	KC003A59K_343	(41,303)-(83,319)
GPE.UrbanArea.City	KC003A59I	KC003A59K_343	(475,267)-(538,283)
GPE.UrbanArea.City	KC003A59I	KC003A59K_344	(41,304)-(83,321)
GPE.UrbanArea.City	KC003A59I	KC003A59K_344	(472,267)-(538,285)
GPE.UrbanArea.City	KC003A59I	KC003A59K_345	(330,304)-(389,318)
GPE.UrbanArea.City	KC003A59I	KC003A59K_345	(475,268)-(540,285)
GPE.UrbanArea.City	KC003A59I	KC003A59K_346	(329,303)-(387,316)
GPE.UrbanArea.City	KC003A59I	KC003A59K_346	(38,304)-(89,321)
GPE.UrbanArea.City	KC003A59I	KC003A59K_346	(474,266)-(539,284)
GPE.UrbanArea.City	KC003A6NA	KC003ADT2	(2554,0)-(2567,0)
GPE.UrbanArea.City	KC003A6NA	KC003ADT2	(2706,0)-(2712,0)
GPE.UrbanArea.City	KC003A6NA	KC003ADT2	(3428,0)-(3439,0)
GPE.UrbanArea.City	KC003A6NA	KC003ADT2	(3442,0)-(3466,0)
GPE.UrbanArea.City	KC003A6NA	KC003ADT2	(3890,0)-(3897,0)
GeneralAffiliation.MemberOriginReligionEthnicity	KC003A6NA	KC003ADT2	(4850,0)-(4859,0)
GeneralAffiliation.MemberOriginReligionEthnicity	KC003A7RG	KC003ADVE	(3683,0)-(3692,0)
GeneralAffiliation.OrganizationPoliticalReligiousAffiliation	IC001V9U9	IC001VBJM	(4106,0)-(4115,0)
GeneralAffiliation.Sponsorship	IC001VGO2	IC001VGWW	(2349,0)-(2354,0)
GeneralAffiliation.Sponsorship.AdvisePlanOrganize	IC001VGO2	IC001VGWW	(2485,0)-(2495,0)
GeneralAffiliation.Sponsorship.Affiliated	IC001V8WF	IC001VBI8	(1764,0)-(1773,0)
GeneralAffiliation.Sponsorship.Affiliated	IC001V8WF	IC001VBI8	(690,0)-(703,0)
GeneralAffiliation.Sponsorship.Affiliated	IC001V8WF	IC001VBI8	(977,0)-(984,0)
GeneralAffiliation.Sponsorship.HelpSupport	IC001VGO2	IC001VGWW	(2485,0)-(2495,0)
Government.Vote	KC003A6NA	KC003ADT2	(2479,0)-(2482,0)
Government.Vote	KC003A6NA	KC003ADT2	(3738,0)-(3741,0)
Government.Vote.CastVote	KC003A6NA	KC003ADT2	(4844,0)-(4847,0)
Government.Vote.CastVote	KC003A6NA	KC003ADT2	(4994,0)-(4997,0)
Government.Vote.CastVote	KC003A6NA	KC003ADT2	(5319,0)-(5322,0)
Government.Vote.CastVote	KC003A7RG	KC003ADVE	(3368,0)-(3380,0)
Government.Vote.CastVote	KC003A7RG	KC003ADVE	(3505,0)-(3512,0)
Government.Vote.CastVote	KC003A7RG	KC003ADVE	(3820,0)-(3825,0)
Government.Vote.CastVote	KC003A7RG	KC003ADVE	(4039,0)-(4048,0)
Inspection.SensoryObserve.MonitorElection	KC003A6NA	KC003ADT2	(5081,0)-(5088,0)
Inspection.TargetAimAt.TargetAimAt	IC001V8WF	IC001VBI8	(2211,0)-(2216,0)
Inspection.TargetAimAt.TargetAimAt	IC001V9U9	IC001VBJM	(1052,0)-(1057,0)
Inspection.TargetAimAt.TargetAimAt	IC001V9U9	IC001VBJM	(2170,0)-(2175,0)
Inspection.TargetAimAt.TargetAimAt	IC001VGO2	IC001VGWW	(1418,0)-(1425,0)
Inspection.TargetAimAt.TargetAimAt	IC001VGO2	IC001VGWW	(361,0)-(366,0)
Justice.ArrestJailDetain.ArrestJailDetain	IC001V8WF	IC001VBI8	(1074,0)-(1081,0)
Justice.ArrestJailDetain.ArrestJailDetain	IC001V8WF	IC001VBI8	(1752,0)-(1759,0)
Justice.ArrestJailDetain.ArrestJailDetain	IC001V9U9	IC001VBJM	(100,0)-(107,0)
Justice.ArrestJailDetain.ArrestJailDetain	IC001V9U9	IC001VBJM	(1607,0)-(1614,0)
Justice.ArrestJailDetain.ArrestJailDetain	IC001VAPK	IC001VBFN	(1009,0)-(1016,0)
Justice.ArrestJailDetain.ArrestJailDetain	IC001VAPK	IC001VBFN	(891,0)-(898,0)
Justice.ArrestJailDetain.ArrestJailDetain	IC001VGO2	IC001VGWW	(109,0)-(116,0)
Justice.ArrestJailDetain.ArrestJailDetain	IC001VGO2	IC001VGWW	(2214,0)-(2220,0)
Justice.ArrestJailDetain.ArrestJailDetain	IC001VGO2	IC001VGWW	(514,0)-(521,0)
Justice.ArrestJailDetain.ArrestJailDetain	IC001VGO2	IC001VGWW	(640,0)-(647,0)
Justice.ArrestJailDetain.ArrestJailDetain	IC001VGO2	IC001VGWW	(809,0)-(816,0)
Justice.InitiateJudicialProcess	JC002YCXK	JC002YEOG	(2658,0)-(2668,0)
Justice.InitiateJudicialProcess	JC002YCXK	JC002YEOG	(483,0)-(489,0)
Justice.Investigate.InvestigateCrime	IC001V8WF	IC001VBI8	(841,0)-(854,0)
LOC	KC003A6NA	KC003ADT2	(2896,0)-(2911,0)
LOC	KC003A6NA	KC003ADT2	(3985,0)-(3991,0)
LOC.GeographicPoint	IC001V9U9	IC001VBJM	(1501,0)-(1505,0)
LOC.GeographicPoint	IC001VFH8	IC001VFHC_45	(16,82)-(158,203)
LOC.GeographicPoint	IC001VFH8	IC001VFHC_46	(11,90)-(157,200)
LOC.GeographicPoint	IC001VFH8	IC001VFHC_51	(11,108)-(332,242)
LOC.Land.Continent	JC002YCXK	JC002YEOG	(2716,0)-(2730,0)
LOC.Position	IC001V9U9	IC001VBJM	(2709,0)-(2718,0)
LOC.Position.Neighborhood	KC003A6NA	KC003ADT2	(2651,0)-(2712,0)
LOC.Position.Region	JC002YC48	JC002YEMH	(322,0)-(332,0)
LOC.Position.Region	JC002YC48	JC002YEMH	(336,0)-(343,0)
LOC.Position.Region	JC002YC48	JC002YEMH	(642,0)-(688,0)
LOC.Position.Region	JC002YC48	JC002YEMH	(670,0)-(688,0)
Life.Die.DeathCausedByViolentEvents	KC003A6NA	KC003ADT2	(2439,0)-(2444,0)
Life.Die.DeathCausedByViolentEvents	KC003A6NA	KC003ADT2	(3173,0)-(3178,0)
Life.Die.DeathCausedByViolentEvents	KC003A6NA	KC003ADT2	(3418,0)-(3423,0)
Life.Die.NonviolentDeath	JC002YD6G	JC002YD6I	(190,0)-(197,0)
Life.Die.NonviolentDeath	JC002YD6G	JC002YD6I	(482,0)-(487,0)
Life.Die.NonviolentDeath	JC002YD6G	JC002YD6I	(768,0)-(776,0)
