Matrix KE Item Number	Natural Language KE Description	Event/Relation KB ID	Item KE	Ontology ID	Type	Subtype	Sub-subtype	Argument KB ID	Handle in KB	Attribute	Expected Date	Start Date Range	End Date Range
KE008	politicians	TBD	evt079arg02detainee	LDC_ent_113	per	politician	unspecified	TBD					
KE008	Donbass	TBD	evt079arg04place	LDC_ent_071	loc	position	region	709718	Donbass				
KE009	election opponents kidnapped	TBD	event	LDC_evt_079	justice	arrestjaildetain	arrestjaildetain		Election opponents kidnapped		Start before 2014-05-12	2014-03-01	2014-05-11
KE009	election opponents	TBD	evt079arg02detainee	LDC_ent_113	per	politician	unspecified	TBD					
KE009	Donbass	TBD	evt079arg04place	LDC_ent_071	loc	position	region	709718	Donbass				
KE010	election opponents murdered	TBD	event	LDC_evt_004	conflict	attack	unspecified		Election opponents murdered		Start before 2014-05-12	2014-03-01	2014-05-11
KE010	election opponents	TBD	evt004arg02target	LDC_ent_113	per	politician	unspecified	TBD					
KE010	Donbass	TBD	evt004arg04place	LDC_ent_071	loc	position	region	709718	Donbass				
KE011	death of election opponents	TBD	event	LDC_evt_090	life	die	deathcausedbyviolentevents		Death of election opponents		Start before 2014-05-12	2014-03-01	2014-05-11
KE011	election opponents	TBD	evt090arg02victim	LDC_ent_113	per	politician	unspecified	TBD					
KE011	Donbass	TBD	evt090arg04place	LDC_ent_071	loc	position	region	709718	Donbass				
KE012	police attempted to prevent people from voting in Krasnoarmeysk 	TBD	event	LDC_evt_073	government	vote	violationspreventvote		Police attempt to prevent people from voting in Krasnoarmeysk 		Start before 2014-05-12	2014-03-01	2014-05-11
KE012	police	TBD	evt073arg01preventer	LDC_ent_111	per	police	unspecified	TBD					
KE012	people voting	TBD	evt073arg02voter	LDC_ent_103	per	unspecified	unspecified	TBD					
KE012	Krasnoarmeysk 	TBD	evt073arg05place	LDC_ent_057	gpe	urbanarea	city	TBD	"Krasnoarmeisk (a.k.a. Krasnoarmeysk, Pokrovsk)"				
KE013	ownership of passports by pro-unity Ukrainians	TBD	relation	LDC_rel_013	generalaffiliation	artifactpoliticalorganizationreligiousaffiliation	ownershippossession				Unknown		
KE013	passports	TBD	rel013arg01artifact	LDC_ent_007	com	document	personalidentification	TBD					
KE013	pro-unity Ukrainians	TBD	rel013arg02owner	LDC_ent_103	per	unspecified	unspecified	TBD					
KE014	passports destroyed	TBD	event	LDC_evt_003	artifactexistence	damagedestroy	destroy		Pro-Unity Ukrainian passports destroyed		Start before 2014-05-12	2014-03-01	2014-05-11
KE014	separatists	TBD	evt003arg01destroyer	LDC_ent_103	per	unspecified	unspecified	TBD					
KE014	passports	TBD	evt003arg02artifact	LDC_ent_007	com	document	personalidentification	TBD					
KE014	Donbass	TBD	evt003arg04place	LDC_ent_071	loc	position	region	709718	Donbass				
KE015	affilation between passports and Ukraine	TBD	relation	LDC_rel_012	generalaffiliation	artifactpoliticalorganizationreligiousaffiliation	nationalitycitizen				Unknown		
KE015	passports	TBD	rel012arg01artifact	LDC_ent_007	com	document	personalidentification	TBD					
KE015	Ukraine	TBD	rel012arg02nationality	LDC_ent_053	gpe	country	country	690791	Ukraine				
KE016	affiliation between pro-unity Ukrainians and Ukraine	TBD	relation	LDC_rel_016	generalaffiliation	memberoriginreligionethnicity	nationalitycitizen				Unknown		
KE016	pro-unity Ukrainians	TBD	rel016arg01citizen	LDC_ent_103	per	unspecified	unspecified	TBD					
KE016	Ukraine	TBD	rel016arg02nationality	LDC_ent_053	gpe	country	country	690791	Ukraine				
KE017	affiliation between some Ukrainians and pro-unity side	TBD	relation	LDC_rel_014	generalaffiliation	memberoriginreligionethnicity	unspecified				Unknown		
KE017	some Ukrainians	TBD	rel014arg01person	LDC_ent_103	per	unspecified	unspecified	TBD					
KE017	pro-unity	TBD	rel014arg02entityorfiller	LDC_ent_133	sid	ideological	ideological	TBD	Pro-federalization of Ukraine referendum stance				
KE018	"some people cast ineligble or multiple votes, and pre-filled ballots"	TBD	relation	LDC_rel_005	evaluate	legitimacy	illegitimate				Start before 2014-05-12	2014-03-01	2014-05-11
KE018	[author holder]	TBD	rel005arg01holder	author				[author holder]|TBD					
KE018	Referendum vote	TBD	rel005arg02event	LDC_evt_072	government	vote	castvote	TBD	Donbass status referendums				
KE019	people caught moving boxes of ballots	TBD	event	LDC_evt_101	movement	transportartifact	bringcarryunload		People caught moving boxes of pre-filled ballots		2014-0X-XX	2014-03-01	2014-05-31
KE019	some people	TBD	evt101arg01transporter	LDC_ent_103	per	unspecified	unspecified	TBD					
KE019	boxes of pre-filled ballots	TBD	evt101arg02artifact	LDC_ent_003	bal	paperballot	paperballot	TBD	Pre-filled fraudulent ballots				
KE019	Donbass	TBD	evt101arg04origin	LDC_ent_071	loc	position	region	709718	Donbass				
